Origin	studentcount	year
China	"59,939"	2000
India	"54,664"	2000
Japan	"46,497"	2000
"Korea, Republic of"	"45,685"	2000
Taiwan	"28,566"	2000
Canada	"25,279"	2000
Indonesia	"11,625"	2000
Thailand	"11,187"	2000
Turkey	"10,983"	2000
Mexico	"10,670"	2000
Germany	"10,128"	2000
Brazil	"8,846"	2000
United Kingdom	"8,139"	2000
Malaysia	"7,795"	2000
Hong Kong	"7,627"	2000
India	"80,466"	2005
China	"62,523"	2005
"Korea, Republic of"	"53,358"	2005
Japan	"42,215"	2005
Canada	"28,140"	2005
Taiwan	"25,914"	2005
Mexico	"13,063"	2005
Turkey	"12,474"	2005
Germany	"8,640"	2005
Thailand	"8,637"	2005
United Kingdom	"8,236"	2005
Hong Kong	"7,180"	2005
Indonesia	"7,760"	2005
Brazil	"7,244"	2005
Colombia	"7,334"	2005
France	"6,555"	2005
Kenya	"6,728"	2005
Nigeria	"6,335"	2005
Nepal	"4,861"	2005
Pakistan	"6,296"	2005
India	"94,563"	2008
China	"81,127"	2008
South Korea	"69,124"	2008
Canada	"29,051"	2008
Japan	"33,974"	2008
Taiwan	"29,001"	2008
Mexico	"14,837"	2008
Vietnam	"8,769"	2008
Saudi Arabia	"9,873"	2008
Turkey	"12,030"	2008
Nepal	"8,936"	2008
Germany	"8,907"	2008
Brazil	"7,578"	2008
Thailand	"9,004"	2008
United Kingdom	"8,367"	2008
Hong Kong	"8,286"	2008
Indonesia	"7,692"	2008
France	"7,050"	2008
Colombia	"6,662"	2008
Nigeria	"6,222"	2008
Malaysia	"5,428"	2008
Kenya	"5,838"	2008
Pakistan	"5,345"	2008
Russia	"4,906"	2008
Venezuela	"4,446"	2008
China	"127,822"	2010
India	"104,897"	2010
South Korea	"72,153"	2010
Canada	"28,145"	2010
Taiwan	"26,685"	2010
Saudi Arabia	"15,810"	2010
Japan	"24,842"	2010
Vietnam	"13,112"	2010
Mexico	"13,256"	2010
Turkey	"12,397"	2010
Nepal	"11,233"	2010
Germany	"9,548"	2010
United Kingdom	"8,861"	2010
Brazil	"8,786"	2010
Thailand	"8,531"	2010
Hong Kong	"8,034"	2010
France	"7,716"	2010
Nigeria	"6,568"	2010
Indonesia	"6,943"	2010
Malaysia	"6,190"	2010
Colombia	"6,920"	2010
Iran	"4,731"	2010
Venezuela	"4,958"	2010
Pakistan	"5,222"	2010
Russia	"4,827"	2010
China	"235,597"	2013
India	"96,754"	2013
South Korea	"70,627"	2013
Saudi Arabia	"44,566"	2013
Canada	"27,357"	2013
Taiwan	"21,867"	2013
Japan	"19,568"	2013
Vietnam	"16,098"	2013
Mexico	"14,199"	2013
Brazil	"10,868"	2013
Turkey	"11,278"	2013
Iran	"8,744"	2013
United Kingdom	"9,467"	2013
Germany	"9,819"	2013
France	"8,297"	2013
Nepal	"8,920"	2013
Hong Kong	"8,026"	2013
Nigeria	"7,316"	2013
Indonesia	"7,670"	2013
China	"350,755"	2016
India	"186,267"	2016
South Korea	"58,663"	2016
Saudi Arabia	"52,611"	2016
Canada	"27,065"	2016
Vietnam	"22,438"	2016
Taiwan	"21,516"	2016
Japan	"18,780"	2016
Mexico	"16,835"	2016
Brazil	"13,089"	2016
Iran	"12,643"	2016
Nigeria	"11,710"	2016
Nepal	"11,607"	2016
United Kingdom	"11,489"	2016
Turkey	"10,586"	2016
Germany	"10,169"	2016
Kuwait	"9,825"	2016
France	"8,814"	2016
Indonesia	"8,776"	2016
Venezuela	"8,540"	2016
Malaysia	"8,247"	2016
Colombia	"7,982"	2016
Hong Kong	"7,547"	2016
Spain	"7,164"	2016
Bangladesh	"7,143"	2016
