,Place of Destination,City,State,Students,Year,Lat,Lng
0,New York University,New York,NY,"17,326",2016,40.7127753,-74.0059728
1,University of Southern California,Los Angeles,CA,"14,327",2016,34.0522342,-118.2436849
2,Columbia University,New York,NY,"14,096",2016,40.7127753,-74.0059728
3,Northeastern University - Boston,Boston,MA,"13,201",2016,42.3600825,-71.0588801
4,Arizona State University - Tempe,Tempe,AZ,"13,164",2016,33.4255104,-111.9400054
5,University of Illinois - Urbana-Champaign,Champaign,IL,"12,454",2016,40.1164204,-88.2433829
6,University of California - Los Angeles,Los Angeles,CA,"12,199",2016,34.0522342,-118.2436849
7,Purdue University - West Lafayette,West Lafayette,IN,"11,288",2016,40.4258686,-86.9080655
8,University of Texas - Dallas,Richardson,TX,"9,305",2016,32.9483335,-96.7298519
9,Pennsylvania State University - University Park,University Park,PA,"9,134",2016,32.8550377,-96.797592
10,University of California - San Diego,La Jolla,CA,"9,065",2016,32.8328112,-117.2712717
11,Boston University,Boston,MA,"8,992",2016,42.3600825,-71.0588801
12,University of Michigan - Ann Arbor,Ann Arbor,MI,"8,163",2016,42.2808256,-83.7430378
13,University of Washington,Seattle,WA,"8,019",2016,47.6062095,-122.3320708
14,University of California - Berkeley,Berkeley,CA,"8,000",2016,37.8718992,-122.2585399
15,Michigan State University,East Lansing,MI,"7,779",2016,42.7369792,-84.4838654
16,Ohio State University - Columbus,Columbus,OH,"7,684",2016,39.9611755,-82.9987942
17,Carnegie Mellon University,Pittsburgh,PA,"7,653",2016,40.4406248,-79.9958864
18,Indiana University - Bloomington,Bloomington,IN,"7,502",2016,39.165325,-86.5263857
19,University of Texas - Arlington,Arlington,TX,"7,277",2016,38.8816208,-77.0909809
20,SUNY University at Buffalo,Buffalo,NY,"7,252",2016,42.8864468,-78.8783689
21,University of Minnesota - Twin Cities,Minneapolis,MN,"7,197",2016,44.977753,-93.2650108
22,University of Florida,Gainesville,FL,"7,107",2016,29.6516344,-82.3248262
23,Texas A&M University - College Station,College Station,TX,"6,960",2016,30.627977,-96.3344068
24,University of California - Irvine,Irvine,CA,"6,792",2016,33.6845673,-117.8265049
25,New York University,New York,NY,"5,399",2000,40.7127753,-74.0059728
26,University of Southern California,Los Angeles,CA,"5,321",2000,34.0522342,-118.2436849
27,Columbia University,New York,NY,"4,837",2000,40.7127753,-74.0059728
28,Purdue University Main Campus,West Lafayette,IN,"4,469",2000,40.4258686,-86.9080655
29,Boston University,Boston,MA,"4,443",2000,42.3600825,-71.0588801
30,University of Texas at Austin,Austin,TX,"4,320",2000,30.267153,-97.7430608
31,The Ohio State University Main Campus,Columbus,OH,"4,035",2000,39.9611755,-82.9987942
32,University of Michigan - Ann Arbor,Ann Arbor,MI,"4,004",2000,42.2808256,-83.7430378
