,Unnamed: 0,Place of Destination,City,State,Students,Year,Lat,Lng,County_Name,County
0,0,New York University,New York,United States,"17,326",2016,40.7127753,-74.0059728,New York County,"New York County, New York"
1,1,University of Southern California,Los Angeles,California,"14,327",2016,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
2,2,Columbia University,New York,United States,"14,096",2016,40.7127753,-74.0059728,New York County,"New York County, New York"
3,3,Northeastern University - Boston,Boston,Massachusetts,"13,201",2016,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
4,4,Arizona State University - Tempe,Tempe,Arizona,"13,164",2016,33.4255104,-111.9400054,Maricopa  County,"Maricopa  County, Arizona"
5,5,University of Illinois - Urbana-Champaign,Champaign,Champaign County,"12,454",2016,40.1164204,-88.2433829,Champaign City Township County,"Champaign City Township County, Illinois"
6,6,University of California - Los Angeles,Los Angeles,California,"12,199",2016,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
7,7,Purdue University - West Lafayette,West Lafayette,Tippecanoe County,"11,288",2016,40.4258686,-86.9080655,Wabash Township County,"Wabash Township County, Indiana"
8,8,University of Texas - Dallas,Richardson,Texas,"9,305",2016,32.9483335,-96.7298519,Dallas  County,"Dallas  County, Texas"
9,9,Pennsylvania State University - University Park,University Park,Texas,"9,134",2016,32.8550377,-96.797592,Dallas  County,"Dallas  County, Texas"
10,10,University of California - San Diego,La Jolla,San Diego County,"9,065",2016,32.8328112,-117.2712717,San Diego County,"San Diego County, California"
11,11,Boston University,Boston,Massachusetts,"8,992",2016,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
12,12,University of Michigan - Ann Arbor,Ann Arbor,Michigan,"8,163",2016,42.2808256,-83.7430378,Washtenaw  County,"Washtenaw  County, Michigan"
13,13,University of Washington,Seattle,Washington,"8,019",2016,47.6062095,-122.3320708,King  County,"King  County, Washington"
14,14,University of California - Berkeley,Berkeley,California,"8,000",2016,37.8718992,-122.2585399,Alameda  County,"Alameda  County, California"
15,15,Michigan State University,East Lansing,Michigan,"7,779",2016,42.7369792,-84.4838654,Ingham  County,"Ingham  County, Michigan"
16,16,Ohio State University - Columbus,Columbus,Ohio,"7,684",2016,39.9611755,-82.9987942,Franklin  County,"Franklin  County, Ohio"
