City,Name,State,EstablishedYear,Lat,Lng,County,County_State
 Scottsdale,International School of Arizona,Arizona,1997,33.4941704,-111.9260519,"Maricopa County, ","Maricopa County, Arizona"
 Irvine,Alliant International University,California,2001,33.6845673,-117.8265049,"Orange County, ","Orange County, California"
 Los Angeles,American University Preparatory School,California,2013,34.0522342,-118.2436849,"Los Angeles County, ","Los Angeles County, California"
 San Francisco,French American International School,California,1962,37.7749295,-122.4194155,"San Francisco County, ","San Francisco County, California"
 Palos Verdes Estates,International Bilingual School,California,1979,33.8005714,-118.3900737,"Los Angeles County, ","Los Angeles County, California"
San Francisco,International High School of San Francisco,California,1962,37.7749295,-122.4194155,"San Francisco County, ","San Francisco County, California"
 San Francisco,International School of the Peninsula,California,1979,37.7749295,-122.4194155,"San Francisco County, ","San Francisco County, California"
 San Francisco,La Scuola International School,California,2002,37.7749295,-122.4194155,"San Francisco County, ","San Francisco County, California"
LosAngels,Lycée Français de Los Angeles,California,1964,34.0522342,-118.2436849,"Los Angeles County, ","Los Angeles County, California"
 Burbank,Lycée International de Los Angeles,California,1978,34.1808392,-118.3089661,"Los Angeles County, ","Los Angeles County, California"
Oakland,Oakland International High School,California,2007,37.8043637,-122.2711137,"Alameda County, ","Alameda County, California"
Denver,International School of Denver,Colorado,1858,39.7392358,-104.990251,"Denver County, ","Denver County, Colorado"
 Riverside,The International School at Dundee,Connecticut,2000,41.0337666,-73.5784843,"Fairfield County, ","Fairfield County, Connecticut"
 Greenwich,The Japanese School of New York,Connecticut,1975,41.0262417,-73.6281964,"Fairfield County, ","Fairfield County, Connecticut"
 Greenwich,Whitby School,Connecticut,1958,41.0262417,-73.6281964,"Fairfield County, ","Fairfield County, Connecticut"
Georgetown,British School of Washington,District of Columbia,1998,38.9097057,-77.0653565,"Arlington County, ","Arlington County, District of Columbia"
 D.C. (DSW),"German School Washington, D.C. (DSW)",District of Columbia,1961,38.92894,-77.034382,Washington,WashingtonDistrict of Columbia
"Washington,DC",Washington International School,District of Columbia,1966,38.9071923,-77.0368707,District of Columbia,District of ColumbiaDistrict of Columbia
Largo,Schiller International University,Florida,1964,27.9094665,-82.7873244,"Pinellas County, ","Pinellas County, Florida"
Lighthouse Point,North Broward Preparatory School,Florida,1957,26.275636,-80.0872654,"Broward County, ","Broward County, Florida"
Lake Butler,Windermere Preparatory School,Florida,2000,30.0227391,-82.3395574,"Union County, ","Union County, Florida"
Atlanta,Atlanta International School,Georgia,1984,33.7489954,-84.3879824,"Fulton County, ","Fulton County, Georgia"
 Peachtree Corners,Seigakuin Atlanta International School,Georgia,1990,33.969864,-84.2212938,"Gwinnett County, ","Gwinnett County, Georgia"
 Honolulu,Varsity International School,Hawaii,,21.3069444,-157.8583333,"Honolulu County, ","Honolulu County, Hawaii"
Chicago,British International School of Chicago Lincoln Park,Illinois,2001,41.8781136,-87.6297982,"Cook County, ","Cook County, Illinois"
 South Loop,"British International School of Chicago, South Loop",Illinois,2001,41.8565453,-87.6271838,"Cook County, ","Cook County, Illinois"
 Arlington Heights,Chicago Futabakai Japanese School,Illinois,1966,42.0883603,-87.9806265,"Cook County, ","Cook County, Illinois"
Chicago,Lycée Français de Chicago,Illinois,1995,41.8781136,-87.6297982,"Cook County, ","Cook County, Illinois"
 Indianapolis,International School of Indiana,Indiana,1994,39.768403,-86.158068,"Marion County, ","Marion County, Indiana"
 Bethesda,Lycée Rochambeau,Maryland,1955,38.984652,-77.0947092,"Montgomery County, ","Montgomery County, Maryland"
 Fort Washington,Maryland International Day School,Maryland,2001,38.7073379,-77.0230313,"Prince George's County, ","Prince George's County, Maryland"
Boston,British International School of Boston,Massachusetts,2000,42.3600825,-71.0588801,"Suffolk County, ","Suffolk County, Massachusetts"
 Cambridge,International School of Boston,Massachusetts,1962,42.3736158,-71.1097335,"Middlesex County, ","Middlesex County, Massachusetts"
 Boston,Snowden International School,Massachusetts,1983,42.3600825,-71.0588801,"Suffolk County, ","Suffolk County, Massachusetts"
 Bloomfield Hills,International Academy,Michigan,1996,42.583645,-83.2454883,"Oakland County, ","Oakland County, Michigan"
 Clinton Township,International Academy of Macomb,Michigan,2008,42.5868882,-82.9195514,"Macomb County, ","Macomb County, Michigan"
 St Paul,Saint Paul Preparatory School,Minnesota,2003,44.9537029,-93.0899578,"Ramsey County, ","Ramsey County, Minnesota"
 Eden Prairie,The International School of Minnesota,Minnesota,1985,44.8546856,-93.470786,"Hennepin County, ","Hennepin County, Minnesota"
 Henderson,Henderson International School,Nevada,1941,36.0395247,-114.9817213,"Clark County, ","Clark County, Nevada"
 Oakland,The New Jersey Japanese School,New Jersey,1992,41.0131529,-74.2643143,"Bergen County, ","Bergen County, New Jersey"
 Princeton,Princeton International School of Mathematics and Science,New Jersey,2013,40.3572976,-74.6672226,"Mercer County, ","Mercer County, New Jersey"
 Morristown,French Saturday School,New Jersey,,40.7967667,-74.4815438,"Morris County, ","Morris County, New Jersey"
 Montezuma,Armand Hammer United World College of the American West,New Mexico,1982,35.6521842,-105.2766154,"San Miguel County, ","San Miguel County, New Mexico"
