country	subject	sex	measure	frequency	year	value
Australia	PISAMATH	BOY	MEANSCORE	A	2003	527
Australia	PISAMATH	BOY	MEANSCORE	A	2006	527
Australia	PISAMATH	BOY	MEANSCORE	A	2009	519
Australia	PISAMATH	BOY	MEANSCORE	A	2012	510
Australia	PISAMATH	BOY	MEANSCORE	A	2015	497
Australia	PISAMATH	GIRL	MEANSCORE	A	2003	522
Australia	PISAMATH	GIRL	MEANSCORE	A	2006	513
Australia	PISAMATH	GIRL	MEANSCORE	A	2009	509
Australia	PISAMATH	GIRL	MEANSCORE	A	2012	498
Australia	PISAMATH	GIRL	MEANSCORE	A	2015	491
Austria	PISAMATH	BOY	MEANSCORE	A	2003	509
Austria	PISAMATH	BOY	MEANSCORE	A	2006	517
Austria	PISAMATH	BOY	MEANSCORE	A	2012	517
Austria	PISAMATH	BOY	MEANSCORE	A	2015	510
Austria	PISAMATH	GIRL	MEANSCORE	A	2003	502
Austria	PISAMATH	GIRL	MEANSCORE	A	2006	494
Austria	PISAMATH	GIRL	MEANSCORE	A	2012	494
Austria	PISAMATH	GIRL	MEANSCORE	A	2015	483
Belgium	PISAMATH	BOY	MEANSCORE	A	2003	533
Belgium	PISAMATH	BOY	MEANSCORE	A	2006	524
Belgium	PISAMATH	BOY	MEANSCORE	A	2009	526
Belgium	PISAMATH	BOY	MEANSCORE	A	2012	520
Belgium	PISAMATH	BOY	MEANSCORE	A	2015	514
Belgium	PISAMATH	GIRL	MEANSCORE	A	2003	525
Belgium	PISAMATH	GIRL	MEANSCORE	A	2006	517
Belgium	PISAMATH	GIRL	MEANSCORE	A	2009	504
Belgium	PISAMATH	GIRL	MEANSCORE	A	2012	509
Belgium	PISAMATH	GIRL	MEANSCORE	A	2015	500
Canada	PISAMATH	BOY	MEANSCORE	A	2003	541
Canada	PISAMATH	BOY	MEANSCORE	A	2006	534
Canada	PISAMATH	BOY	MEANSCORE	A	2009	533
Canada	PISAMATH	BOY	MEANSCORE	A	2012	523
Canada	PISAMATH	BOY	MEANSCORE	A	2015	520
Canada	PISAMATH	GIRL	MEANSCORE	A	2003	530
Canada	PISAMATH	GIRL	MEANSCORE	A	2006	520
Canada	PISAMATH	GIRL	MEANSCORE	A	2009	521
Canada	PISAMATH	GIRL	MEANSCORE	A	2012	513
Canada	PISAMATH	GIRL	MEANSCORE	A	2015	511
Czech Republic	PISAMATH	BOY	MEANSCORE	A	2003	524
Czech Republic	PISAMATH	BOY	MEANSCORE	A	2006	514
Czech Republic	PISAMATH	BOY	MEANSCORE	A	2009	495
Czech Republic	PISAMATH	BOY	MEANSCORE	A	2012	505
Czech Republic	PISAMATH	BOY	MEANSCORE	A	2015	496
Czech Republic	PISAMATH	GIRL	MEANSCORE	A	2003	509
Czech Republic	PISAMATH	GIRL	MEANSCORE	A	2006	504
Czech Republic	PISAMATH	GIRL	MEANSCORE	A	2009	490
Czech Republic	PISAMATH	GIRL	MEANSCORE	A	2012	493
Czech Republic	PISAMATH	GIRL	MEANSCORE	A	2015	489
Denmark	PISAMATH	BOY	MEANSCORE	A	2003	523
Denmark	PISAMATH	BOY	MEANSCORE	A	2006	518
Denmark	PISAMATH	BOY	MEANSCORE	A	2009	511
Denmark	PISAMATH	BOY	MEANSCORE	A	2012	507
Denmark	PISAMATH	BOY	MEANSCORE	A	2015	516
Denmark	PISAMATH	GIRL	MEANSCORE	A	2003	506
Denmark	PISAMATH	GIRL	MEANSCORE	A	2006	508
Denmark	PISAMATH	GIRL	MEANSCORE	A	2009	495
Denmark	PISAMATH	GIRL	MEANSCORE	A	2012	493
Denmark	PISAMATH	GIRL	MEANSCORE	A	2015	506
Finland	PISAMATH	BOY	MEANSCORE	A	2003	548
Finland	PISAMATH	BOY	MEANSCORE	A	2006	554
Finland	PISAMATH	BOY	MEANSCORE	A	2009	542
Finland	PISAMATH	BOY	MEANSCORE	A	2012	517
Finland	PISAMATH	BOY	MEANSCORE	A	2015	507
Finland	PISAMATH	GIRL	MEANSCORE	A	2003	541
Finland	PISAMATH	GIRL	MEANSCORE	A	2006	543
Finland	PISAMATH	GIRL	MEANSCORE	A	2009	539
Finland	PISAMATH	GIRL	MEANSCORE	A	2012	520
Finland	PISAMATH	GIRL	MEANSCORE	A	2015	515
France	PISAMATH	BOY	MEANSCORE	A	2003	515
France	PISAMATH	BOY	MEANSCORE	A	2006	499
France	PISAMATH	BOY	MEANSCORE	A	2009	505
France	PISAMATH	BOY	MEANSCORE	A	2012	499
France	PISAMATH	BOY	MEANSCORE	A	2015	496
France	PISAMATH	GIRL	MEANSCORE	A	2003	507
France	PISAMATH	GIRL	MEANSCORE	A	2006	492
France	PISAMATH	GIRL	MEANSCORE	A	2009	489
France	PISAMATH	GIRL	MEANSCORE	A	2012	491
France	PISAMATH	GIRL	MEANSCORE	A	2015	490
Germany	PISAMATH	BOY	MEANSCORE	A	2003	508
Germany	PISAMATH	BOY	MEANSCORE	A	2006	513
Germany	PISAMATH	BOY	MEANSCORE	A	2009	520
Germany	PISAMATH	BOY	MEANSCORE	A	2012	520
Germany	PISAMATH	BOY	MEANSCORE	A	2015	514
Germany	PISAMATH	GIRL	MEANSCORE	A	2003	499
Germany	PISAMATH	GIRL	MEANSCORE	A	2006	494
Germany	PISAMATH	GIRL	MEANSCORE	A	2009	505
Germany	PISAMATH	GIRL	MEANSCORE	A	2012	507
Germany	PISAMATH	GIRL	MEANSCORE	A	2015	498
Greece	PISAMATH	BOY	MEANSCORE	A	2003	455
Greece	PISAMATH	BOY	MEANSCORE	A	2006	462
Greece	PISAMATH	BOY	MEANSCORE	A	2009	473
Greece	PISAMATH	BOY	MEANSCORE	A	2012	457
Greece	PISAMATH	BOY	MEANSCORE	A	2015	454
Greece	PISAMATH	GIRL	MEANSCORE	A	2003	436
Greece	PISAMATH	GIRL	MEANSCORE	A	2006	457
Greece	PISAMATH	GIRL	MEANSCORE	A	2009	459
Greece	PISAMATH	GIRL	MEANSCORE	A	2012	449
Greece	PISAMATH	GIRL	MEANSCORE	A	2015	454
Hungary	PISAMATH	BOY	MEANSCORE	A	2003	494
Hungary	PISAMATH	BOY	MEANSCORE	A	2006	496
Hungary	PISAMATH	BOY	MEANSCORE	A	2009	496
Hungary	PISAMATH	BOY	MEANSCORE	A	2012	482
Hungary	PISAMATH	BOY	MEANSCORE	A	2015	481
Hungary	PISAMATH	GIRL	MEANSCORE	A	2003	486
Hungary	PISAMATH	GIRL	MEANSCORE	A	2006	486
Hungary	PISAMATH	GIRL	MEANSCORE	A	2009	484
Hungary	PISAMATH	GIRL	MEANSCORE	A	2012	473
Hungary	PISAMATH	GIRL	MEANSCORE	A	2015	473
Iceland	PISAMATH	BOY	MEANSCORE	A	2003	508
Iceland	PISAMATH	BOY	MEANSCORE	A	2006	503
Iceland	PISAMATH	BOY	MEANSCORE	A	2009	508
Iceland	PISAMATH	BOY	MEANSCORE	A	2012	490
Iceland	PISAMATH	BOY	MEANSCORE	A	2015	487
Iceland	PISAMATH	GIRL	MEANSCORE	A	2003	523
Iceland	PISAMATH	GIRL	MEANSCORE	A	2006	508
Iceland	PISAMATH	GIRL	MEANSCORE	A	2009	505
Iceland	PISAMATH	GIRL	MEANSCORE	A	2012	496
Iceland	PISAMATH	GIRL	MEANSCORE	A	2015	489
Ireland	PISAMATH	BOY	MEANSCORE	A	2003	510
Ireland	PISAMATH	BOY	MEANSCORE	A	2006	507
Ireland	PISAMATH	BOY	MEANSCORE	A	2009	491
Ireland	PISAMATH	BOY	MEANSCORE	A	2012	509
Ireland	PISAMATH	BOY	MEANSCORE	A	2015	512
Ireland	PISAMATH	GIRL	MEANSCORE	A	2003	495
Ireland	PISAMATH	GIRL	MEANSCORE	A	2006	496
Ireland	PISAMATH	GIRL	MEANSCORE	A	2009	483
Ireland	PISAMATH	GIRL	MEANSCORE	A	2012	494
Ireland	PISAMATH	GIRL	MEANSCORE	A	2015	495
Italy	PISAMATH	BOY	MEANSCORE	A	2003	475
Italy	PISAMATH	BOY	MEANSCORE	A	2006	470
Italy	PISAMATH	BOY	MEANSCORE	A	2009	490
Italy	PISAMATH	BOY	MEANSCORE	A	2012	494
Italy	PISAMATH	BOY	MEANSCORE	A	2015	500
Italy	PISAMATH	GIRL	MEANSCORE	A	2003	457
Italy	PISAMATH	GIRL	MEANSCORE	A	2006	453
Italy	PISAMATH	GIRL	MEANSCORE	A	2009	475
Italy	PISAMATH	GIRL	MEANSCORE	A	2012	476
Italy	PISAMATH	GIRL	MEANSCORE	A	2015	480
Japan	PISAMATH	BOY	MEANSCORE	A	2003	539
Japan	PISAMATH	BOY	MEANSCORE	A	2006	533
Japan	PISAMATH	BOY	MEANSCORE	A	2009	534
Japan	PISAMATH	BOY	MEANSCORE	A	2012	545
Japan	PISAMATH	BOY	MEANSCORE	A	2015	539
Japan	PISAMATH	GIRL	MEANSCORE	A	2003	530
Japan	PISAMATH	GIRL	MEANSCORE	A	2006	513
Japan	PISAMATH	GIRL	MEANSCORE	A	2009	524
Japan	PISAMATH	GIRL	MEANSCORE	A	2012	527
Japan	PISAMATH	GIRL	MEANSCORE	A	2015	525
Korea	PISAMATH	BOY	MEANSCORE	A	2003	552
Korea	PISAMATH	BOY	MEANSCORE	A	2006	552
Korea	PISAMATH	BOY	MEANSCORE	A	2009	548
Korea	PISAMATH	BOY	MEANSCORE	A	2012	562
Korea	PISAMATH	BOY	MEANSCORE	A	2015	521
Korea	PISAMATH	GIRL	MEANSCORE	A	2003	528
Korea	PISAMATH	GIRL	MEANSCORE	A	2006	543
Korea	PISAMATH	GIRL	MEANSCORE	A	2009	544
Korea	PISAMATH	GIRL	MEANSCORE	A	2012	544
Korea	PISAMATH	GIRL	MEANSCORE	A	2015	528
Luxembourg	PISAMATH	BOY	MEANSCORE	A	2003	502
Luxembourg	PISAMATH	BOY	MEANSCORE	A	2006	498
Luxembourg	PISAMATH	BOY	MEANSCORE	A	2009	499
Luxembourg	PISAMATH	BOY	MEANSCORE	A	2012	502
Luxembourg	PISAMATH	BOY	MEANSCORE	A	2015	491
Luxembourg	PISAMATH	GIRL	MEANSCORE	A	2003	485
Luxembourg	PISAMATH	GIRL	MEANSCORE	A	2006	482
Luxembourg	PISAMATH	GIRL	MEANSCORE	A	2009	479
Luxembourg	PISAMATH	GIRL	MEANSCORE	A	2012	477
Luxembourg	PISAMATH	GIRL	MEANSCORE	A	2015	480
Mexico	PISAMATH	BOY	MEANSCORE	A	2003	391
Mexico	PISAMATH	BOY	MEANSCORE	A	2006	410
Mexico	PISAMATH	BOY	MEANSCORE	A	2009	425
Mexico	PISAMATH	BOY	MEANSCORE	A	2012	420
Mexico	PISAMATH	BOY	MEANSCORE	A	2015	412
Mexico	PISAMATH	GIRL	MEANSCORE	A	2003	380
Mexico	PISAMATH	GIRL	MEANSCORE	A	2006	401
Mexico	PISAMATH	GIRL	MEANSCORE	A	2009	412
Mexico	PISAMATH	GIRL	MEANSCORE	A	2012	406
Mexico	PISAMATH	GIRL	MEANSCORE	A	2015	404
Netherlands	PISAMATH	BOY	MEANSCORE	A	2003	540
Netherlands	PISAMATH	BOY	MEANSCORE	A	2006	537
Netherlands	PISAMATH	BOY	MEANSCORE	A	2009	534
Netherlands	PISAMATH	BOY	MEANSCORE	A	2012	528
Netherlands	PISAMATH	BOY	MEANSCORE	A	2015	513
Netherlands	PISAMATH	GIRL	MEANSCORE	A	2003	535
Netherlands	PISAMATH	GIRL	MEANSCORE	A	2006	524
Netherlands	PISAMATH	GIRL	MEANSCORE	A	2009	517
Netherlands	PISAMATH	GIRL	MEANSCORE	A	2012	518
Netherlands	PISAMATH	GIRL	MEANSCORE	A	2015	511
New Zealand	PISAMATH	BOY	MEANSCORE	A	2003	531
New Zealand	PISAMATH	BOY	MEANSCORE	A	2006	527
New Zealand	PISAMATH	BOY	MEANSCORE	A	2009	523
New Zealand	PISAMATH	BOY	MEANSCORE	A	2012	507
New Zealand	PISAMATH	BOY	MEANSCORE	A	2015	499
New Zealand	PISAMATH	GIRL	MEANSCORE	A	2003	516
New Zealand	PISAMATH	GIRL	MEANSCORE	A	2006	517
New Zealand	PISAMATH	GIRL	MEANSCORE	A	2009	515
New Zealand	PISAMATH	GIRL	MEANSCORE	A	2012	492
New Zealand	PISAMATH	GIRL	MEANSCORE	A	2015	491
Norway	PISAMATH	BOY	MEANSCORE	A	2003	498
Norway	PISAMATH	BOY	MEANSCORE	A	2006	493
Norway	PISAMATH	BOY	MEANSCORE	A	2009	500
Norway	PISAMATH	BOY	MEANSCORE	A	2012	490
Norway	PISAMATH	BOY	MEANSCORE	A	2015	501
Norway	PISAMATH	GIRL	MEANSCORE	A	2003	492
Norway	PISAMATH	GIRL	MEANSCORE	A	2006	487
Norway	PISAMATH	GIRL	MEANSCORE	A	2009	495
Norway	PISAMATH	GIRL	MEANSCORE	A	2012	488
Norway	PISAMATH	GIRL	MEANSCORE	A	2015	503
Poland	PISAMATH	BOY	MEANSCORE	A	2003	493
Poland	PISAMATH	BOY	MEANSCORE	A	2006	500
Poland	PISAMATH	BOY	MEANSCORE	A	2009	497
Poland	PISAMATH	BOY	MEANSCORE	A	2012	520
Poland	PISAMATH	BOY	MEANSCORE	A	2015	510
Poland	PISAMATH	GIRL	MEANSCORE	A	2003	487
Poland	PISAMATH	GIRL	MEANSCORE	A	2006	491
Poland	PISAMATH	GIRL	MEANSCORE	A	2009	493
Poland	PISAMATH	GIRL	MEANSCORE	A	2012	516
Poland	PISAMATH	GIRL	MEANSCORE	A	2015	499
Portugal	PISAMATH	BOY	MEANSCORE	A	2003	472
Portugal	PISAMATH	BOY	MEANSCORE	A	2006	474
Portugal	PISAMATH	BOY	MEANSCORE	A	2009	493
Portugal	PISAMATH	BOY	MEANSCORE	A	2012	493
Portugal	PISAMATH	BOY	MEANSCORE	A	2015	497
Portugal	PISAMATH	GIRL	MEANSCORE	A	2003	460
Portugal	PISAMATH	GIRL	MEANSCORE	A	2006	459
Portugal	PISAMATH	GIRL	MEANSCORE	A	2009	481
Portugal	PISAMATH	GIRL	MEANSCORE	A	2012	481
Portugal	PISAMATH	GIRL	MEANSCORE	A	2015	487
Slovakia	PISAMATH	BOY	MEANSCORE	A	2003	507
Slovakia	PISAMATH	BOY	MEANSCORE	A	2006	499
Slovakia	PISAMATH	BOY	MEANSCORE	A	2009	498
