,Lat,Lng,Place,StudentsCount
0,40.7127753,-74.0059728,New York University,"17,326"
1,34.0522342,-118.2436849,University of Southern California,"14,327"
2,40.7127753,-74.0059728,Columbia University,"14,096"
3,42.3600825,-71.0588801,Northeastern University - Boston,"13,201"
4,33.4255104,-111.9400054,Arizona State University - Tempe,"13,164"
5,40.1164204,-88.2433829,University of Illinois - Urbana-Champaign,"12,454"
6,34.0522342,-118.2436849,University of California - Los Angeles,"12,199"
7,40.4258686,-86.9080655,Purdue University - West Lafayette,"11,288"
8,32.9483335,-96.7298519,University of Texas - Dallas,"9,305"
9,32.8550377,-96.797592,Pennsylvania State University - University Park,"9,134"
10,32.8328112,-117.2712717,University of California - San Diego,"9,065"
11,42.3600825,-71.0588801,Boston University,"8,992"
12,42.2808256,-83.7430378,University of Michigan - Ann Arbor,"8,163"
13,47.6062095,-122.3320708,University of Washington,"8,019"
14,37.8718992,-122.2585399,University of California - Berkeley,"8,000"
15,42.7369792,-84.4838654,Michigan State University,"7,779"
16,39.9611755,-82.9987942,Ohio State University - Columbus,"7,684"
17,40.4406248,-79.9958864,Carnegie Mellon University,"7,653"
18,39.165325,-86.5263857,Indiana University - Bloomington,"7,502"
19,38.8816208,-77.0909809,University of Texas - Arlington,"7,277"
20,42.8864468,-78.8783689,SUNY University at Buffalo,"7,252"
21,44.977753,-93.2650108,University of Minnesota - Twin Cities,"7,197"
22,29.6516344,-82.3248262,University of Florida,"7,107"
23,30.627977,-96.3344068,Texas A&M University - College Station,"6,960"
24,33.6845673,-117.8265049,University of California - Irvine,"6,792"
25,40.7127753,-74.0059728,New York University,"5,399"
26,34.0522342,-118.2436849,University of Southern California,"5,321"
27,40.7127753,-74.0059728,Columbia University,"4,837"
28,40.4258686,-86.9080655,Purdue University Main Campus,"4,469"
29,42.3600825,-71.0588801,Boston University,"4,443"
30,30.267153,-97.7430608,University of Texas at Austin,"4,320"
31,39.9611755,-82.9987942,The Ohio State University Main Campus,"4,035"
32,42.2808256,-83.7430378,University of Michigan - Ann Arbor,"4,004"
33,43.0730517,-89.4012302,University of Wisconsin - Madison,"3,938"
34,38.8303905,-77.1963703,Northern Virginia Community College,"3,877"
35,40.1164204,-88.2433829,University of Illinois Urbana ? Champaign,"3,798"
36,25.7616798,-80.1917902,Florida International University,"3,603"
37,30.627977,-96.3344068,Texas A&M University,"3,587"
38,39.9525839,-75.1652215,University of Pennsylvania,"3,487"
39,38.9896967,-76.93776,University of Maryland College Park,"3,480"
40,42.3736,-71.1097,Harvard University,"3,377"
41,44.977753,-93.2650108,University of Minnesota  Twin Cities,"3,356"
42,32.8550377,-96.797592,Penn State University Park,"3,288"
43,39.165325,-86.5263857,Indiana University at Bloomington,"3,284"
44,39.0839973,-77.1527578,Montgomery College,"3,264"
45,29.7604267,-95.3698028,Houston Community College System,"3,201"
46,40.7127753,-74.0059728,CUNY Bernard M. Baruch College,"3,135"
47,29.6516344,-82.3248262,University of Florida,"3,039"
48,42.4439614,-76.5018807,Cornell University,"3,024"
49,29.7604267,-95.3698028,University of Houston,"3,010"
50,34.0522342,-118.2436849,University of Southern California California,"6,881"
51,40.7127753,-74.0059728,Columbia University,"5,575"
52,40.4258686,-86.9080655,"Purdue University, Main Campus","5,540"
53,40.7127753,-74.0059728,New York University,"5,502"
54,30.267153,-97.7430608,University of Texas at Austin,"5,395"
55,40.1164204,-88.2433829,University of Illinois at Urbana-Champaign,"4,904"
56,42.2808256,-83.7430378,University of Michigan - Ann Arbor,"4,649"
57,42.3600825,-71.0588801,Boston University,"4,542"
58,39.9611755,-82.9987942,"The Ohio State University, Main Campus","4,476"
59,42.8864468,-78.8783689,SUNY - University at Buffalo,"4,072"
60,34.0522342,-118.2436849,University of California - Los Angeles,"3,979"
61,29.6516344,-82.3248262,University of Florida,"3,749"
62,42.4439614,-76.5018807,Cornell University,"3,697"
63,39.9525839,-75.1652215,University of Pennsylvania,"3,689"
64,42.3736,-71.1097,Harvard University,"3,669"
65,30.627977,-96.3344068,Texas A&M University,"3,589"
66,39.165325,-86.5263857,Indiana University at Bloomington,"3,540"
67,38.9896967,-76.93776,University of Maryland College Park,"3,476"
68,29.7604267,-95.3698028,University of Houston,"3,413"
69,44.977753,-93.2650108,University of Minnesota - Twin Cities,"3,384"
70,43.0730517,-89.4012302,University of Wisconsin - Madison,"3,381"
71,42.7369792,-84.4838654,Michigan State University,"3,293"
72,37.4274745,-122.169719,Stanford University,"3,200"
73,32.8550377,-96.797592,Penn State University - University Park,"3,199"
74,32.2217429,-110.926479,University of Arizona,"3,023"
75,34.0522342,-118.2436849,University of Southern California,"7,482"
76,40.7127753,-74.0059728,New York University,"6,761"
77,40.7127753,-74.0059728,Columbia University,"6,685"
78,40.1164204,-88.2433829,University of Illinois - Urbana-Champaign,"6,570"
79,40.4258686,-86.9080655,Purdue University - Main Campus,"6,136"
80,42.2808256,-83.7430378,University of Michigan - Ann Arbor,"5,790"
81,30.267153,-97.7430608,University of Texas - Austin,"5,703"
82,34.0522342,-118.2436849,University of California - Los Angeles,"5,590"
83,42.3600825,-71.0588801,Boston University,"5,037"
84,42.7369792,-84.4838654,Michigan State University,"4,757"
85,42.3736,-71.1097,Harvard University,"4,735"
86,29.6516344,-82.3248262,University of Florida,"4,731"
87,39.9525839,-75.1652215,University of Pennsylvania,"4,635"
88,39.9611755,-82.9987942,Ohio State University - Main Campus,"4,583"
89,39.165325,-86.5263857,Indiana University - Bloomington,"4,565"
90,30.627977,-96.3344068,Texas A&M University,"4,558"
91,42.8864468,-78.8783689,SUNY University at Buffalo,"4,539"
92,33.4255104,-111.9400054,Arizona State University - Tempe Campus,"4,375"
93,43.0730517,-89.4012302,University of Wisconsin - Madison,"4,243"
94,44.977753,-93.2650108,University of Minnesota - Twin Cities,"4,120"
95,42.4439614,-76.5018807,Cornell University,"4,018"
96,37.4274745,-122.169719,Stanford University,"3,976"
97,33.7489954,-84.3879824,Georgia Institute of Technology,"3,911"
98,29.7604267,-95.3698028,University of Houston,"3,778"
99,32.8550377,-96.797592,Penn State University - University Park,"3,741"
100,34.0522342,-118.2436849,University of Southern California,"8,615"
101,40.1164204,-88.2433829,University of Illinois - Urbana-Champaign,"7,991"
102,40.7127753,-74.0059728,New York University,"7,988"
103,40.4258686,-86.9080655,Purdue University - Main Campus,"7,562"
104,40.7127753,-74.0059728,Columbia University,"7,297"
105,34.0522342,-118.2436849,University of California - Los Angeles,"6,249"
106,39.9611755,-82.9987942,Ohio State University - Main Campus,"6,082"
107,42.2808256,-83.7430378,University of Michigan - Ann Arbor,"5,995"
108,42.7369792,-84.4838654,Michigan State University,"5,748"
109,42.3736,-71.1097,Harvard University,"5,594"
110,39.165325,-86.5263857,Indiana University - Bloomington,"5,471"
111,42.3600825,-71.0588801,Boston University,"5,464"
112,29.6516344,-82.3248262,University of Florida,"5,393"
113,30.267153,-97.7430608,University of Texas - Austin,"5,323"
114,32.8550377,-96.797592,Penn State University - University Park,"5,207"
115,42.3600825,-71.0588801,Northeastern University,"5,187"
116,42.8864468,-78.8783689,SUNY University at Buffalo,"5,185"
117,44.977753,-93.2650108,University of Minnesota - Twin Cities,"5,124"
118,33.7489954,-84.3879824,Georgia Institute of Technology,"4,943"
119,33.4255104,-111.9400054,Arizona State University,"4,934"
120,30.627977,-96.3344068,Texas A&M University,"4,874"
121,39.9525839,-75.1652215,University of Pennsylvania,"4,752"
122,43.0730517,-89.4012302,University of Wisconsin - Madison,"4,647"
123,29.7604267,-95.3698028,University of Houston,"4,377"
124,42.4439614,-76.5018807,Cornell University,"4,357"
125,40.7127753,-74.0059728,New York University,"9,362"
126,34.0522342,-118.2436849,University of Southern California,"9,840"
127,40.1164204,-88.2433829,University of Illinois - Urbana-Champaign,"9,804"
128,40.7127753,-74.0059728,Columbia University,"8,797"
129,40.4258686,-86.9080655,Purdue University - Main Campus,"9,509"
130,34.0522342,-118.2436849,University of California - Los Angeles,"8,424"
131,42.3600825,-71.0588801,Northeastern University,"7,705"
132,33.4255104,-111.9400054,Arizona State University,"6,645"
133,42.7369792,-84.4838654,Michigan State University,"6,759"
134,47.6062095,-122.3320708,University of Washington,"6,491"
135,42.2808256,-83.7430378,University of Michigan - Ann Arbor,"6,827"
136,42.3600825,-71.0588801,Boston University,"6,615"
137,32.8550377,-96.797592,Penn State University - University Park,"6,693"
138,39.9611755,-82.9987942,Ohio State University - Main Campus,"6,478"
139,39.165325,-86.5263857,Indiana University - Bloomington,"6,547"
140,44.977753,-93.2650108,University of Minnesota - Twin Cities,"6,178"
141,42.8864468,-78.8783689,SUNY University at Buffalo,"5,804"
142,37.8718992,-122.2585399,University of California - Berkeley,"5,632"
143,32.9483335,-96.7298519,University of Texas - Dallas,"5,193"
144,29.6516344,-82.3248262,University of Florida,"5,961"
145,39.9525839,-75.1652215,University of Pennsylvania,"5,751"
146,43.0730517,-89.4012302,University of Wisconsin - Madison,"5,291"
147,30.267153,-97.7430608,University of Texas - Austin,"5,481"
148,30.627977,-96.3344068,Texas A&M University,"5,149"
149,40.4406248,-79.9958864,Carnegie Mellon University,"4,744"
