Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",5170,943,688,410,187,184,211,240,196,184,91,111,307,224,404,246,251,191,92,169,577,327,332,250,551,310,738,443,259,363,243,214,43,74
0500000US04001,4001,"Apache County, Arizona",13343,928,4506,1038,1625,600,670,426,746,387,1059,530,948,533,865,525,487,325,66,108,831,475,708,404,673,500,72,126,15,24,0,291,72,130
0500000US04005,4005,"Coconino County, Arizona",8975,811,1771,626,651,350,944,575,607,432,630,448,419,328,651,465,199,224,401,284,836,572,834,447,602,353,357,349,0,291,73,123,0,291
0500000US04013,4013,"Maricopa County, Arizona",20043,1507,2270,935,2522,1038,1570,940,1360,568,1670,814,1599,679,1077,488,1157,576,649,373,1176,539,1771,472,1835,727,808,467,446,396,133,129,0,291
0500000US04017,4017,"Navajo County, Arizona",12953,1053,3664,1049,936,528,1001,485,1331,586,1179,558,1350,548,797,491,721,374,269,257,582,435,478,385,367,287,147,175,131,155,0,291,0,291
0500000US04019,4019,"Pima County, Arizona",8473,1218,1677,691,725,487,579,407,578,371,383,265,672,368,585,414,852,537,309,234,360,308,1025,554,270,221,152,175,217,178,89,100,0,291
0500000US06037,6037,"Los Angeles County, California",16970,2338,1285,612,688,338,1045,426,836,446,831,417,1182,662,546,416,1165,667,363,392,1204,512,1919,661,2883,1185,967,479,587,372,566,467,903,629
0500000US06065,6065,"Riverside County, California",5493,1054,502,278,358,334,562,350,162,161,625,464,247,264,79,97,170,168,200,227,415,302,710,365,468,249,366,212,332,187,73,95,224,225
0500000US06067,6067,"Sacramento County, California",6673,1242,247,256,473,491,301,205,0,293,71,114,762,712,382,252,542,302,470,437,569,394,1036,532,1168,638,107,129,367,493,0,293,178,229
0500000US06071,6071,"San Bernardino County, California",6347,1240,523,324,402,259,240,195,538,470,104,123,318,213,258,289,258,312,334,270,986,561,1165,540,680,316,300,214,160,202,46,75,35,58
0500000US06073,6073,"San Diego County, California",7305,1202,450,338,496,329,698,401,395,273,401,344,287,223,399,378,281,315,357,249,515,283,406,264,839,524,821,490,349,264,419,420,192,178
0500000US26163,26163,"Wayne County, Michigan",3002,775,423,334,164,120,480,456,200,190,133,136,0,238,599,428,0,238,85,147,104,102,392,281,197,167,93,114,0,238,132,211,0,238
0500000US35001,35001,"Bernalillo County, New Mexico",10033,1210,1032,543,2165,947,113,132,1479,674,640,447,477,382,543,466,685,497,98,112,836,596,565,326,1073,590,120,145,54,89,153,232,0,282
0500000US35031,35031,"McKinley County, New Mexico",13663,794,3333,992,1385,691,1354,673,1467,774,1104,694,1108,513,653,437,393,331,369,329,755,523,550,440,681,372,284,280,166,257,61,104,0,282
0500000US35043,35043,"Sandoval County, New Mexico",3535,586,558,273,142,124,451,226,762,438,344,225,100,71,102,123,36,42,247,200,110,99,151,147,430,359,102,99,0,282,0,282,0,282
0500000US35045,35045,"San Juan County, New Mexico",12585,1230,2004,729,1492,549,1494,1007,543,503,1424,859,1047,599,765,563,776,831,484,359,373,374,712,418,930,656,189,204,114,219,125,205,113,200
0500000US37155,37155,"Robeson County, North Carolina",16788,973,2202,731,3168,931,1692,729,1221,577,1405,513,566,328,1916,773,923,468,595,312,640,389,1313,605,792,489,204,190,65,110,44,79,42,69
0500000US40101,40101,"Muskogee County, Oklahoma",2941,748,223,207,156,140,235,190,528,346,139,202,242,211,132,231,156,138,46,57,179,181,487,377,418,398,0,247,0,247,0,247,0,247
0500000US40109,40109,"Oklahoma County, Oklahoma",8459,1183,939,465,984,496,398,246,495,332,478,331,866,455,422,345,655,392,558,300,578,444,885,432,624,337,219,165,44,71,102,88,212,186
0500000US40143,40143,"Tulsa County, Oklahoma",11245,1389,1165,478,740,426,690,372,992,435,967,483,294,208,621,449,975,512,136,117,1206,632,1481,515,1065,489,499,344,115,136,177,177,122,138
0500000US48201,48201,"Harris County, Texas",5127,1246,236,323,434,303,259,338,126,123,407,336,458,409,457,431,250,296,152,151,210,351,978,475,0,288,623,511,213,247,113,133,211,191
0500000US53033,53033,"King County, Washington",6137,1135,1040,416,692,571,187,205,232,273,508,496,142,139,495,356,787,524,245,317,430,299,763,440,336,256,158,184,58,95,0,268,64,106
