Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",4764,775,173,205,351,311,304,258,183,197,155,161,634,419,399,331,259,162,222,219,399,327,273,224,772,320,168,165,224,225,36,67,212,178
0500000US04001,4001,"Apache County, Arizona",10602,1438,3243,663,886,342,718,286,721,302,486,225,462,270,677,348,573,277,519,301,614,302,554,275,639,346,280,264,182,259,48,84,0,302
0500000US04005,4005,"Coconino County, Arizona",9610,1034,1492,661,586,326,611,271,552,383,276,221,1133,700,348,231,683,405,353,278,894,467,738,380,1360,586,404,258,180,163,0,302,0,302
0500000US04013,4013,"Maricopa County, Arizona",19568,1565,2415,799,967,476,1081,600,1595,543,827,538,1228,677,1328,618,1166,484,418,290,1206,593,2255,790,3098,968,1030,446,502,408,301,209,151,137
0500000US04017,4017,"Navajo County, Arizona",13498,1326,2248,657,851,394,1159,381,990,434,985,511,844,498,1114,481,1030,646,485,306,903,339,823,397,937,501,530,359,159,174,290,227,150,239
0500000US04019,4019,"Pima County, Arizona",8553,1287,1135,578,399,336,473,292,716,474,1157,558,693,447,671,410,361,333,424,430,657,438,818,525,642,475,196,148,134,165,35,61,42,69
0500000US06037,6037,"Los Angeles County, California",17773,1864,893,376,981,456,659,328,786,403,563,268,1152,536,1168,440,652,276,738,384,1961,729,1742,711,2801,964,1691,637,878,511,547,271,561,338
0500000US06059,6059,"Orange County, California",5029,940,0,294,334,314,303,285,241,248,102,123,223,252,141,138,222,272,329,295,291,221,583,448,1081,601,249,236,489,347,210,178,231,176
0500000US06065,6065,"Riverside County, California",7445,1296,647,477,467,299,359,416,591,368,150,165,568,418,426,273,90,106,579,467,383,443,926,509,1032,606,323,274,370,288,76,100,458,368
0500000US06067,6067,"Sacramento County, California",4564,1260,208,236,355,312,324,310,321,284,483,356,516,421,121,120,141,170,223,356,305,237,338,286,632,467,402,256,79,94,116,128,0,294
