CountyID,CountyName,TotalPopulation,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
1001,"Autauga County, Alabama",58,7,0,16,0,10,0,0,0,5,0,10,10,0,0,0,0
1003,"Baldwin County, Alabama",330,23,21,36,13,21,13,0,23,43,37,48,42,10,0,0,0
1005,"Barbour County, Alabama",36,16,0,0,0,7,0,0,0,0,9,0,4,0,0,0,0
1007,"Bibb County, Alabama",17,0,0,4,6,0,0,0,0,3,0,0,4,0,0,0,0
1009,"Blount County, Alabama",72,28,4,0,0,6,13,0,2,3,6,6,4,0,0,0,0
1011,"Bullock County, Alabama",11,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0
1013,"Butler County, Alabama",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1015,"Calhoun County, Alabama",213,67,12,33,0,5,5,16,17,5,19,26,0,8,0,0,0
1017,"Chambers County, Alabama",31,6,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0
1019,"Cherokee County, Alabama",51,28,11,2,0,0,0,0,3,0,7,0,0,0,0,0,0
1021,"Chilton County, Alabama",59,12,22,0,12,2,0,11,0,0,0,0,0,0,0,0,0
1023,"Choctaw County, Alabama",16,2,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0
1025,"Clarke County, Alabama",11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,"Clay County, Alabama",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1029,"Cleburne County, Alabama",31,11,6,0,0,0,5,0,0,3,6,0,0,0,0,0,0
1031,"Coffee County, Alabama",110,6,12,22,6,13,14,5,0,19,11,2,0,0,0,0,0
1033,"Colbert County, Alabama",36,11,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0
1035,"Conecuh County, Alabama",6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,"Coosa County, Alabama",18,2,3,0,0,4,0,2,0,0,0,0,7,0,0,0,0
1039,"Covington County, Alabama",77,5,21,2,11,1,12,0,13,0,0,0,8,4,0,0,0
1041,"Crenshaw County, Alabama",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,"Cullman County, Alabama",117,13,3,15,7,15,11,0,11,0,29,13,0,0,0,0,0
1045,"Dale County, Alabama",107,31,10,2,13,2,5,10,15,2,0,3,8,6,0,0,0
