Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01073,1073,"Jefferson County, Alabama",2773,470,47,82,37,69,343,303,214,190,142,132,155,155,125,116,183,174,0,270,152,151,608,368,184,177,102,130,293,269,122,133,66,113
0500000US02020,2020,"Anchorage Municipality, Alaska",5933,937,112,196,137,124,268,268,693,445,504,295,218,247,816,708,179,222,242,198,518,291,912,497,553,318,139,133,0,233,474,436,168,207
0500000US04013,4013,"Maricopa County, Arizona",33793,2015,2727,1139,830,450,1003,557,1474,646,912,531,1883,815,1527,563,1905,818,752,351,3668,1095,4284,1054,3985,885,2886,868,2881,963,1823,1012,1253,525
0500000US04019,4019,"Pima County, Arizona",7327,707,1025,481,314,248,581,323,296,274,448,262,428,286,428,273,386,252,431,242,764,343,556,287,826,372,346,230,101,120,221,176,176,151
0500000US06001,6001,"Alameda County, California",110554,3320,9461,1853,3835,1012,5149,1449,4547,1323,2462,705,2491,1014,3627,1014,3517,911,3623,843,6361,1603,11417,2180,15480,2298,12695,1818,8172,1159,9710,1512,8007,1240
0500000US06013,6013,"Contra Costa County, California",42687,1890,1244,608,552,299,1396,720,1067,589,831,479,1359,773,712,449,1178,695,1317,551,3082,869,4282,1339,7468,1402,6291,1198,4666,1106,3696,784,3546,835
0500000US06019,6019,"Fresno County, California",19809,1340,1522,566,1430,528,2039,776,1489,741,1045,400,1162,886,789,461,942,579,1290,788,1634,650,1151,447,2842,950,1023,474,670,463,574,391,207,161
0500000US06029,6029,"Kern County, California",7636,842,1030,471,331,199,342,317,308,292,230,227,140,125,310,253,378,370,229,215,819,459,1074,573,1269,551,334,238,326,233,189,182,327,444
0500000US06037,6037,"Los Angeles County, California",418162,6977,41143,4533,19052,2600,21702,2976,21050,2159,14868,2458,21689,3151,18255,2978,21196,2617,17178,2519,32656,3414,40746,3615,51144,3709,34690,3573,22087,1981,21692,2309,19014,2698
0500000US06041,6041,"Marin County, California",4812,727,172,243,167,183,142,187,250,224,57,101,110,135,306,240,425,411,414,359,225,210,739,521,384,311,422,276,0,293,578,462,421,356
0500000US06053,6053,"Monterey County, California",7777,946,628,406,174,184,629,430,310,264,199,193,321,251,55,93,495,380,101,122,673,426,1840,815,988,544,616,367,251,249,254,206,243,184
0500000US06059,6059,"Orange County, California",147631,3560,11559,1839,5900,1396,6664,1378,4478,1454,4310,1063,5221,1211,5053,1203,6102,1358,5478,1261,11807,1894,14752,1930,20507,2479,18595,2295,9333,1828,10188,1822,7684,1344
0500000US06061,6061,"Placer County, California",5591,857,313,253,0,293,347,465,0,293,48,81,440,437,181,180,102,136,171,268,576,388,463,301,638,521,726,454,266,222,559,361,761,385
0500000US06065,6065,"Riverside County, California",28449,1778,3558,1621,855,443,852,422,775,513,1171,558,1526,673,1105,459,1311,617,1048,557,2167,874,3726,1006,3968,1027,2778,715,1781,887,1237,565,591,347
0500000US06067,6067,"Sacramento County, California",58323,2429,4802,1608,3728,1287,2785,813,2990,895,2452,1084,3479,1025,2338,782,2191,796,2155,735,5430,1148,8160,1304,6318,1283,4824,1360,3958,1021,1262,507,1451,602
0500000US06071,6071,"San Bernardino County, California",31795,2094,1980,848,1066,681,1184,685,966,498,1100,535,1488,650,2023,1336,1874,681,1112,544,2446,775,3522,885,5126,1146,2020,695,2129,960,2587,1232,1172,629
0500000US06073,6073,"San Diego County, California",91639,2995,5511,1199,2745,784,4254,1278,3290,924,3496,1360,3333,884,4786,1142,4364,1261,3803,1390,6909,1537,9628,2171,15596,1925,9536,1727,6089,1578,4971,1085,3328,887
0500000US06075,6075,"San Francisco County, California",87941,2599,12480,2231,4931,1316,5644,1324,4379,1024,2833,645,4097,1054,2961,845,3605,955,2693,946,6645,1188,7577,1258,10340,1561,6733,1369,5672,1238,3676,868,3675,877
0500000US06077,6077,"San Joaquin County, California",26754,1724,2248,894,1375,532,936,437,1580,629,1398,656,1462,675,1520,625,830,438,1025,547,3037,1021,2511,672,4122,1104,2048,689,1235,585,933,311,494,324
0500000US06081,6081,"San Mateo County, California",53409,2076,1825,700,1337,576,1570,1002,2769,1494,1326,583,1316,611,1875,826,1516,594,2109,767,2984,898,5078,1228,9477,1364,7149,1344,3243,822,5397,1102,4438,985
0500000US06083,6083,"Santa Barbara County, California",5469,631,548,409,130,155,133,155,120,142,165,155,291,239,134,135,144,180,208,161,537,351,946,367,634,408,528,309,464,313,362,236,125,145
0500000US06085,6085,"Santa Clara County, California",162595,3186,8695,1669,3721,913,5316,1511,5677,1944,3588,1113,4244,1499,4361,1128,6588,1728,4808,1768,8878,1618,15689,2245,21810,2548,23388,2231,11545,1480,16811,2273,17476,2059
0500000US06095,6095,"Solano County, California",17693,1243,1373,587,515,293,370,347,607,334,669,528,896,521,643,480,707,388,729,389,1182,575,1677,682,2576,696,2492,843,1524,520,961,429,772,682
0500000US06097,6097,"Sonoma County, California",5436,751,261,236,132,130,323,237,80,134,155,169,477,427,255,197,271,218,158,165,169,146,467,255,1150,486,506,265,349,307,311,198,372,307
0500000US06099,6099,"Stanislaus County, California",8270,995,1144,714,657,429,226,252,925,677,506,447,175,188,96,172,308,220,848,486,524,352,1110,649,795,448,339,317,91,151,262,212,264,224
0500000US06111,6111,"Ventura County, California",14920,1132,134,129,980,754,191,202,120,116,167,182,351,241,270,209,671,428,230,240,1720,712,1767,595,2798,862,2252,836,1306,589,1343,609,620,397
0500000US06113,6113,"Yolo County, California",7817,953,1318,485,380,332,164,185,437,364,327,392,557,331,837,512,177,197,140,167,1038,670,718,429,390,291,523,344,194,118,530,407,87,154
0500000US08005,8005,"Arapahoe County, Colorado",7897,1074,781,430,427,261,184,221,361,245,562,409,367,289,215,179,353,267,551,412,589,318,841,426,1093,486,430,286,495,480,433,382,215,207
0500000US08031,8031,"Denver County, Colorado",5871,887,645,457,685,386,385,283,284,257,0,274,197,199,136,176,275,226,532,484,407,233,780,455,676,340,221,198,441,353,110,137,97,118
0500000US08041,8041,"El Paso County, Colorado",4841,914,621,440,40,65,0,274,418,357,223,244,239,187,135,164,450,327,173,179,942,935,338,234,626,344,212,184,242,216,122,115,60,103
0500000US09001,9001,"Fairfield County, Connecticut",10893,1013,411,299,136,169,67,107,340,373,170,166,684,406,251,209,309,350,480,445,1023,440,700,430,1287,672,1081,523,973,388,1217,479,1764,600
0500000US09003,9003,"Hartford County, Connecticut",9868,790,621,419,319,311,232,194,249,267,531,380,165,175,345,336,140,116,199,196,738,422,1442,682,1316,512,1761,726,475,323,887,525,448,275
0500000US09009,9009,"New Haven County, Connecticut",8172,699,638,456,60,101,240,216,150,182,220,224,425,293,592,405,552,327,417,299,317,310,1025,537,1232,592,426,262,644,408,566,375,668,346
0500000US10003,10003,"New Castle County, Delaware",6371,685,120,141,0,262,262,225,243,194,135,158,271,270,71,119,231,163,144,146,335,316,994,453,1650,488,823,401,393,269,425,329,274,170
0500000US11001,11001,"District of Columbia, District of Columbia",8239,1152,1061,529,48,82,292,262,245,274,185,196,401,350,345,283,831,389,285,425,1112,628,501,483,951,490,550,404,810,508,166,177,456,320
0500000US12011,12011,"Broward County, Florida",15950,1336,674,398,492,311,259,222,1402,643,398,344,780,579,1127,651,843,584,1082,501,2027,677,2160,753,1592,590,776,340,1256,528,909,601,173,183
0500000US12031,12031,"Duval County, Florida",8821,893,515,368,268,299,398,328,241,215,911,521,108,191,517,448,377,327,261,239,803,381,1211,604,1958,815,363,309,431,295,202,256,257,208
0500000US12057,12057,"Hillsborough County, Florida",10623,1106,452,281,690,513,489,321,410,381,568,435,685,417,522,427,417,416,177,182,879,519,1388,519,1407,475,1139,537,565,339,565,507,270,219
0500000US12086,12086,"Miami-Dade County, Florida",12100,1098,1346,689,564,383,706,836,412,380,1239,576,403,228,742,420,1498,851,147,182,677,435,1436,584,1163,433,757,377,318,254,351,291,341,289
0500000US12095,12095,"Orange County, Florida",15185,1402,1425,597,433,394,244,174,1356,746,670,501,537,347,657,411,528,340,1321,575,836,396,1695,596,2169,605,1116,793,759,436,479,349,960,419
0500000US12099,12099,"Palm Beach County, Florida",7406,995,288,228,278,302,814,444,161,176,261,235,102,118,168,150,1071,750,550,391,654,393,413,255,939,533,794,429,154,162,378,243,381,236
0500000US12103,12103,"Pinellas County, Florida",7994,972,516,392,189,185,313,256,777,536,1025,556,678,408,141,170,233,247,459,363,559,429,894,355,818,437,700,453,0,301,411,391,281,244
0500000US12117,12117,"Seminole County, Florida",4476,492,0,301,280,288,65,111,52,88,528,421,52,84,437,351,78,132,320,241,244,223,663,446,848,470,682,397,56,100,0,301,171,160
0500000US13067,13067,"Cobb County, Georgia",8529,633,610,388,200,251,230,309,177,194,392,297,451,346,553,333,793,436,892,492,799,381,440,249,759,384,836,460,447,406,858,402,92,109
0500000US13089,13089,"DeKalb County, Georgia",8981,693,1151,615,561,396,551,320,834,627,324,248,705,461,343,256,254,199,266,207,379,389,1492,608,919,501,355,239,269,264,252,211,326,259
0500000US13121,13121,"Fulton County, Georgia",10970,951,411,390,173,170,149,159,378,367,489,402,698,404,446,307,212,206,474,460,359,213,1357,511,1944,772,830,410,843,404,1399,660,808,468
0500000US13135,13135,"Gwinnett County, Georgia",20185,1244,738,352,102,123,429,417,888,505,920,640,571,352,1066,644,949,590,226,174,1454,547,3390,1465,5155,1447,2261,742,462,420,972,520,602,426
0500000US15001,15001,"Hawaii County, Hawaii",14736,1236,909,498,862,369,604,335,1100,458,644,360,807,324,823,322,1015,441,795,319,944,401,1518,571,2648,737,853,346,579,388,439,261,196,156
0500000US15003,15003,"Honolulu County, Hawaii",149254,3323,11759,1927,6478,1230,5075,953,7088,1481,5716,1145,6203,1116,7961,1792,5043,884,7126,1318,11670,1625,17713,1984,20177,1870,15254,1883,9025,1272,8582,1209,4384,896
0500000US15009,15009,"Maui County, Hawaii",14330,1313,96,152,825,425,627,265,593,315,356,307,491,361,818,439,809,469,938,399,952,431,1844,729,2903,810,1032,473,916,499,529,327,601,393
0500000US17031,17031,"Cook County, Illinois",96978,3141,8118,1512,4754,1611,3517,994,3818,886,4164,1214,4562,1205,3490,854,4871,1049,4204,1052,6912,1258,10763,1872,13601,1994,8691,1521,5700,1546,4775,1199,5038,1608
0500000US17043,17043,"DuPage County, Illinois",28173,1430,570,488,656,571,283,241,392,283,299,249,899,568,812,534,1185,617,662,381,1927,769,4037,867,4952,1334,4434,1243,2586,890,2304,701,2175,828
0500000US17097,17097,"Lake County, Illinois",12061,961,484,443,318,229,94,111,0,266,55,94,615,394,337,315,226,221,552,410,938,454,1099,330,2072,616,2238,698,867,438,1399,490,767,280
0500000US17197,17197,"Will County, Illinois",6008,605,73,118,293,340,0,266,41,71,94,117,186,217,365,255,38,64,239,228,450,280,671,383,1171,413,942,549,538,292,525,278,382,251
0500000US18097,18097,"Marion County, Indiana",5366,751,363,289,172,178,137,133,240,242,73,118,134,167,427,427,339,300,454,318,234,190,800,456,758,531,632,486,362,325,173,171,68,82
0500000US20091,20091,"Johnson County, Kansas",6773,951,183,219,313,429,94,160,196,178,246,179,0,240,147,176,255,257,291,348,676,449,1258,615,1052,514,769,319,496,400,330,268,467,279
0500000US20173,20173,"Sedgwick County, Kansas",4979,767,1074,690,0,240,52,80,203,323,57,97,175,160,355,337,196,178,307,285,322,284,790,533,473,267,645,369,105,120,0,240,225,255
0500000US22051,22051,"Jefferson Parish, Louisiana",5071,680,495,477,256,231,446,404,77,113,265,235,107,147,172,169,228,209,418,344,460,403,465,345,844,538,468,435,171,194,107,98,92,106
0500000US24005,24005,"Baltimore County, Maryland",9856,898,351,353,490,417,891,726,369,274,523,409,655,422,405,288,505,269,220,211,440,266,1177,569,1780,547,310,240,368,235,294,194,1078,451
0500000US24027,24027,"Howard County, Maryland",10171,786,428,401,408,251,157,191,48,87,234,225,130,108,112,187,280,275,170,162,755,425,932,491,1499,651,1751,760,1134,494,1351,476,782,398
0500000US24031,24031,"Montgomery County, Maryland",38976,1842,808,394,1364,764,289,205,1518,762,939,433,1089,492,1106,539,1855,651,1499,692,2680,769,4144,1321,6100,1230,5038,1074,3301,622,4022,900,3224,709
0500000US24033,24033,"Prince George's County, Maryland",10310,923,723,491,62,114,251,242,339,283,274,221,805,517,216,298,230,220,387,330,642,335,1739,588,1869,712,1353,695,422,340,761,386,237,229
0500000US25009,25009,"Essex County, Massachusetts",5952,724,400,322,0,282,143,170,321,249,189,230,129,136,123,150,377,414,235,241,280,247,902,396,973,441,500,241,180,185,700,347,500,282
0500000US25017,25017,"Middlesex County, Massachusetts",37854,2088,3666,1627,1543,774,951,485,711,445,980,541,521,333,1781,817,954,695,1196,601,2311,739,3726,996,5566,1240,4164,1211,3106,1049,2197,792,4481,1390
0500000US25021,25021,"Norfolk County, Massachusetts",15352,1465,1351,660,202,170,256,215,309,240,879,659,159,174,860,650,278,252,0,282,637,381,1550,616,2430,887,1812,592,1482,636,1874,823,1273,599
0500000US25025,25025,"Suffolk County, Massachusetts",19722,1702,6278,1611,1080,782,1068,547,1449,612,911,561,410,339,487,355,978,534,639,476,683,486,2224,902,1424,577,1180,537,348,291,200,201,363,244
0500000US25027,25027,"Worcester County, Massachusetts",10089,1074,636,456,476,376,124,202,185,208,254,227,573,680,168,172,659,381,389,311,338,307,915,559,1813,732,1008,367,688,408,1274,529,589,468
0500000US26081,26081,"Kent County, Michigan",3641,575,322,195,399,395,155,156,142,161,266,247,215,251,151,199,69,115,381,363,332,264,531,313,361,223,187,158,130,155,0,238,0,238
0500000US26099,26099,"Macomb County, Michigan",8156,708,802,449,341,362,47,79,168,196,193,194,258,228,417,294,225,206,544,448,864,471,1368,494,1138,453,907,492,541,477,279,245,64,112
0500000US26125,26125,"Oakland County, Michigan",22848,1060,1081,544,315,203,452,413,245,212,468,250,272,206,667,469,331,241,915,414,1799,1119,3168,846,3805,942,3461,795,1443,547,2582,671,1844,521
