Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",7189,980,0,155,411,345,171,182,321,290,251,170,142,200,414,399,195,217,261,296,563,368,945,369,862,404,1137,580,519,440,434,372,563,259
0500000US04013,4013,"Maricopa County, Arizona",55747,2351,4313,1087,1380,544,1979,656,2300,849,1583,596,1181,451,1122,498,1636,566,2030,731,3470,935,7305,1602,8172,1168,5247,1109,3730,888,4485,1195,5814,1150
0500000US04019,4019,"Pima County, Arizona",11076,1165,1520,637,706,364,269,251,936,509,426,278,573,374,648,417,410,289,485,334,812,343,866,443,1151,505,814,364,361,275,576,313,523,234
0500000US06001,6001,"Alameda County, California",152847,3133,7527,1067,5919,1103,3585,910,4398,1041,3509,927,3029,807,3123,874,3220,679,3148,924,5603,1167,11147,1765,15553,1920,17774,2035,13267,1722,20648,1682,31397,2197
0500000US06013,6013,"Contra Costa County, California",55060,2124,1906,617,743,345,768,365,886,492,1199,529,1204,559,1114,427,1704,605,943,326,3249,941,4407,953,6546,978,6921,1142,4103,742,6966,1199,12401,1231
0500000US06019,6019,"Fresno County, California",25983,1333,1830,762,1427,543,1051,620,1085,461,744,456,1241,599,1796,872,1070,434,1679,639,1980,814,2654,800,3252,897,1402,571,1620,726,994,511,2158,640
0500000US06029,6029,"Kern County, California",11325,1241,473,386,219,230,216,208,272,254,408,314,703,482,714,539,854,550,537,586,606,332,940,473,1514,550,807,425,1003,532,1058,573,1001,466
0500000US06037,6037,"Los Angeles County, California",486654,7111,34887,3061,23248,2015,20436,2045,18188,2144,13883,1625,19300,2233,16008,2061,16606,1591,16070,1678,30588,2585,45919,3325,60383,3914,46174,3077,32065,2717,42525,2801,50374,3226
0500000US06041,6041,"Marin County, California",5867,721,138,167,538,509,137,133,50,81,343,328,0,206,230,216,179,168,42,70,69,112,611,372,771,451,808,411,122,177,423,312,1406,574
0500000US06047,6047,"Merced County, California",5192,880,626,515,116,193,447,284,200,179,0,206,381,302,451,408,349,258,84,102,435,312,503,300,462,378,336,264,228,215,404,331,170,177
0500000US06053,6053,"Monterey County, California",8384,871,638,381,286,226,114,140,145,132,182,189,335,220,276,202,194,170,203,214,413,267,847,453,1676,556,892,489,577,395,873,373,733,376
0500000US06059,6059,"Orange County, California",198474,3866,9995,1895,7498,1214,6934,1005,5411,1085,5985,1287,5362,1219,5207,1197,4773,1135,4354,1325,11680,1426,16649,1970,23718,2595,23060,2154,13192,1731,24162,2613,30494,2459
0500000US06061,6061,"Placer County, California",7069,773,49,88,81,141,34,60,130,149,67,117,141,182,125,106,242,222,186,167,261,173,262,222,683,344,1145,471,589,302,1451,443,1623,463
0500000US06065,6065,"Riverside County, California",39980,2082,2611,769,890,418,1002,489,1243,479,1996,781,1350,604,984,400,1104,393,991,393,3082,677,3552,929,5487,1131,4809,1000,2659,803,4088,879,4132,941
0500000US06067,6067,"Sacramento County, California",70256,2343,4276,1021,3940,886,3516,935,3839,856,3132,936,2865,801,2184,594,2597,774,2196,639,4171,948,6824,1228,9234,1716,6433,1316,4125,910,5734,1234,5190,918
0500000US06071,6071,"San Bernardino County, California",44734,2350,3120,971,1656,710,1584,576,1434,567,773,377,1382,650,1931,760,1336,492,1803,699,3184,836,3999,897,6196,1060,5249,1123,3443,956,3652,891,3992,909
0500000US06073,6073,"San Diego County, California",113083,3853,6317,1317,3243,929,3608,922,3379,921,3120,774,3094,998,2331,682,4675,1202,4100,1133,7358,1495,10368,1399,13695,1793,11865,1837,8767,1331,14118,1563,13045,1643
0500000US06075,6075,"San Francisco County, California",110895,3306,7833,1501,6557,1231,5336,1273,4172,1141,2813,851,1920,735,2566,829,3119,802,2035,677,4707,1041,7148,1066,10354,1580,11001,1765,8004,1405,12791,1938,20539,2474
0500000US06077,6077,"San Joaquin County, California",29862,1756,1727,713,1672,668,1549,600,909,444,478,266,1378,660,1089,676,845,435,1047,520,2191,616,2902,791,3575,732,2715,707,2588,850,2425,772,2772,986
0500000US06081,6081,"San Mateo County, California",70189,2293,2110,675,1292,547,848,429,1636,564,634,360,1278,506,1162,530,1314,621,1051,493,2687,738,4633,1072,9021,1569,7233,1100,7218,1224,9009,1145,19063,1692
0500000US06083,6083,"Santa Barbara County, California",6481,723,1018,421,209,199,212,173,75,90,369,345,345,328,0,206,324,224,383,242,417,288,357,265,674,400,456,297,432,310,740,298,470,311
0500000US06085,6085,"Santa Clara County, California",222805,3125,9852,1773,6738,1283,4912,1011,4826,1156,3193,716,3871,997,3973,981,3731,939,2884,763,7555,1363,12232,1706,18893,2253,26329,2372,18480,2158,33185,2693,62151,3352
0500000US06087,6087,"Santa Cruz County, California",3475,603,431,349,149,146,38,57,23,42,0,206,306,247,28,47,224,233,114,142,152,149,353,229,453,324,345,298,384,259,280,213,195,191
0500000US06095,6095,"Solano County, California",19745,1217,514,325,526,451,172,152,815,464,653,358,538,319,853,479,703,418,478,256,996,488,1674,549,2670,711,2264,699,2191,609,2543,814,2155,634
0500000US06097,6097,"Sonoma County, California",6853,603,523,407,201,224,65,83,168,226,240,181,257,222,196,248,95,107,368,266,275,242,770,379,1255,499,479,307,309,219,698,344,954,439
0500000US06099,6099,"Stanislaus County, California",8103,977,764,393,427,306,511,274,304,225,84,80,391,369,123,105,259,297,307,214,710,457,799,377,1094,481,877,470,329,243,689,502,435,343
0500000US06111,6111,"Ventura County, California",17697,1293,510,277,148,153,687,336,229,198,727,485,140,110,415,320,185,157,238,187,935,411,1935,705,1864,557,2250,715,1573,605,2445,719,3416,744
0500000US06113,6113,"Yolo County, California",8612,901,1405,531,206,167,354,333,68,122,496,353,238,266,248,238,575,402,33,53,433,351,1074,614,632,334,410,255,478,296,1070,635,892,423
0500000US08005,8005,"Arapahoe County, Colorado",10879,779,502,343,170,149,116,147,334,267,422,361,859,364,522,364,400,238,472,260,580,358,982,373,2158,613,979,441,1022,454,479,270,882,345
0500000US08031,8031,"Denver County, Colorado",9732,1020,1368,775,249,237,379,251,360,303,448,339,414,312,631,549,114,135,540,375,531,347,1382,605,842,481,436,267,380,257,1011,561,647,315
0500000US08059,8059,"Jefferson County, Colorado",5723,789,215,244,0,195,486,442,239,195,337,315,0,195,206,191,96,124,780,512,288,167,507,343,756,332,386,250,483,262,590,330,354,247
0500000US09001,9001,"Fairfield County, Connecticut",15051,874,656,352,282,212,30,52,670,369,159,177,1018,667,239,170,125,150,253,228,623,384,922,509,2086,657,1419,491,830,351,1602,600,4137,745
0500000US09003,9003,"Hartford County, Connecticut",15742,932,433,363,722,594,654,346,155,154,103,110,257,197,814,540,90,105,1025,488,833,518,1410,502,3130,763,1315,438,1227,474,1670,677,1904,453
0500000US09009,9009,"New Haven County, Connecticut",11032,1081,756,424,454,315,484,398,120,196,231,181,134,131,676,513,493,334,158,153,716,345,538,357,1457,637,1031,522,1326,668,981,427,1477,476
0500000US10003,10003,"New Castle County, Delaware",10444,669,1161,520,169,187,281,258,549,331,39,68,147,175,346,345,221,238,154,153,724,437,790,391,1982,687,728,400,677,476,1477,545,999,412
0500000US11001,11001,"District of Columbia, District of Columbia",11775,1052,1160,437,308,308,47,83,142,129,43,71,84,121,67,85,145,138,642,420,613,286,1680,638,987,374,1553,646,649,425,1630,555,2025,563
0500000US12009,12009,"Brevard County, Florida",4389,726,254,257,139,138,87,144,93,156,417,294,203,197,87,146,0,221,0,221,825,552,332,307,472,307,677,503,302,250,292,223,209,223
0500000US12011,12011,"Broward County, Florida",20858,1787,1251,676,721,384,739,595,1292,677,1027,637,947,552,688,480,398,307,1165,578,1852,646,1330,539,2469,891,1806,550,1337,648,1292,495,2544,936
0500000US12031,12031,"Duval County, Florida",14926,1505,1561,924,99,114,299,264,938,762,648,464,366,294,844,639,912,577,93,151,2101,927,1571,826,2026,785,679,505,743,493,1216,732,830,385
0500000US12057,12057,"Hillsborough County, Florida",17748,1405,1596,680,258,278,393,344,740,453,601,334,616,289,610,434,718,360,525,331,1126,600,2259,813,2725,817,1892,731,1255,525,1080,536,1354,581
