GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01015,01015,"Calhoun County, Alabama",9092,876,2192,762,935,433,230,174,609,462,770,398,1274,904,130,160,875,725,297,242,456,313,734,749,209,168,311,395,0,270,70,138,0,270
0500000US01055,01055,"Etowah County, Alabama",6030,636,1486,523,560,365,1054,616,722,509,263,199,692,479,269,320,275,243,0,270,289,234,140,123,280,224,0,270,0,270,0,270,0,270
0500000US01069,01069,"Houston County, Alabama",9421,510,2492,525,913,311,1050,435,888,302,695,272,461,214,388,189,304,183,450,212,390,192,665,297,420,174,264,201,0,270,10,18,31,50
0500000US01073,01073,"Jefferson County, Alabama",101964,2366,17190,2464,12829,2791,9510,1718,6559,1629,6739,1524,5396,1416,5260,1059,6295,1580,4588,1220,9296,1823,6680,1611,6293,1526,2304,813,1589,711,1000,589,436,469
0500000US01081,01081,"Lee County, Alabama",10910,761,2591,677,974,438,712,323,905,445,710,485,408,313,927,530,464,283,395,218,486,278,1331,477,794,388,88,95,32,40,28,50,65,79
0500000US01089,01089,"Madison County, Alabama",26624,1478,4777,1250,1926,844,1630,625,1904,635,2366,921,2331,913,1366,684,1514,626,490,323,1681,582,1911,523,2145,748,1244,564,714,409,402,219,223,221
0500000US01097,01097,"Mobile County, Alabama",49724,2268,12528,2311,5287,1893,5376,1384,4603,1234,3235,904,2599,975,2482,807,2033,836,2084,681,3064,845,2989,1148,2198,977,764,580,281,191,201,170,0,270
0500000US01101,01101,"Montgomery County, Alabama",43490,1715,9070,1828,4710,1254,3917,1053,3340,1009,3213,1063,2907,747,2017,788,2390,1006,2315,1150,3453,1110,2609,1022,2237,859,593,304,491,504,45,75,183,190
0500000US01117,01117,"Shelby County, Alabama",7309,879,532,439,779,638,705,448,267,281,290,254,1027,734,655,589,200,238,196,207,518,316,244,231,870,472,465,329,438,381,123,173,0,270
0500000US01121,01121,"Talladega County, Alabama",8659,834,2662,816,1336,552,495,366,277,234,727,412,331,306,732,457,516,283,224,299,528,359,350,258,119,149,362,273,0,270,0,270,0,270
0500000US01125,01125,"Tuscaloosa County, Alabama",19662,1041,5100,1271,1710,756,3116,863,1484,610,1612,722,726,449,673,481,952,522,764,631,1250,631,870,396,905,497,342,240,120,143,38,65,0,270
0500000US04013,04013,"Maricopa County, Arizona",55042,2652,8321,1516,3226,918,4292,1164,3363,915,5891,2134,3263,1243,3223,1002,3217,1090,1568,718,4247,1257,5343,1440,4360,1291,2139,928,1005,553,905,517,679,473
0500000US04019,04019,"Pima County, Arizona",10895,987,1328,540,895,404,1043,552,405,308,1250,605,438,293,560,346,603,404,292,258,1164,615,674,450,780,549,757,498,507,439,143,158,56,88
0500000US05069,05069,"Jefferson County, Arkansas",15028,770,3701,850,1451,552,708,368,1312,441,1260,581,1825,776,601,335,1155,601,350,246,648,335,862,348,828,435,114,134,213,218,0,260,0,260
0500000US05119,05119,"Pulaski County, Arkansas",48308,1875,9961,1663,4514,1419,4854,1371,4108,1455,2617,1012,3258,1030,3389,1074,3050,1130,1715,740,3796,1160,3176,1098,1677,573,956,367,502,542,354,352,381,555
0500000US06001,06001,"Alameda County, California",75465,2903,9814,2021,5859,1432,4587,1316,4237,1072,4594,1215,3972,974,5356,1691,4616,1435,4418,1826,4744,1231,6327,1303,7057,1672,4050,1183,1730,1048,2985,1260,1119,571
0500000US06013,06013,"Contra Costa County, California",33756,1773,5198,1294,1669,675,2116,1014,2047,779,1013,627,2347,903,1821,1145,583,355,1422,746,2398,719,3364,936,3847,1126,3100,1026,894,365,1108,539,829,365
