Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US01015,1015,"Calhoun County, Alabama",8308,1284,2399,761,1148,547,616,300,645,459,439,392,568,339,87,151,90,114,63,109,557,404,612,339,705,442,271,269,25,42,0,273,83,137
0500000US01055,1055,"Etowah County, Alabama",5363,641,483,300,992,370,496,267,790,413,297,293,129,107,735,472,383,279,337,292,18,34,484,255,90,125,85,104,44,72,0,273,0,273
0500000US01069,1069,"Houston County, Alabama",9911,508,2082,432,895,296,1438,468,827,247,772,280,530,205,441,216,513,211,452,204,537,202,721,274,412,183,128,101,113,119,21,36,29,35
0500000US01073,1073,"Jefferson County, Alabama",104711,2757,18537,2336,8963,1353,9630,1410,7787,1325,6415,1359,7254,1523,6742,1476,5360,1230,4752,1044,8863,1392,7455,1557,5394,1047,4358,1141,1543,781,1023,484,635,405
0500000US01081,1081,"Lee County, Alabama",12559,819,2426,699,1672,654,581,330,822,519,963,503,984,572,416,326,1530,721,401,233,376,219,875,507,903,436,361,256,232,175,0,273,17,29
0500000US01083,1083,"Limestone County, Alabama",4401,456,782,541,331,280,134,168,315,322,159,156,252,207,294,238,262,254,400,317,67,109,437,422,839,488,0,273,129,168,0,273,0,273
0500000US01089,1089,"Madison County, Alabama",29992,1959,4964,1070,1952,808,1786,651,2562,863,1580,676,2469,860,981,504,937,434,1331,637,1920,702,2648,899,2076,791,1714,732,1040,423,1193,565,839,474
0500000US01097,1097,"Mobile County, Alabama",50384,1966,10421,1825,4951,1024,4348,1102,3336,1079,3547,1033,3153,1002,2348,779,1764,517,3133,830,3573,997,4091,1117,2818,859,901,496,1116,538,834,582,50,83
0500000US01101,1101,"Montgomery County, Alabama",45847,1911,6349,1312,5085,1452,3486,965,3868,1028,3354,1074,2959,929,2632,809,3670,1141,2301,789,2995,1056,1768,664,3540,1048,1669,611,998,489,837,519,336,260
0500000US01103,1103,"Morgan County, Alabama",5428,680,815,460,276,212,1020,450,1008,538,632,451,245,207,427,389,70,120,153,256,349,369,284,260,24,43,125,180,0,273,0,273,0,273
0500000US01117,1117,"Shelby County, Alabama",7852,757,706,521,338,282,499,317,994,626,452,352,500,418,23,40,244,391,309,266,486,362,583,345,1481,572,339,259,448,294,175,208,275,256
0500000US01121,1121,"Talladega County, Alabama",8504,761,1620,690,861,584,693,460,898,546,686,450,491,315,1043,692,640,404,395,241,288,268,415,308,273,212,52,98,36,58,113,180,0,273
0500000US01125,1125,"Tuscaloosa County, Alabama",18742,1502,1789,563,2168,776,2124,674,1656,719,1607,630,1098,593,1070,562,588,367,1331,648,1372,680,1614,616,1258,529,503,316,288,271,234,188,42,68
0500000US04013,4013,"Maricopa County, Arizona",69517,2687,9306,1852,6744,1350,5833,1406,2949,977,4704,962,5143,1655,3783,1152,2177,772,3487,892,5961,1182,5753,1299,5493,1200,4468,1174,1820,690,1182,522,714,368
0500000US04019,4019,"Pima County, Arizona",13468,1114,1279,569,814,528,735,398,1947,805,860,532,754,430,331,345,267,254,486,312,1797,985,1364,550,1475,587,409,337,311,282,394,334,245,341
0500000US05045,5045,"Faulkner County, Arkansas",4630,796,875,565,178,258,626,459,622,455,404,401,313,240,421,382,299,247,52,87,321,248,217,186,50,87,132,214,0,273,46,80,74,120
0500000US05069,5069,"Jefferson County, Arkansas",15254,1526,2076,707,2090,804,1798,775,1698,761,1280,623,849,402,1514,728,259,195,712,455,432,276,688,387,1014,499,418,302,349,363,0,273,77,138
0500000US05119,5119,"Pulaski County, Arkansas",51270,2105,7615,1647,4078,1194,5826,1307,3504,1157,3849,1304,4143,1300,2671,904,3188,1017,1833,777,3007,944,4765,1259,3974,915,1249,594,941,435,493,374,134,163
0500000US06001,6001,"Alameda County, California",79447,2783,10453,1648,8686,1836,4933,1459,5157,1206,4219,1233,3269,1006,4207,1181,3430,1287,4568,1413,5615,1466,7217,1344,6326,1426,4504,1083,2351,667,2935,981,1577,644
0500000US06013,6013,"Contra Costa County, California",34690,2044,2952,959,2726,802,1497,575,1661,656,1637,847,962,552,2164,752,1637,730,1608,700,2473,991,3876,1084,3402,966,2584,868,1703,612,2191,800,1617,684
0500000US06019,6019,"Fresno County, California",15185,1202,2559,816,1765,782,1925,672,1056,488,833,440,670,502,786,462,591,407,412,285,1217,567,1491,629,461,362,570,442,95,164,483,285,271,314
0500000US06029,6029,"Kern County, California",13882,1416,2373,871,1800,790,1164,663,1207,614,786,404,466,408,837,489,457,312,698,480,889,480,1267,539,1158,665,323,225,129,164,118,148,210,202
0500000US06037,6037,"Los Angeles County, California",324994,6201,37343,3229,31446,2981,20973,2361,19498,2170,15726,1872,17326,2560,14092,2150,16680,2320,14497,2127,24277,2730,30588,2943,32206,3107,20064,2315,12818,1859,10055,1682,7405,1277
0500000US06059,6059,"Orange County, California",17284,1210,576,366,436,356,546,297,774,423,775,357,709,397,531,358,1909,692,841,534,1030,493,463,277,2739,815,1989,660,1759,732,1120,589,1087,746
0500000US06065,6065,"Riverside County, California",42768,2169,3847,1017,3718,931,2389,855,2322,847,2644,989,1539,718,1878,679,1979,820,977,499,3040,941,4975,1324,5713,1167,3001,1003,1627,682,2378,899,741,498
0500000US06067,6067,"Sacramento County, California",53529,2284,6105,1587,5627,1252,3209,1020,3658,1268,3679,1090,3688,1264,2040,942,1859,771,2809,980,4152,1087,5010,1174,5870,1266,2272,899,1670,652,1094,455,787,441
0500000US06071,6071,"San Bernardino County, California",57700,2605,6735,1452,3450,1032,3830,1017,3421,1113,3465,1249,2149,885,2758,883,2606,1051,3945,1298,3479,1014,6478,1546,7002,1356,4133,1249,1829,779,1094,509,1326,702
0500000US06073,6073,"San Diego County, California",56591,2572,4662,1262,4535,1105,3220,1111,3604,1226,2778,743,2761,821,2751,806,3193,981,1996,748,4011,1117,7093,1510,7729,1436,3817,1105,1761,807,1761,666,919,424
0500000US06075,6075,"San Francisco County, California",21700,1909,4122,1232,1910,781,1157,541,1852,841,1959,765,1230,534,1087,540,523,312,508,397,1112,729,1566,770,1540,570,605,336,491,318,1154,804,884,446
0500000US06077,6077,"San Joaquin County, California",16376,1467,1278,504,1821,713,1227,613,998,512,994,571,743,435,1481,684,729,546,654,471,1051,518,1868,709,1833,800,990,536,108,132,407,379,194,202
0500000US06081,6081,"San Mateo County, California",7795,1021,614,394,635,436,446,244,292,332,516,360,176,213,216,197,205,214,526,475,651,430,549,394,1270,467,319,267,587,325,126,115,667,347
0500000US06085,6085,"Santa Clara County, California",14940,1703,1599,691,478,321,698,402,1004,672,641,456,503,405,745,549,540,425,779,435,903,431,1262,626,2104,852,977,545,662,510,1174,564,871,413
0500000US06095,6095,"Solano County, California",22066,1607,1883,916,1471,591,1244,593,616,413,894,509,850,558,542,339,1217,638,880,549,1552,791,2698,830,3203,919,2029,664,921,518,1581,708,485,314
0500000US06111,6111,"Ventura County, California",4462,695,0,294,459,406,115,167,235,194,147,177,252,219,113,129,49,80,47,80,188,160,278,187,1007,470,479,262,261,199,184,193,648,321
0500000US08005,8005,"Arapahoe County, Colorado",21149,1276,2339,803,1037,539,1667,705,1643,685,1535,765,351,261,917,518,1547,816,1500,814,1401,640,1750,691,1911,726,1724,702,465,328,811,465,551,549
0500000US08031,8031,"Denver County, Colorado",25289,1706,4588,1258,2221,827,2198,717,2338,814,1433,579,1391,698,603,317,1602,735,960,360,2132,671,1907,742,1474,579,1007,420,542,385,393,266,500,534
0500000US08041,8041,"El Paso County, Colorado",14347,1174,1186,480,916,506,957,478,1465,716,639,406,1031,469,703,463,708,403,687,424,1205,550,1958,810,1715,665,463,315,151,171,401,266,162,151
0500000US09001,9001,"Fairfield County, Connecticut",31392,1985,3730,1085,2530,827,2558,973,2307,815,1896,867,1293,673,708,402,1603,691,1138,502,2862,858,2555,878,3215,1023,2353,750,981,425,918,537,745,462
0500000US09003,9003,"Hartford County, Connecticut",40428,1747,4273,1001,3433,1036,3131,915,2600,749,2514,946,1676,586,2765,678,2200,829,1512,664,2781,833,3667,1020,3966,969,1960,603,1468,527,1861,681,621,470
0500000US09009,9009,"New Haven County, Connecticut",39085,1959,5487,1214,4161,1235,3003,944,2223,970,1787,695,1703,763,2126,804,2234,754,1144,665,3258,865,2371,839,4569,1111,2722,867,855,603,949,447,493,339
0500000US10001,10001,"Kent County, Delaware",11686,979,1184,534,1016,536,400,254,983,673,322,293,775,436,406,363,757,411,560,526,573,323,1248,607,1628,809,441,315,719,382,504,393,170,163
0500000US10003,10003,"New Castle County, Delaware",45465,1835,3949,1099,3325,969,3821,1153,3332,1186,2646,782,3611,1005,2996,1043,2581,1046,1245,501,3935,1139,3658,998,5039,1147,2251,789,1370,601,1458,545,248,240
0500000US10005,10005,"Sussex County, Delaware",7189,1026,1004,511,979,557,800,380,658,412,571,385,160,150,142,107,376,242,204,171,658,406,523,337,581,292,348,319,147,150,10,18,28,48
0500000US11001,11001,"District of Columbia, District of Columbia",121175,3683,18191,2256,10783,1560,7245,1333,7094,1325,6067,1489,6874,1240,6701,1290,4569,968,5555,1079,8397,1352,10588,1335,12372,1782,6663,1167,3533,948,3287,1000,3256,811
0500000US12001,12001,"Alachua County, Florida",16757,1258,3224,1047,2162,833,1837,693,2000,708,696,406,1257,575,1123,558,563,449,737,470,789,511,977,454,548,349,277,259,421,416,49,85,97,122
0500000US12005,12005,"Bay County, Florida",4920,889,499,290,591,290,78,126,422,308,148,176,316,345,403,357,165,152,402,395,407,256,762,524,443,325,96,129,188,320,0,310,0,310
0500000US12009,12009,"Brevard County, Florida",18799,1476,2567,936,1480,648,1186,584,2294,909,1284,706,1355,670,923,442,474,298,573,326,1335,603,1866,859,2049,770,686,364,538,357,189,184,0,310
0500000US12011,12011,"Broward County, Florida",145188,4247,15244,2058,9153,1509,9240,1553,11224,1784,11621,2003,9971,1652,9675,1780,8607,1821,7524,1906,11421,1999,12567,1993,15491,2309,5940,1421,3188,1023,2823,797,1499,699
0500000US12031,12031,"Duval County, Florida",92366,3045,13136,2226,8645,1572,7460,1515,8350,1715,6224,1448,7143,1696,4238,1073,3784,1125,3676,1010,7116,1420,6839,1564,10223,1869,2916,884,1212,496,854,504,550,480
0500000US12033,12033,"Escambia County, Florida",22062,1589,4217,1101,2121,667,1804,582,3092,951,1644,660,1215,607,1574,713,955,613,966,481,1355,617,878,460,1341,568,516,418,122,145,201,219,61,106
0500000US12057,12057,"Hillsborough County, Florida",73624,2817,11369,1805,5463,1364,5898,1380,4970,1164,5861,1287,5413,1326,5353,1587,4180,1152,3901,1146,5655,1319,5953,1204,5116,1079,2244,839,878,375,787,390,583,379
0500000US12069,12069,"Lake County, Florida",7907,1223,939,519,694,426,782,484,630,489,430,307,512,322,204,198,626,487,185,227,783,453,811,492,417,315,853,564,41,83,0,310,0,310
0500000US12071,12071,"Lee County, Florida",14964,1444,2181,761,1119,697,1232,634,1361,660,2349,835,658,478,671,452,601,357,967,490,1256,688,1133,546,749,480,631,503,0,310,56,92,0,310
0500000US12073,12073,"Leon County, Florida",30911,2325,8294,1724,3047,1278,2366,952,1120,635,1616,673,2072,782,2244,809,2521,1052,479,366,2145,768,1647,799,1810,700,636,430,436,383,398,443,80,136
0500000US12081,12081,"Manatee County, Florida",7995,1002,805,386,1124,442,742,424,486,318,1071,472,437,405,259,278,768,439,761,405,270,176,334,218,345,310,489,458,0,310,62,104,42,73
0500000US12083,12083,"Marion County, Florida",12648,1338,1804,665,858,545,531,373,1321,725,1696,788,474,290,817,433,812,571,610,446,1317,622,1301,720,455,451,446,383,0,310,52,89,154,238
0500000US12086,12086,"Miami-Dade County, Florida",134903,4388,21635,2348,12325,1919,10925,1756,9614,1535,9071,1730,9322,1604,7688,1308,5811,1195,6348,1461,10451,1671,11265,1879,10977,1656,4476,1110,2576,951,1787,663,632,322
0500000US12091,12091,"Okaloosa County, Florida",5844,918,815,553,298,296,549,430,482,458,162,162,741,376,167,273,302,341,45,79,1125,642,432,295,390,246,101,118,235,230,0,310,0,310
0500000US12095,12095,"Orange County, Florida",76201,3048,8017,1406,7066,1378,4343,1079,6643,1246,6204,1402,5093,1349,5905,1314,3628,1240,3167,857,6501,1255,7284,1436,6092,1375,3994,1204,996,541,647,316,621,421
0500000US12097,12097,"Osceola County, Florida",9785,1280,486,493,837,594,564,472,391,440,2098,963,736,472,515,403,89,156,165,201,708,483,1026,628,1394,718,460,316,0,310,184,222,132,161
0500000US12099,12099,"Palm Beach County, Florida",66473,3231,7917,1411,6294,1247,4192,991,4883,1056,4570,1119,4084,988,2977,823,4543,1344,3826,1375,4464,852,6094,1378,5972,1219,3292,1075,1169,593,1236,587,960,414
0500000US12101,12101,"Pasco County, Florida",6748,843,311,250,623,435,410,301,360,324,308,368,371,332,434,372,461,407,283,289,239,204,680,466,1185,726,603,479,30,54,87,156,363,458
0500000US12103,12103,"Pinellas County, Florida",33538,1962,3912,954,3872,1146,2654,961,3150,1186,2804,1032,2346,784,2244,805,1857,719,1892,772,3612,1182,1719,668,1503,673,906,433,565,374,14,24,488,362
0500000US12105,12105,"Polk County, Florida",27104,1795,3532,1005,2134,617,2347,831,2637,991,2523,944,1864,706,1839,693,2087,774,947,517,2687,974,1622,559,1714,749,612,390,202,175,100,169,257,368
0500000US12111,12111,"St. Lucie County, Florida",16739,1449,2400,962,733,441,1523,715,1080,502,1250,631,1244,705,1502,726,890,553,1329,681,883,523,1305,708,1497,738,647,434,187,162,175,202,94,163
0500000US12117,12117,"Seminole County, Florida",13504,1595,1948,818,1703,883,688,567,846,569,407,333,1415,749,520,424,705,555,864,501,649,411,2030,809,912,514,448,452,0,310,292,236,77,126
0500000US12127,12127,"Volusia County, Florida",16496,1476,3531,1058,1827,717,851,526,1833,754,1129,608,951,547,1152,647,616,482,664,449,681,358,1598,671,261,260,758,566,453,475,73,121,118,195
0500000US13021,13021,"Bibb County, Georgia",27161,1406,4974,1136,3125,934,4303,1224,2830,848,1379,585,2196,867,1222,414,487,281,742,422,1259,567,1540,678,1590,670,984,532,111,124,193,271,226,209
0500000US13031,13031,"Bulloch County, Georgia",6202,641,1559,613,348,322,866,411,648,380,636,375,266,342,194,180,390,310,159,246,301,246,367,334,224,336,98,168,0,300,146,173,0,300
0500000US13045,13045,"Carroll County, Georgia",6440,1156,1193,673,908,533,679,486,193,220,489,359,503,408,364,262,135,162,78,125,728,470,631,488,341,271,70,119,111,180,17,40,0,300
0500000US13051,13051,"Chatham County, Georgia",38229,2380,5370,1123,3692,921,2979,986,3534,987,3096,975,2630,970,2512,872,2266,823,2165,758,3238,978,2785,1054,2030,715,1186,495,370,229,376,323,0,300
0500000US13059,13059,"Clarke County, Georgia",9394,1199,1750,828,1064,565,818,366,776,412,169,169,679,379,750,552,399,274,567,376,522,309,1111,544,262,217,142,161,301,267,0,300,84,139
0500000US13063,13063,"Clayton County, Georgia",59015,2392,6064,1381,3964,1095,4075,1218,6036,1321,3782,1019,4838,1204,3132,977,3527,1167,3242,956,5332,1163,5895,1132,4488,1001,2748,947,1218,542,245,237,429,362
0500000US13067,13067,"Cobb County, Georgia",65099,2282,5815,1592,3091,1160,2874,1105,5360,1591,4826,1238,4015,1415,4018,1121,2732,969,2776,1059,5401,1357,5618,1494,8126,1603,3766,821,2742,889,2716,800,1223,585
0500000US13073,13073,"Columbia County, Georgia",7192,792,756,403,0,300,692,573,298,303,84,147,519,441,482,396,313,247,441,307,872,707,306,269,558,407,588,606,431,341,238,214,614,746
0500000US13077,13077,"Coweta County, Georgia",8528,830,889,596,718,612,728,471,894,778,590,437,900,716,681,568,627,527,358,362,466,427,462,337,565,458,538,345,112,127,0,300,0,300
0500000US13089,13089,"DeKalb County, Georgia",134108,3394,16313,2235,6301,1308,9102,1621,10594,2192,8089,1623,9728,1686,7792,1534,7140,1435,6810,1413,11476,1600,15711,2127,13103,1848,4920,1034,3551,909,2360,793,1118,516
0500000US13095,13095,"Dougherty County, Georgia",21723,1486,5716,1245,2164,798,2656,841,1710,799,928,483,836,520,1240,579,533,336,1094,501,1613,716,1264,488,1044,492,123,119,50,82,505,455,247,232
0500000US13097,13097,"Douglas County, Georgia",19496,1121,1531,642,542,497,1305,740,1595,905,651,444,604,535,1139,782,1460,1061,1067,604,2459,996,2090,783,2436,813,1781,859,273,249,318,260,245,182
0500000US13113,13113,"Fayette County, Georgia",6565,698,186,189,181,179,109,136,228,217,259,207,95,108,106,136,189,157,206,227,490,404,238,200,1932,652,817,424,805,409,435,302,289,197
0500000US13121,13121,"Fulton County, Georgia",148299,3491,24524,2649,13608,2031,10345,1691,11257,1952,8683,1849,9766,1713,6196,1284,7564,1612,6172,1358,9496,1605,13708,2257,11679,1891,7178,1574,3496,927,2286,715,2341,821
0500000US13127,13127,"Glynn County, Georgia",8234,947,925,512,998,627,880,575,790,587,905,692,1177,705,318,452,175,130,95,160,158,190,386,337,991,613,377,418,0,300,0,300,59,105
0500000US13135,13135,"Gwinnett County, Georgia",65541,1944,3479,914,3081,1157,2487,745,3070,1003,3659,1098,4846,1186,4434,1213,5026,1573,4716,1271,5225,1418,7913,1499,7672,1582,3764,1054,2391,768,2509,1111,1269,641
0500000US13139,13139,"Hall County, Georgia",4128,798,485,329,317,228,490,471,165,160,571,312,253,243,360,316,0,300,0,300,486,428,501,379,437,309,0,300,0,300,63,94,0,300
0500000US13151,13151,"Henry County, Georgia",25487,1308,2165,951,463,324,968,499,1765,808,1573,733,611,441,1118,589,1630,821,1216,860,3106,983,3016,737,2645,848,2800,928,526,354,1078,541,807,635
0500000US13153,13153,"Houston County, Georgia",14589,1253,2134,835,1308,606,822,505,652,486,1004,642,774,517,718,433,539,343,56,104,863,631,2267,795,2161,973,916,568,223,184,152,213,0,300
0500000US13185,13185,"Lowndes County, Georgia",13378,1209,2489,852,1435,546,1433,667,1817,704,1003,701,607,482,747,454,453,378,686,465,999,588,895,470,36,73,602,438,53,87,53,84,70,127
0500000US13215,13215,"Muscogee County, Georgia",32192,1749,5650,1178,3562,965,2946,920,2541,727,2471,775,2125,745,1534,557,1157,516,1121,475,1774,588,2657,788,2749,712,661,458,553,298,347,323,344,291
0500000US13217,13217,"Newton County, Georgia",13834,895,1112,493,1281,542,380,282,895,642,1043,602,657,370,605,439,878,522,498,313,1910,764,1089,416,2021,670,833,509,340,359,88,121,204,253
0500000US13223,13223,"Paulding County, Georgia",8250,665,627,490,494,418,615,474,239,213,212,226,721,476,125,138,976,581,591,408,592,350,1564,647,552,308,732,480,105,122,105,131,0,300
0500000US13245,13245,"Richmond County, Georgia",36262,2204,5461,1134,3380,788,3354,1087,2200,821,1815,756,1758,749,1921,877,1769,775,2045,855,2892,951,3278,926,3401,1017,1519,604,436,308,808,456,225,284
0500000US13247,13247,"Rockdale County, Georgia",13136,964,1393,717,604,413,726,528,114,141,728,525,644,498,879,548,245,258,441,399,1087,694,1291,578,2607,977,827,454,538,412,704,581,308,197
0500000US13285,13285,"Troup County, Georgia",8107,709,1918,625,776,485,474,294,647,442,497,336,448,398,173,166,295,351,383,325,681,449,514,349,855,591,321,318,125,186,0,300,0,300
0500000US15003,15003,"Honolulu County, Hawaii",6616,862,220,174,234,280,0,275,175,239,275,333,124,148,253,306,507,408,604,425,1059,512,541,379,835,493,1106,651,367,267,257,222,59,100
0500000US17019,17019,"Champaign County, Illinois",9717,1110,2354,932,778,563,780,506,896,624,939,623,989,722,575,397,299,299,86,150,548,373,587,428,556,357,28,47,149,159,71,126,82,140
0500000US17031,17031,"Cook County, Illinois",470667,7034,76920,4136,39495,3344,37309,3464,35617,2993,24739,2676,25789,2328,24527,2186,22888,2530,20030,2398,37645,3232,40345,2861,39940,3251,19485,2064,12033,1685,7067,1509,6838,1407
0500000US17043,17043,"DuPage County, Illinois",15609,1149,1190,627,704,394,546,348,1111,634,845,494,810,580,1555,722,314,337,614,394,1197,630,1697,603,2013,820,1026,578,389,402,1477,753,121,122
0500000US17089,17089,"Kane County, Illinois",9692,1135,1536,760,779,531,261,296,922,590,361,319,501,510,847,434,441,398,361,373,291,250,1317,749,842,402,80,130,549,499,467,386,137,177
0500000US17091,17091,"Kankakee County, Illinois",5937,510,1029,412,663,292,542,430,446,339,660,487,458,231,421,283,337,311,159,140,509,324,231,214,256,162,166,201,0,267,60,101,0,267
0500000US17097,17097,"Lake County, Illinois",16837,1499,2274,815,1190,755,732,470,1978,906,1067,609,957,528,675,421,1001,536,372,435,889,388,1327,641,1749,646,1236,519,375,364,630,390,385,337
0500000US17115,17115,"Macon County, Illinois",6616,907,1580,677,1043,626,713,390,483,388,240,234,411,299,394,277,468,347,390,417,280,223,223,205,391,321,0,267,0,267,0,267,0,267
