GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US01015,01015,"Calhoun County, Alabama",9027,958,1889,772,485,239,1106,538,626,414,700,429,737,443,441,319,713,457,564,476,912,442,406,242,319,240,53,67,76,119,0,192,0,192
0500000US01051,01051,"Elmore County, Alabama",5133,907,741,505,585,505,90,131,282,235,367,331,930,713,474,411,0,192,310,394,242,224,249,234,377,272,327,365,159,216,0,192,0,192
0500000US01055,01055,"Etowah County, Alabama",6707,676,902,471,781,458,812,466,1149,683,461,285,398,250,81,106,685,430,74,96,463,298,312,217,329,316,260,255,0,192,0,192,0,192
0500000US01069,01069,"Houston County, Alabama",9872,504,1997,321,1175,268,966,214,929,223,672,241,740,228,695,226,330,133,395,166,510,299,495,189,500,158,162,88,208,122,64,60,34,34
0500000US01073,01073,"Jefferson County, Alabama",105789,2964,17624,2123,9904,1418,8169,1333,6074,1073,8346,1280,6599,1425,6987,1256,5267,1081,4014,1059,7446,1329,9615,1669,7120,1531,5012,1164,1906,631,1144,500,562,327
0500000US01081,01081,"Lee County, Alabama",14039,1009,2317,815,1136,666,730,384,1221,633,1025,471,1434,756,838,501,62,106,544,368,697,429,484,330,1928,752,1183,699,201,212,162,256,77,122
0500000US01089,01089,"Madison County, Alabama",32468,1566,3273,941,4253,1239,1714,725,2270,716,2922,846,1055,625,2258,951,812,433,1748,715,2661,812,2316,797,2226,751,2578,954,1290,654,698,426,394,390
0500000US01097,01097,"Mobile County, Alabama",48830,2010,9654,1633,5395,1253,5647,1419,3443,951,2247,635,2967,947,1985,713,2578,767,1575,637,3061,643,3083,736,3859,1048,2061,819,688,468,356,283,231,170
0500000US01101,01101,"Montgomery County, Alabama",46965,1859,7759,1496,3814,905,3374,857,2971,985,2498,789,2808,1082,2787,986,2904,826,1576,796,3383,1082,3826,937,4398,991,2331,600,1466,702,1013,462,57,70
0500000US01117,01117,"Shelby County, Alabama",8420,734,593,383,78,77,502,525,432,263,295,214,150,221,550,457,530,395,232,315,282,281,1534,609,1433,713,134,171,751,419,662,541,262,262
0500000US01121,01121,"Talladega County, Alabama",9551,956,1692,715,406,285,1229,480,417,389,566,366,508,287,438,258,765,449,276,377,865,443,795,359,1031,541,268,224,80,84,215,239,0,192
0500000US01125,01125,"Tuscaloosa County, Alabama",20479,1402,2509,791,2227,770,1158,518,1806,574,1682,878,1160,541,1348,670,1533,569,1452,638,1214,516,1754,713,1591,598,501,299,150,154,334,356,60,101
0500000US02020,02020,"Anchorage Municipality, Alaska",5793,1008,51,86,767,683,240,229,243,253,351,537,113,192,427,423,329,250,202,232,534,417,676,460,403,318,192,178,107,140,821,472,337,288
0500000US04013,04013,"Maricopa County, Arizona",71970,3137,8772,1776,4344,1088,5658,1328,6792,1436,3970,871,4614,1130,5745,1481,5080,1204,1694,511,4359,1094,5793,1183,5844,1270,4867,1492,1751,511,1890,873,797,392
0500000US04019,04019,"Pima County, Arizona",13391,1317,888,364,1938,696,1413,584,2109,973,709,358,537,311,255,240,1415,608,420,397,712,387,816,433,1228,664,362,230,301,251,138,137,150,217
0500000US05045,05045,"Faulkner County, Arkansas",4485,776,449,344,495,346,465,425,471,447,305,289,709,519,275,278,295,305,119,144,358,336,80,113,264,265,200,141,0,192,0,192,0,192
0500000US05069,05069,"Jefferson County, Arkansas",14662,1042,2017,758,1730,601,1518,583,1216,531,1071,457,850,355,780,464,546,330,749,345,565,284,1698,605,1069,396,480,299,327,205,35,59,11,18
0500000US05119,05119,"Pulaski County, Arkansas",48854,2366,5965,1330,4354,1086,3896,1092,4862,1469,3220,1035,3377,1039,3432,1019,3039,851,3037,1152,2961,928,4194,1234,2648,778,2091,630,513,285,1121,532,144,142
0500000US06001,06001,"Alameda County, California",74337,2635,8399,1504,7595,1202,5534,1308,4401,1030,4078,916,3534,980,4152,992,3382,976,2306,883,5510,1150,5857,1097,5983,1396,4518,1051,3767,1172,2479,736,2842,950
