GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US01001,01001,"Autauga County, Alabama",2566,617,268,271,283,148,148,156,82,67,173,168,117,35,6,0,27
0500000US01003,01003,"Baldwin County, Alabama",4650,940,599,551,349,292,285,291,212,277,288,257,144,67,43,20,35
0500000US01005,01005,"Barbour County, Alabama",4446,1553,555,425,446,304,271,167,129,133,214,127,53,31,10,0,28
0500000US01007,01007,"Bibb County, Alabama",1306,508,100,141,107,53,99,63,37,21,60,58,28,31,0,0,0
0500000US01009,01009,"Blount County, Alabama",146,46,2,15,1,0,22,6,31,0,18,0,5,0,0,0,0
0500000US01011,01011,"Bullock County, Alabama",2921,1020,390,247,232,194,188,169,91,64,115,94,65,27,19,0,6
0500000US01013,01013,"Butler County, Alabama",3117,1042,389,358,297,197,169,187,107,64,128,40,67,9,10,28,25
0500000US01015,01015,"Calhoun County, Alabama",7731,2039,945,807,676,480,444,419,343,255,427,397,274,102,41,53,29
0500000US01017,01017,"Chambers County, Alabama",5002,1310,546,504,423,329,317,275,344,182,302,288,117,39,8,0,18
0500000US01019,01019,"Cherokee County, Alabama",461,85,70,37,27,51,39,26,21,7,31,35,10,22,0,0,0
0500000US01021,01021,"Chilton County, Alabama",1450,375,211,142,103,101,105,91,61,56,75,82,35,3,0,0,10
0500000US01023,01023,"Choctaw County, Alabama",2632,768,409,283,236,198,113,150,99,64,115,88,45,26,18,2,18
