CountyID,CountyName,TotalPopulation," Less than $10,000"," $10,000 to $14,999"," $15,000 to $19,999"," $20,000 to $24,999"," $25,000 to $29,999"," $30,000 to $34,999"," $35,000 to $39,999"," $40,000 to $44,999"," $45,000 to $49,999"," $50,000 to $59,999"," $60,000 to $74,999"," $75,000 to $99,999"," $100,000 to $124,999"," $125,000 to $149,999"," $150,000 to $199,999"," $200,000 or more",Year,Race
1001,"Autauga County, Alabama",43,5,0,10,0,0,0,9,6,0,0,0,6,7,0,0,0,2000,Asian
1003,"Baldwin County, Alabama",132,20,8,8,5,11,0,0,0,7,12,35,4,0,0,0,22,2000,Asian
1005,"Barbour County, Alabama",3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2000,Asian
1007,"Bibb County, Alabama",6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2000,Asian
1009,"Blount County, Alabama",35,3,0,0,10,0,0,0,1,0,0,0,1,0,0,6,14,2000,Asian
1011,"Bullock County, Alabama",5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1013,"Butler County, Alabama",11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2000,Asian
1015,"Calhoun County, Alabama",225,54,0,8,23,27,0,36,10,0,8,3,27,17,0,0,12,2000,Asian
1017,"Chambers County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1019,"Cherokee County, Alabama",19,0,0,8,0,7,0,0,0,0,0,0,2,0,2,0,0,2000,Asian
1021,"Chilton County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1023,"Choctaw County, Alabama",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2000,Asian
1025,"Clarke County, Alabama",34,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,2000,Asian
1027,"Clay County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1029,"Cleburne County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1031,"Coffee County, Alabama",86,2,13,0,9,17,7,26,0,5,0,2,0,0,5,0,0,2000,Asian
1033,"Colbert County, Alabama",45,0,7,10,6,0,0,0,0,0,0,11,0,0,0,0,11,2000,Asian
1035,"Conecuh County, Alabama",12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,2000,Asian
1037,"Coosa County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1039,"Covington County, Alabama",10,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,2000,Asian
1041,"Crenshaw County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1043,"Cullman County, Alabama",62,17,5,0,4,0,13,10,0,7,0,0,0,0,0,0,6,2000,Asian
1045,"Dale County, Alabama",106,0,8,19,0,3,5,5,11,13,11,11,15,5,0,0,0,2000,Asian
1047,"Dallas County, Alabama",53,8,0,0,0,0,0,0,0,6,7,7,16,0,0,9,0,2000,Asian
1049,"DeKalb County, Alabama",36,12,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12,2000,Asian
1051,"Elmore County, Alabama",54,0,0,9,0,7,0,10,0,7,0,0,10,0,0,0,11,2000,Asian
1053,"Escambia County, Alabama",34,0,0,2,7,0,9,0,0,0,0,16,0,0,0,0,0,2000,Asian
1055,"Etowah County, Alabama",136,16,0,12,5,0,0,0,0,13,30,0,21,9,0,26,4,2000,Asian
1057,"Fayette County, Alabama",15,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1059,"Franklin County, Alabama",17,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2000,Asian
1061,"Geneva County, Alabama",18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,2000,Asian
1063,"Greene County, Alabama",5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2000,Asian
1065,"Hale County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1067,"Henry County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1069,"Houston County, Alabama",162,8,5,15,14,29,22,0,0,19,0,5,24,0,0,0,21,2000,Asian
1071,"Jackson County, Alabama",30,0,0,9,0,9,3,0,0,0,0,0,9,0,0,0,0,2000,Asian
1073,"Jefferson County, Alabama",1946,277,101,130,85,150,85,99,55,80,244,238,214,46,35,21,86,2000,Asian
1075,"Lamar County, Alabama",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2000,Asian
1077,"Lauderdale County, Alabama",75,5,14,0,14,0,0,0,0,0,7,0,0,8,0,19,8,2000,Asian
1079,"Lawrence County, Alabama",13,0,0,0,0,0,0,5,0,0,6,2,0,0,0,0,0,2000,Asian
1081,"Lee County, Alabama",675,140,67,55,40,29,63,18,26,28,17,28,62,42,18,25,17,2000,Asian
1083,"Limestone County, Alabama",73,0,11,0,3,0,0,0,0,21,0,18,15,5,0,0,0,2000,Asian
1085,"Lowndes County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1087,"Macon County, Alabama",45,5,12,8,2,0,0,0,0,0,0,10,0,0,0,8,0,2000,Asian
1089,"Madison County, Alabama",1433,139,81,65,71,69,51,90,70,66,96,269,130,136,45,14,41,2000,Asian
1091,"Marengo County, Alabama",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian
1093,"Marion County, Alabama",26,0,0,0,0,0,0,0,5,0,0,0,9,12,0,0,0,2000,Asian
1095,"Marshall County, Alabama",64,11,7,0,0,7,0,0,0,6,7,7,0,10,0,9,0,2000,Asian
1097,"Mobile County, Alabama",1451,293,119,34,113,69,72,64,99,50,146,148,99,53,46,25,21,2000,Asian
1099,"Monroe County, Alabama",12,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,6,2000,Asian
1101,"Montgomery County, Alabama",582,58,34,0,42,58,22,19,22,39,18,61,120,33,10,18,28,2000,Asian
1103,"Morgan County, Alabama",142,7,6,13,0,1,0,0,15,10,23,11,39,17,0,0,0,2000,Asian
