CountyID,CountyName,TotalPopulation," Less than $10,000"," $10,000 to $14,999"," $15,000 to $19,999"," $20,000 to $24,999"," $25,000 to $29,999"," $30,000 to $34,999"," $35,000 to $39,999"," $40,000 to $44,999"," $45,000 to $49,999"," $50,000 to $59,999"," $60,000 to $74,999"," $75,000 to $99,999"," $100,000 to $124,999"," $125,000 to $149,999"," $150,000 to $199,999"," $200,000 or more",Year,Race
1001,"Autauga County, Alabama",107,17,9,7,21,4,0,0,0,15,6,0,22,0,0,0,6,2000,Hispanic
1003,"Baldwin County, Alabama",605,65,37,26,61,38,17,61,13,51,62,104,33,13,0,9,15,2000,Hispanic
1005,"Barbour County, Alabama",103,30,17,3,4,2,0,11,8,2,10,1,15,0,0,0,0,2000,Hispanic
1007,"Bibb County, Alabama",43,0,0,0,6,0,0,5,0,15,0,9,8,0,0,0,0,2000,Hispanic
1009,"Blount County, Alabama",606,87,23,41,62,70,113,15,26,50,23,33,39,14,0,10,0,2000,Hispanic
1011,"Bullock County, Alabama",78,6,0,0,17,5,13,0,0,0,17,20,0,0,0,0,0,2000,Hispanic
1013,"Butler County, Alabama",73,36,0,0,15,0,0,10,0,0,0,7,0,0,0,5,0,2000,Hispanic
1015,"Calhoun County, Alabama",597,82,56,47,57,45,78,44,18,50,34,27,55,0,0,4,0,2000,Hispanic
1017,"Chambers County, Alabama",108,22,26,10,8,12,0,0,12,0,13,5,0,0,0,0,0,2000,Hispanic
1019,"Cherokee County, Alabama",49,3,2,1,1,0,0,0,18,8,3,10,2,1,0,0,0,2000,Hispanic
1021,"Chilton County, Alabama",239,56,19,27,20,16,40,11,3,10,12,12,3,10,0,0,0,2000,Hispanic
1023,"Choctaw County, Alabama",54,7,0,19,0,0,2,0,10,0,1,0,2,0,0,0,13,2000,Hispanic
1025,"Clarke County, Alabama",91,22,13,11,29,1,7,0,8,0,0,0,0,0,0,0,0,2000,Hispanic
1027,"Clay County, Alabama",76,18,14,3,15,5,5,5,8,0,0,0,3,0,0,0,0,2000,Hispanic
