GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US02020,02020,"Anchorage Municipality, Alaska",5703,862,174,221,82,99,141,204,483,400,485,363,434,416,456,422,174,166,236,187,901,490,414,328,517,396,270,213,587,486,349,370,0,233
0500000US04003,04003,"Cochise County, Arizona",11516,1111,2114,656,905,397,1130,502,933,597,538,341,1551,679,501,368,711,472,721,567,440,313,1055,554,441,319,209,181,267,288,0,291,0,291
0500000US04005,04005,"Coconino County, Arizona",4131,751,292,471,118,129,406,267,331,310,883,649,307,200,470,395,42,74,161,163,182,130,201,204,445,295,139,131,45,79,109,125,0,291
0500000US04013,04013,"Maricopa County, Arizona",276597,4249,21456,2321,21008,3192,23743,3051,25397,3953,20149,2960,21216,3512,18784,3106,18127,3117,14968,2777,24653,3255,25908,2824,22434,2834,10320,1610,3612,768,2419,1062,2403,713
0500000US04015,04015,"Mohave County, Arizona",7450,899,1252,670,355,241,477,327,449,369,587,429,744,473,532,423,479,513,407,310,472,372,778,452,132,175,114,148,81,139,532,545,59,102
0500000US04019,04019,"Pima County, Arizona",90675,2473,9011,1641,6652,1435,7962,1279,7603,1539,8511,1625,8500,1652,4928,1009,5633,1201,3875,962,7476,1332,8899,1472,6535,1173,1907,694,1103,386,930,384,1150,509
0500000US04021,04021,"Pinal County, Arizona",19736,1195,2399,1187,744,498,1600,658,1884,756,1798,780,1149,609,872,468,1895,1011,1013,689,1636,989,2051,778,2006,993,435,484,254,244,0,291,0,291
0500000US04025,04025,"Yavapai County, Arizona",8605,1204,764,522,647,449,580,515,674,431,731,586,1036,621,614,511,551,484,91,157,808,822,1211,650,397,279,322,250,59,98,120,143,0,291
0500000US04027,04027,"Yuma County, Arizona",29000,1440,4943,1267,2157,849,2546,876,2598,810,2116,803,1682,696,2028,850,2055,872,1460,642,2064,868,1640,685,2420,919,604,406,439,355,248,417,0,291
0500000US05007,05007,"Benton County, Arkansas",5593,1080,349,300,149,218,374,286,231,272,276,205,524,480,387,414,948,582,208,197,457,352,716,476,649,449,243,232,44,74,38,65,0,260
0500000US05143,05143,"Washington County, Arkansas",5862,882,111,161,380,385,602,409,1304,890,577,569,375,282,258,216,319,312,315,247,801,489,261,255,524,439,0,260,35,63,0,260,0,260
0500000US06001,06001,"Alameda County, California",76926,3524,5574,1277,4146,1230,3605,904,5515,1288,4109,1288,2432,737,5048,1308,3816,1093,5486,1451,7134,1696,7342,1624,10382,1937,5263,1179,3385,1406,2325,762,1364,615
0500000US06007,06007,"Butte County, California",7296,807,303,237,1146,602,533,327,980,582,344,299,490,306,977,650,282,286,74,100,704,405,644,386,395,229,285,266,60,102,0,293,79,129
0500000US06013,06013,"Contra Costa County, California",54447,3131,1840,688,2039,1307,3014,893,2211,963,2781,945,3415,1223,4550,1535,2444,809,3117,1327,4683,1237,7805,1437,6609,1350,4703,1372,2028,712,1101,419,2107,1166
0500000US06017,06017,"El Dorado County, California",4429,811,249,246,359,361,444,439,343,312,104,191,620,418,375,308,43,81,60,105,238,235,793,401,444,357,80,110,99,125,38,66,140,195
0500000US06019,06019,"Fresno County, California",104813,2875,11472,2238,8571,2267,9527,1842,8969,1779,8957,2239,6526,1404,5456,1313,6101,1300,5971,1984,6717,1498,9893,1983,10300,2164,3569,1166,1681,682,844,561,259,193
0500000US06025,06025,"Imperial County, California",31126,1239,4291,1125,2680,746,2734,800,2610,774,2247,916,1818,609,1653,743,1454,688,1559,557,1972,566,3523,976,2854,1017,874,396,507,334,242,243,108,131
