Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US01073,1073,"Jefferson County, Alabama",6330,835,285,240,71,113,504,447,381,260,750,368,400,290,565,468,239,248,264,292,580,379,901,509,711,478,298,383,122,156,131,186,128,132
0500000US01089,1089,"Madison County, Alabama",5196,616,429,314,526,315,365,317,593,347,447,400,174,150,188,184,133,152,83,102,349,339,660,427,367,412,340,292,146,152,174,188,222,235
0500000US02020,2020,"Anchorage Municipality, Alaska",7022,1050,183,219,234,288,351,236,556,407,160,206,230,262,46,78,63,119,573,598,484,368,1056,642,1108,655,612,420,692,510,378,263,296,244
0500000US04003,4003,"Cochise County, Arizona",14397,1189,1573,680,1282,626,1173,654,1463,767,1226,575,866,495,635,303,496,334,919,516,890,466,720,387,2300,688,595,380,174,172,85,106,0,204
0500000US04005,4005,"Coconino County, Arizona",5304,700,443,330,441,326,465,458,371,340,338,269,226,213,317,259,161,247,89,105,306,312,858,447,637,346,262,245,390,343,0,204,0,204
0500000US04013,4013,"Maricopa County, Arizona",333921,5150,26383,2684,18012,2549,15018,1963,21133,2263,19655,2331,21094,2497,20154,2596,21885,2665,17273,2209,33767,2721,35100,3198,36904,3246,21446,2808,11413,1612,8369,1375,6315,1393
0500000US04015,4015,"Mohave County, Arizona",9199,1377,733,555,85,139,284,257,473,403,1125,650,711,534,412,409,686,595,997,628,1044,538,541,404,1012,455,717,436,8,12,57,97,314,259
0500000US04019,4019,"Pima County, Arizona",114563,2992,9954,1842,8804,1868,9490,1482,7710,1634,6971,1380,7051,1622,6534,1291,7556,1311,6541,1419,11166,2389,9680,1700,11035,1682,5354,1099,2851,826,2119,751,1747,633
0500000US04021,4021,"Pinal County, Arizona",25166,2135,2462,830,1599,757,1148,558,2201,780,1056,609,1536,765,1891,740,997,551,524,345,2077,772,2439,822,2666,772,2404,933,763,652,1138,725,265,222
0500000US04025,4025,"Yavapai County, Arizona",8764,1260,488,354,181,234,134,176,490,488,519,498,859,743,377,355,244,289,303,293,793,564,1673,895,1200,868,892,761,272,353,233,288,106,164
0500000US04027,4027,"Yuma County, Arizona",37333,1865,3021,872,3018,920,2237,832,1654,651,3522,1122,2337,922,1883,792,2676,1254,1536,662,3127,944,3501,1034,5982,1490,960,557,953,593,563,397,363,347
0500000US05007,5007,"Benton County, Arkansas",11531,822,324,330,29,49,184,159,1154,636,687,400,992,597,509,411,834,450,842,418,1705,614,1442,598,896,476,716,496,548,505,290,359,379,366
0500000US05119,5119,"Pulaski County, Arkansas",6785,876,385,284,566,559,605,521,528,457,596,495,412,305,255,324,692,433,702,461,515,380,371,305,163,226,841,559,123,170,31,54,0,197
0500000US05143,5143,"Washington County, Arkansas",9814,994,844,680,313,312,1168,804,858,654,1204,753,374,354,573,392,709,512,752,506,1401,741,434,470,773,634,200,324,0,197,109,115,102,122
