Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",4948,1057,433,308,300,267,288,231,539,349,300,316,161,188,190,200,206,198,69,116,519,408,541,306,761,436,84,100,274,284,283,298,0,233
0500000US04013,4013,"Maricopa County, Arizona",16799,2136,1057,482,951,445,1396,610,1623,671,1224,697,1031,485,1195,547,1501,666,416,393,1421,522,1018,386,2126,694,1007,462,305,223,412,266,116,141
0500000US04019,4019,"Pima County, Arizona",5852,1136,787,493,211,175,287,200,258,226,422,371,868,599,161,156,530,366,491,301,417,252,893,438,176,209,312,244,0,291,39,66,0,291
0500000US06001,6001,"Alameda County, California",13647,1695,993,450,712,353,401,314,654,429,524,405,852,527,645,334,766,504,682,433,1431,484,1024,526,1626,783,1466,633,680,355,750,487,441,394
0500000US06013,6013,"Contra Costa County, California",8948,1522,471,290,498,412,564,456,453,304,437,380,627,589,311,367,430,413,200,191,495,263,934,415,1192,505,1128,560,196,236,739,501,273,193
0500000US06019,6019,"Fresno County, California",5696,1434,435,253,317,218,327,256,274,293,382,329,308,279,471,353,400,445,246,217,325,259,627,491,590,280,791,530,116,139,0,293,87,72
0500000US06029,6029,"Kern County, California",5286,1094,299,228,520,377,154,166,544,409,386,304,414,235,304,237,323,277,386,342,203,173,1043,539,90,106,231,312,227,233,162,156,0,293
0500000US06037,6037,"Los Angeles County, California",57515,4104,4662,1086,3065,778,3070,987,3403,1363,3059,903,3319,975,2675,1025,3107,901,2716,899,4601,1136,5989,1374,7404,1456,3234,753,2607,878,2145,713,2459,798
0500000US06059,6059,"Orange County, California",12744,1464,728,351,513,394,615,363,218,156,286,194,325,297,688,313,555,284,466,355,835,399,1472,604,2016,748,1497,450,668,376,728,411,1134,517
0500000US06065,6065,"Riverside County, California",11536,1702,845,456,1155,611,535,446,652,565,202,185,790,587,193,169,328,204,858,492,1110,590,1405,570,1699,783,763,388,319,223,521,406,161,177
0500000US06067,6067,"Sacramento County, California",11528,1512,1259,697,786,472,194,171,661,499,549,508,670,451,850,449,633,366,277,188,830,454,1527,655,1695,666,904,578,425,277,118,142,150,148
0500000US06071,6071,"San Bernardino County, California",10135,1616,683,324,746,435,622,355,920,513,602,397,900,541,544,380,458,391,351,323,836,418,1239,685,883,460,816,422,110,136,0,293,425,203
0500000US06073,6073,"San Diego County, California",19594,2526,1489,839,961,499,499,339,1196,530,562,298,1161,492,1017,517,674,410,1389,513,1728,630,1950,730,2177,663,2494,1277,912,403,705,431,680,490
0500000US06075,6075,"San Francisco County, California",6806,1188,820,520,866,460,251,215,157,152,535,391,491,382,119,144,0,293,135,225,891,373,618,415,532,279,314,276,418,257,348,295,311,232
0500000US06077,6077,"San Joaquin County, California",4445,945,231,199,481,349,298,184,37,60,85,103,83,107,179,161,290,213,185,167,262,329,833,406,610,419,443,266,320,272,53,92,55,93
0500000US06085,6085,"Santa Clara County, California",9140,1388,684,393,364,415,121,143,582,382,322,332,228,176,146,144,491,377,194,169,585,405,1043,449,1842,800,851,348,793,387,274,204,620,313
0500000US06099,6099,"Stanislaus County, California",3414,870,243,210,312,421,48,82,214,241,363,285,192,163,197,188,39,70,114,113,429,382,385,235,224,195,195,165,268,323,191,258,0,293
0500000US12011,12011,"Broward County, Florida",10882,1619,645,387,769,402,469,467,960,540,861,629,838,395,610,455,541,398,796,530,864,409,1016,535,815,376,653,404,569,371,430,392,46,79
