Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",6681,1422,33,61,150,194,151,149,739,577,270,287,59,100,57,95,496,473,433,313,666,444,1326,603,1298,516,350,234,498,420,121,160,34,58
0500000US04013,4013,"Maricopa County, Arizona",19427,2048,1317,444,726,427,420,303,1619,690,1090,533,1630,661,1190,586,1096,426,748,401,1228,463,2211,759,2959,826,1676,694,642,374,628,363,247,204
0500000US04019,4019,"Pima County, Arizona",5637,1161,482,302,381,258,415,365,245,234,481,358,284,238,384,266,364,313,327,306,359,251,653,323,330,224,280,206,415,347,237,250,0,302
0500000US06001,6001,"Alameda County, California",14306,1871,1229,671,621,546,447,359,675,422,348,247,624,454,463,462,729,378,321,340,999,467,1590,702,2066,801,1608,624,748,379,839,475,999,483
0500000US06013,6013,"Contra Costa County, California",9373,1391,710,553,362,260,427,307,179,176,259,264,352,330,213,204,267,240,162,131,725,444,1286,626,1405,649,1335,640,597,345,585,296,509,326
0500000US06019,6019,"Fresno County, California",5816,1228,832,485,143,177,243,218,270,268,353,259,217,266,228,260,651,527,278,217,579,348,647,452,673,355,151,142,258,265,161,172,132,151
0500000US06029,6029,"Kern County, California",5508,991,348,277,321,261,149,266,510,304,301,274,210,172,0,294,633,430,282,212,211,162,380,218,778,473,581,373,189,210,531,424,84,139
0500000US06037,6037,"Los Angeles County, California",62582,3561,3915,894,3318,656,3141,828,2917,836,2312,575,3707,920,2325,684,2786,790,1672,636,5984,1243,5864,1258,8745,1720,6535,1314,2768,828,3438,871,3155,849
0500000US06059,6059,"Orange County, California",15282,1913,468,273,740,406,193,163,99,119,338,340,402,238,899,458,722,355,323,246,468,244,1824,650,3199,907,2214,587,334,241,2255,825,804,368
0500000US06065,6065,"Riverside County, California",11191,1505,734,428,485,295,699,438,790,453,277,271,333,258,487,300,1048,587,419,276,809,440,1282,534,1362,444,1088,429,558,360,504,237,316,235
0500000US06067,6067,"Sacramento County, California",13396,1804,1007,387,443,280,417,306,1111,609,598,397,654,403,503,330,1054,608,634,416,1334,685,1257,409,2018,660,1031,441,427,335,416,331,492,387
0500000US06071,6071,"San Bernardino County, California",15427,2007,1160,651,767,445,1165,625,758,487,957,533,735,514,589,355,929,560,979,457,1282,659,1377,664,1584,592,1537,890,1051,676,386,269,171,224
0500000US06073,6073,"San Diego County, California",25386,2641,1050,541,1772,596,1103,466,1342,569,657,419,1281,644,1022,400,1398,595,644,309,2344,944,3332,796,3425,1019,2132,660,1544,684,1431,616,909,458
0500000US06075,6075,"San Francisco County, California",8407,1360,748,453,866,601,219,191,188,215,249,265,322,235,632,441,266,320,140,163,136,160,991,552,715,448,1063,398,509,300,943,442,420,273
0500000US06077,6077,"San Joaquin County, California",6181,1344,264,225,473,348,461,313,547,370,464,459,271,309,317,458,132,134,143,159,485,301,346,260,768,553,993,540,87,107,266,152,164,178
0500000US06081,6081,"San Mateo County, California",5423,1117,296,232,114,150,51,84,234,191,72,130,85,143,0,294,409,326,214,290,349,205,447,300,432,326,764,472,968,506,498,398,490,318
0500000US06085,6085,"Santa Clara County, California",11391,1452,755,372,108,148,435,321,387,335,429,339,217,198,123,124,357,221,290,219,1009,563,848,364,1277,542,1693,501,982,490,1215,515,1266,525
0500000US06095,6095,"Solano County, California",4689,917,145,239,236,329,68,117,147,135,141,128,94,107,343,273,114,172,128,157,433,302,320,291,704,365,320,211,553,324,547,486,396,344
0500000US06097,6097,"Sonoma County, California",3643,951,328,294,192,164,186,189,181,155,183,181,98,153,39,64,0,294,326,225,314,250,200,179,281,244,396,254,397,466,327,266,195,239
