GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US02020,02020,"Anchorage Municipality, Alaska",5606,1108,139,181,371,364,171,184,560,412,314,360,283,257,160,144,613,355,474,309,240,241,548,389,740,481,276,324,305,225,125,129,287,315
0500000US04013,04013,"Maricopa County, Arizona",20548,2195,1314,609,1039,547,1317,482,641,336,1728,675,1349,623,906,470,947,526,474,363,2651,1015,2406,716,2049,824,1076,482,1003,795,1003,559,645,346
0500000US04019,04019,"Pima County, Arizona",6445,1140,763,401,168,175,326,399,191,199,667,525,628,328,274,196,506,386,442,242,200,211,438,246,805,510,522,304,375,227,0,305,140,161
0500000US06001,06001,"Alameda County, California",20072,2383,1538,641,854,437,798,391,574,307,710,372,719,474,430,290,1527,738,893,533,1002,487,2335,608,3419,794,2311,776,481,271,1168,463,1313,566
0500000US06013,06013,"Contra Costa County, California",10358,1552,382,285,530,550,429,380,415,398,514,379,370,348,741,557,658,393,536,456,595,280,876,442,1324,589,682,321,499,406,938,550,869,455
0500000US06019,06019,"Fresno County, California",8590,1228,756,522,1017,510,131,129,555,426,653,414,113,131,278,220,190,132,561,395,824,410,1352,667,671,324,400,351,644,488,372,384,73,125
0500000US06029,06029,"Kern County, California",6876,1221,628,392,924,502,506,289,332,252,376,361,540,295,361,272,273,210,437,363,409,315,373,241,1112,551,212,270,284,177,109,145,0,294
0500000US06037,06037,"Los Angeles County, California",92706,4874,6803,1140,4467,967,5375,1189,4335,1000,4522,1135,4240,961,4634,939,4449,1223,3691,997,7233,1319,10352,1727,11763,1788,7508,1290,5112,1187,4738,1062,3484,942
0500000US06053,06053,"Monterey County, California",3542,937,269,221,0,294,201,172,54,90,153,216,206,188,69,89,42,70,413,421,318,247,355,211,589,468,513,460,112,128,134,118,114,132
0500000US06059,06059,"Orange County, California",19577,2032,1061,498,941,373,670,367,804,477,603,308,569,369,514,296,632,308,1153,577,1441,416,2358,662,2454,704,1873,517,877,362,2021,607,1606,535
0500000US06065,06065,"Riverside County, California",16863,1984,797,491,704,383,894,400,877,410,646,365,821,362,670,441,788,557,745,344,1949,637,2007,664,1549,629,1528,590,1395,530,875,390,618,328
