CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
4013,"Maricopa County, Arizona",59190,6127,3047,4771,5876,3294,4064,3656,3567,3781,4682,5586,5710,2712,1363,582,372,2013,Other
4019,"Pima County, Arizona",27378,3111,2768,2787,2692,3624,1501,1138,1659,947,1575,1566,1684,1004,916,199,207,2013,Other
4027,"Yuma County, Arizona",9411,845,601,551,641,996,523,970,479,373,718,1057,943,522,192,0,0,2013,Other
6001,"Alameda County, California",32978,682,835,1768,1388,1400,2022,1326,2601,1223,3569,4395,5295,2512,1711,1537,714,2013,Other
6013,"Contra Costa County, California",20873,786,462,1723,1082,871,1033,1355,912,1291,1965,3199,1906,2362,706,983,237,2013,Other
6019,"Fresno County, California",43883,5569,4075,2842,4123,3636,3679,2143,2585,1757,3247,4509,2848,1523,295,821,231,2013,Other
6025,"Imperial County, California",7427,580,796,610,893,657,613,172,122,329,411,1043,401,291,239,228,42,2013,Other
6029,"Kern County, California",24082,1841,1872,1446,1204,2315,1623,1350,891,1119,2367,2774,2839,1097,775,250,319,2013,Other
6031,"Kings County, California",5718,533,803,388,432,224,920,238,178,602,159,408,429,237,46,92,29,2013,Other
6037,"Los Angeles County, California",479816,30464,33110,38871,36499,33874,36039,30831,26833,24329,41074,47493,49067,24485,12214,9470,5163,2013,Other
6047,"Merced County, California",16225,1422,1338,1574,1519,835,1431,669,952,765,1208,2009,1374,405,406,154,164,2013,Other
6053,"Monterey County, California",7910,211,176,190,411,669,873,454,993,323,510,614,1244,549,331,255,107,2013,Other
6055,"Napa County, California",5014,258,50,48,759,366,313,368,222,464,304,572,498,494,227,42,29,2013,Other
6059,"Orange County, California",79657,2726,2933,4249,4936,5982,5415,4780,4767,4216,7828,8667,11334,4614,3213,2222,1775,2013,Other
6065,"Riverside County, California",91172,5990,5068,5514,6005,5015,7334,4797,5706,5295,7690,11894,9889,5262,2058,2159,1496,2013,Other
6067,"Sacramento County, California",26504,1932,1330,1645,2445,1016,1577,1444,1999,1116,2321,2814,2829,1958,689,1238,151,2013,Other
6071,"San Bernardino County, California",73197,5916,3182,4684,3544,3932,3811,5759,4726,5444,6945,7571,8169,5603,1347,955,1609,2013,Other
6073,"San Diego County, California",50828,2812,3363,3348,4822,3062,3208,2309,1806,2998,5165,4188,6670,3502,1490,1197,888,2013,Other
6075,"San Francisco County, California",19560,681,1172,595,1241,1536,1778,820,1237,295,1388,2131,2223,1318,1012,1186,947,2013,Other
6077,"San Joaquin County, California",24999,1791,1363,2097,2444,1744,1369,1957,1181,897,2652,2468,2246,2089,308,203,190,2013,Other
6081,"San Mateo County, California",16395,219,384,673,1336,450,781,546,995,1015,1354,1900,3180,1172,758,799,833,2013,Other
6083,"Santa Barbara County, California",22393,1382,1435,1521,1076,814,1570,1461,706,1793,1578,2424,2636,1968,788,1164,77,2013,Other
6085,"Santa Clara County, California",48096,2629,1837,1516,3234,2482,2719,1904,2160,2359,4781,6835,5009,4305,2378,2519,1429,2013,Other
6095,"Solano County, California",8530,291,428,175,491,562,582,480,408,407,1103,955,1046,697,757,84,64,2013,Other
6097,"Sonoma County, California",14849,617,852,790,1681,586,986,1358,870,520,780,1256,2301,755,305,614,578,2013,Other
6099,"Stanislaus County, California",18136,1627,1986,2444,1048,1625,927,1033,1585,877,1260,1576,1373,286,11,312,166,2013,Other
6107,"Tulare County, California",7848,1341,442,822,645,802,414,503,478,333,661,561,361,245,58,112,70,2013,Other
6111,"Ventura County, California",13869,335,1124,242,493,347,701,324,789,741,1224,1190,3265,887,1262,220,725,2013,Other
8001,"Adams County, Colorado",6250,443,351,393,217,207,377,453,392,212,513,536,1035,577,219,206,119,2013,Other
8005,"Arapahoe County, Colorado",11930,893,514,1081,1803,669,1079,587,304,770,894,1387,676,714,109,182,268,2013,Other
