Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US04013,4013,"Maricopa County, Arizona",101811,4900,6562,1434,7316,1972,7081,1488,8596,1958,8452,2058,6467,1558,7214,1709,5237,1188,6783,1576,10093,1758,12153,1767,8200,1409,4636,1195,1637,611,718,317,666,407
0500000US04019,4019,"Pima County, Arizona",46916,2963,4345,1269,3923,1195,3813,875,4219,1135,4451,1043,4883,1327,2038,632,3266,984,2448,911,3700,1047,4414,1048,3217,899,1092,532,420,246,305,309,382,288
0500000US04021,4021,"Pinal County, Arizona",10177,1438,1102,604,829,543,1378,710,862,555,1283,635,561,395,502,402,594,400,516,460,488,355,862,507,836,529,183,261,181,201,0,291,0,291
0500000US04027,4027,"Yuma County, Arizona",11391,1886,2547,950,825,512,367,356,734,410,671,491,777,507,461,391,1101,764,800,552,1195,635,821,438,622,501,139,205,331,344,0,291,0,291
0500000US06001,6001,"Alameda County, California",40081,3456,2383,753,1709,823,1048,490,2812,968,2396,1068,1095,502,2724,1111,1867,837,3438,1220,3030,950,5029,1520,6307,1706,2743,837,2270,1260,699,422,531,347
0500000US06013,6013,"Contra Costa County, California",32067,2947,983,559,1391,1325,1599,712,1597,853,1461,775,1762,737,2745,1221,931,556,1709,1136,3065,1006,4540,1198,4366,1039,3538,1303,653,467,406,270,1321,1063
0500000US06019,6019,"Fresno County, California",49088,3206,4870,1061,3752,1040,4981,1124,4334,921,3696,1180,3312,951,2397,987,3120,848,2163,769,3411,1062,4497,1104,5317,1209,2095,1114,749,406,341,372,53,88
0500000US06025,6025,"Imperial County, California",10103,1459,1139,597,1053,510,978,459,941,457,892,607,642,339,338,207,682,482,764,435,745,382,679,371,654,393,420,289,176,149,0,293,0,293
0500000US06029,6029,"Kern County, California",43373,3603,4449,1187,4528,1243,3607,1115,4819,1320,3118,845,3547,1214,2680,995,2901,961,2110,818,2731,865,3647,1086,3250,829,982,489,241,206,303,294,460,411
0500000US06031,6031,"Kings County, California",4206,945,555,294,376,245,137,133,656,372,382,325,222,169,216,184,183,151,164,162,371,368,456,323,349,241,57,92,82,133,0,293,0,293
0500000US06037,6037,"Los Angeles County, California",572612,12521,43961,4562,43571,4534,45261,3518,49523,3932,42867,3863,41478,3456,32974,3764,35283,3624,27821,2870,52597,4501,54624,4681,52909,4035,24372,2744,11251,1825,8465,1647,5655,1260
0500000US06039,6039,"Madera County, California",4016,849,287,237,297,257,216,186,450,326,241,219,389,255,382,258,212,215,216,188,327,249,209,198,330,174,460,367,0,293,0,293,0,293
0500000US06047,6047,"Merced County, California",10174,1449,1091,544,360,251,555,302,1383,620,622,369,710,483,969,553,787,512,644,354,704,367,1174,542,796,388,225,181,65,114,35,61,54,91
0500000US06053,6053,"Monterey County, California",19090,2210,1094,558,1459,704,1689,726,1706,666,1722,1121,1593,849,781,387,1006,501,1083,580,2301,778,1727,693,1899,678,571,357,183,200,170,162,106,121
0500000US06059,6059,"Orange County, California",110143,5770,4418,1467,4982,1608,4680,1413,5836,1678,7258,2021,9139,2421,6443,1557,8811,2034,4945,1302,13146,2306,14769,2623,13506,2824,5884,1438,3296,1209,1696,620,1334,498
0500000US06061,6061,"Placer County, California",5091,961,62,108,596,539,309,296,0,293,495,447,52,65,312,349,443,286,531,411,1067,941,68,113,553,376,0,293,188,198,340,285,75,96
0500000US06065,6065,"Riverside County, California",105520,5099,6433,1462,4910,1137,6691,1364,6451,1472,7510,2001,6944,1514,7382,1567,6385,1664,5344,1180,10339,2040,13880,2405,12580,2397,4972,1546,2641,1237,2247,1079,811,471
0500000US06067,6067,"Sacramento County, California",39065,3403,2775,1186,3135,1302,1783,747,2172,848,2919,1104,2393,779,3505,1227,2364,820,1930,880,3226,1044,4701,1213,4508,1186,2305,831,651,440,416,382,282,281
0500000US06071,6071,"San Bernardino County, California",82134,5813,3892,969,4120,1152,5290,1423,5998,1614,5777,1595,4422,1120,4695,1099,4485,1009,3269,815,6528,1542,12460,2053,11566,2263,5074,1199,2166,910,1324,603,1068,636
0500000US06073,6073,"San Diego County, California",87508,4981,6629,1551,3839,984,6229,1428,8198,1784,6347,1729,6447,1424,4745,1077,5625,1600,4732,1426,8151,1827,9483,1699,9029,1836,3768,950,2459,688,1211,425,616,349
0500000US06075,6075,"San Francisco County, California",10654,1665,1519,707,1105,766,554,376,917,544,219,180,245,271,513,306,715,415,594,425,383,306,1139,549,993,502,587,428,454,385,575,380,142,166
0500000US06077,6077,"San Joaquin County, California",12979,1590,1010,477,737,548,657,349,870,428,694,399,1086,541,730,327,483,264,708,348,1630,526,1752,618,1294,516,488,349,155,173,449,308,236,242
0500000US06081,6081,"San Mateo County, California",18284,2709,473,369,617,509,1420,1098,1373,769,1059,637,1141,562,1461,1237,532,406,678,462,1902,971,3117,1772,2213,751,1501,744,469,345,229,186,99,109
0500000US06083,6083,"Santa Barbara County, California",13885,1997,652,452,636,374,1165,510,1366,999,805,523,1142,600,1649,1115,1108,511,389,211,1457,645,937,439,1710,691,531,305,197,197,0,293,141,172
0500000US06085,6085,"Santa Clara County, California",48577,3666,3798,944,2084,809,2407,846,2990,986,2080,831,2443,836,3107,1323,4169,1516,1282,683,4906,1308,4379,1225,5417,1226,3718,1203,2810,983,2091,694,896,512
0500000US06087,6087,"Santa Cruz County, California",3687,785,162,187,250,208,234,225,123,117,167,147,165,179,163,151,146,149,207,195,278,213,238,165,967,459,441,253,79,136,67,111,0,293
0500000US06095,6095,"Solano County, California",13274,1620,873,540,812,584,653,482,366,327,1725,1171,736,482,881,702,612,439,625,435,826,525,2168,934,1290,569,596,473,535,482,456,421,120,139
0500000US06097,6097,"Sonoma County, California",11283,1463,187,182,895,635,1029,640,1194,625,234,203,672,354,572,313,1179,683,94,153,978,572,1298,743,1572,713,1051,503,97,81,128,155,103,124
0500000US06099,6099,"Stanislaus County, California",17941,2101,553,367,1089,716,1891,696,1360,650,1413,697,544,372,2009,828,1388,660,602,320,1415,631,1630,694,1995,760,1024,508,570,380,338,343,120,143
0500000US06101,6101,"Sutter County, California",4115,903,269,352,109,153,37,61,208,178,461,296,266,258,443,444,544,369,127,118,461,300,187,175,876,551,67,106,60,104,0,293,0,293
0500000US06107,6107,"Tulare County, California",20621,1871,1856,601,2374,699,2027,719,1945,624,1346,472,1767,654,833,330,1766,674,713,393,1762,715,1567,534,1490,505,705,382,310,222,160,244,0,293
0500000US06111,6111,"Ventura County, California",26897,2647,1258,726,1333,812,1189,621,1951,687,1408,661,1586,555,1749,875,1203,556,1528,687,2496,825,3757,1036,3732,872,1882,731,1056,498,635,389,134,132
0500000US06113,6113,"Yolo County, California",7169,1154,587,450,364,357,616,509,668,489,299,325,535,483,634,523,467,440,524,313,732,410,398,322,456,383,398,305,85,135,406,307,0,293
0500000US08001,8001,"Adams County, Colorado",16630,2225,1158,682,317,269,1404,629,1195,543,831,511,1419,929,2101,888,557,314,634,325,1717,671,1597,681,2643,1449,483,355,227,221,302,336,45,77
0500000US08005,8005,"Arapahoe County, Colorado",7370,1400,354,273,340,264,75,90,680,503,170,201,957,938,884,493,343,286,274,215,1362,582,827,458,492,318,232,205,48,81,69,117,263,278
0500000US08031,8031,"Denver County, Colorado",17950,2454,1345,400,797,452,1231,690,1607,697,2138,868,1803,1104,858,574,990,606,782,546,2379,892,1222,584,1217,497,1112,1249,274,234,52,84,143,172
0500000US08041,8041,"El Paso County, Colorado",10319,1418,953,621,597,439,753,444,1173,905,942,608,608,462,417,342,510,419,783,444,1272,958,708,412,1059,490,412,307,83,116,49,81,0,274
0500000US08059,8059,"Jefferson County, Colorado",7896,1568,999,519,50,82,699,571,992,718,480,405,503,443,487,490,552,530,280,246,397,343,885,565,1134,535,329,250,0,274,50,83,59,99
0500000US08101,8101,"Pueblo County, Colorado",5824,786,569,342,873,466,655,354,460,265,268,227,677,369,378,278,275,195,151,132,216,165,603,380,314,188,225,192,79,133,81,96,0,274
0500000US08123,8123,"Weld County, Colorado",3474,771,221,192,13,22,124,141,181,220,287,160,448,345,162,157,132,185,181,160,545,381,325,261,454,266,324,254,77,125,0,274,0,274
