Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US04013,4013,"Maricopa County, Arizona",56246,4244,5245,1240,3236,875,3785,1242,4259,1029,3319,1043,5736,1397,5393,1391,3010,896,2429,766,4342,1164,6102,1317,6105,1430,1717,649,1170,625,143,138,255,234
0500000US04019,4019,"Pima County, Arizona",20608,2487,2228,764,2543,958,1257,755,2186,779,1829,764,1148,641,1070,491,1240,610,774,415,1378,566,1804,732,1699,765,703,409,544,417,102,120,103,123
0500000US04021,4021,"Pinal County, Arizona",8153,2062,734,651,1172,743,0,305,715,620,614,394,135,235,591,425,851,870,163,142,1131,668,715,640,895,618,233,291,204,202,0,305,0,305
0500000US04027,4027,"Yuma County, Arizona",8409,1454,813,593,372,346,467,426,864,669,661,453,558,390,0,305,234,247,285,386,736,376,758,475,1296,809,649,569,276,416,440,411,0,305
0500000US06001,6001,"Alameda County, California",31922,2948,1248,461,2245,772,1530,561,2297,870,1743,777,2418,779,1583,708,1924,721,590,313,2659,976,3917,1124,3406,875,3204,1228,2014,773,601,455,543,416
0500000US06013,6013,"Contra Costa County, California",15296,2019,609,476,389,423,647,427,779,544,1032,634,1026,745,818,487,1231,695,390,266,1584,764,2205,773,1712,666,1022,502,840,387,861,409,151,180
0500000US06019,6019,"Fresno County, California",47514,3061,5602,1362,4399,1123,3811,1117,5329,1259,3766,1095,2072,682,2634,927,2202,851,1528,761,3973,1083,6276,1564,3340,911,1457,719,682,470,304,352,139,236
0500000US06025,6025,"Imperial County, California",13704,1583,534,393,2215,710,1163,609,1375,646,683,409,1235,702,675,419,456,316,1218,618,722,329,733,438,829,388,566,320,515,347,513,384,272,215
0500000US06029,6029,"Kern County, California",25768,2739,2166,818,682,406,1848,811,1490,657,2465,967,1723,673,1047,583,2023,938,1484,616,1865,753,4013,1012,2775,838,999,511,942,527,109,131,137,132
0500000US06037,6037,"Los Angeles County, California",494415,10302,33098,2937,35376,3365,34761,2627,35538,3467,34096,3411,35436,3451,32056,3120,29271,2732,24513,3007,43650,3022,51547,3811,50437,3915,27700,2825,12368,1724,11147,1999,3421,1203
0500000US06047,6047,"Merced County, California",10254,1400,1152,700,1111,625,710,423,1330,581,1011,559,725,454,852,519,520,294,794,557,693,431,307,214,650,352,63,101,0,294,336,366,0,294
0500000US06053,6053,"Monterey County, California",6882,1385,103,122,457,292,225,198,324,222,393,248,351,312,352,338,683,414,209,178,1237,688,896,468,655,357,510,312,216,188,152,150,119,141
0500000US06059,6059,"Orange County, California",96475,4190,4715,1223,3586,1052,4301,1274,5911,1367,5411,1250,7759,1729,5674,1247,5058,1174,6646,1506,9846,1647,10803,2116,11510,1517,9177,1435,3071,1078,1951,734,1056,498
0500000US06065,6065,"Riverside County, California",71750,3512,4830,1238,3373,1140,4582,1254,6038,1545,5407,1520,4787,1135,3225,839,4273,1134,4339,1193,6692,1458,7948,1453,8459,1432,3987,1035,2166,904,1136,693,508,400
0500000US06067,6067,"Sacramento County, California",26581,2799,2014,811,1781,844,1338,644,1293,694,2190,952,1682,828,1436,724,2024,997,883,608,2725,1042,2653,860,3398,1164,1243,613,485,312,633,469,803,692
0500000US06071,6071,"San Bernardino County, California",71644,3985,4961,1457,3404,933,3883,1079,5353,1266,4113,1157,4831,1241,4280,1263,3005,990,3512,995,7405,1552,8570,1532,8719,1578,4857,1374,2644,940,1314,703,793,578
