GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US04013,04013,"Maricopa County, Arizona",59190,3828,6127,1209,3047,845,4771,1255,5876,1416,3294,780,4064,1089,3656,1035,3567,1055,3781,887,4682,1165,5586,1375,5710,1294,2712,697,1363,639,582,326,372,328
0500000US04019,04019,"Pima County, Arizona",27378,2232,3111,924,2768,1143,2787,973,2692,834,3624,1254,1501,660,1138,505,1659,760,947,505,1575,685,1566,584,1684,552,1004,457,916,487,199,197,207,334
0500000US04027,04027,"Yuma County, Arizona",9411,1368,845,596,601,485,551,450,641,345,996,577,523,450,970,552,479,375,373,300,718,406,1057,675,943,528,522,377,192,308,0,203,0,203
0500000US06001,06001,"Alameda County, California",32978,2391,682,352,835,363,1768,633,1388,627,1400,670,2022,775,1326,545,2601,965,1223,748,3569,899,4395,1186,5295,1290,2512,891,1711,780,1537,590,714,357
0500000US06013,06013,"Contra Costa County, California",20873,2097,786,465,462,275,1723,747,1082,487,871,478,1033,469,1355,711,912,658,1291,630,1965,916,3199,1079,1906,840,2362,928,706,390,983,428,237,230
0500000US06019,06019,"Fresno County, California",43883,3248,5569,1203,4075,1319,2842,997,4123,1097,3636,1070,3679,1045,2143,745,2585,865,1757,798,3247,969,4509,1307,2848,882,1523,676,295,165,821,412,231,192
0500000US06025,06025,"Imperial County, California",7427,1387,580,430,796,504,610,379,893,423,657,439,613,354,172,124,122,129,329,254,411,338,1043,613,401,354,291,213,239,329,228,301,42,70
0500000US06029,06029,"Kern County, California",24082,2629,1841,631,1872,822,1446,488,1204,618,2315,803,1623,737,1350,436,891,485,1119,562,2367,842,2774,971,2839,1140,1097,446,775,477,250,174,319,402
0500000US06031,06031,"Kings County, California",5718,1074,533,388,803,544,388,379,432,395,224,234,920,488,238,217,178,160,602,444,159,172,408,251,429,398,237,281,46,83,92,152,29,50
0500000US06037,06037,"Los Angeles County, California",479816,8547,30464,2768,33110,2585,38871,3084,36499,3102,33874,2863,36039,2989,30831,2594,26833,2643,24329,2625,41074,3523,47493,3263,49067,3688,24485,2439,12214,1763,9470,1591,5163,994
0500000US06047,06047,"Merced County, California",16225,1662,1422,599,1338,658,1574,688,1519,580,835,438,1431,631,669,433,952,574,765,494,1208,727,2009,797,1374,555,405,332,406,375,154,203,164,208
0500000US06053,06053,"Monterey County, California",7910,1045,211,171,176,204,190,227,411,239,669,419,873,423,454,233,993,459,323,262,510,349,614,275,1244,453,549,282,331,236,255,184,107,134
0500000US06055,06055,"Napa County, California",5014,987,258,244,50,84,48,91,759,551,366,314,313,351,368,334,222,253,464,344,304,411,572,507,498,324,494,407,227,233,42,69,29,55
0500000US06059,06059,"Orange County, California",79657,3995,2726,823,2933,861,4249,1173,4936,1132,5982,1574,5415,1268,4780,1216,4767,1170,4216,1236,7828,1683,8667,1464,11334,1828,4614,1067,3213,981,2222,607,1775,803
0500000US06065,06065,"Riverside County, California",91172,4115,5990,1382,5068,1294,5514,1159,6005,1332,5015,1104,7334,1447,4797,1280,5706,1502,5295,1209,7690,1590,11894,2062,9889,1620,5262,1163,2058,831,2159,1118,1496,698
0500000US06067,06067,"Sacramento County, California",26504,2490,1932,589,1330,752,1645,671,2445,1136,1016,532,1577,600,1444,536,1999,759,1116,564,2321,741,2814,968,2829,780,1958,796,689,376,1238,746,151,128
0500000US06071,06071,"San Bernardino County, California",73197,4073,5916,1400,3182,913,4684,1187,3544,1175,3932,991,3811,1135,5759,1438,4726,1058,5444,1071,6945,1221,7571,1404,8169,1557,5603,1295,1347,482,955,459,1609,627
0500000US06073,06073,"San Diego County, California",50828,3690,2812,847,3363,847,3348,845,4822,1378,3062,974,3208,763,2309,664,1806,597,2998,985,5165,1095,4188,1187,6670,1426,3502,830,1490,643,1197,534,888,544
0500000US06075,06075,"San Francisco County, California",19560,2737,681,481,1172,760,595,416,1241,816,1536,859,1778,853,820,521,1237,685,295,302,1388,521,2131,846,2223,1011,1318,542,1012,663,1186,665,947,519
0500000US06077,06077,"San Joaquin County, California",24999,1871,1791,660,1363,560,2097,705,2444,867,1744,709,1369,558,1957,815,1181,489,897,449,2652,933,2468,667,2246,786,2089,804,308,359,203,207,190,187
0500000US06081,06081,"San Mateo County, California",16395,2087,219,321,384,310,673,427,1336,794,450,401,781,528,546,399,995,518,1015,764,1354,730,1900,667,3180,1041,1172,647,758,599,799,475,833,548
0500000US06083,06083,"Santa Barbara County, California",22393,2010,1382,828,1435,612,1521,635,1076,428,814,454,1570,620,1461,625,706,447,1793,768,1578,689,2424,950,2636,937,1968,894,788,542,1164,750,77,71
0500000US06085,06085,"Santa Clara County, California",48096,3343,2629,786,1837,608,1516,734,3234,1087,2482,958,2719,965,1904,761,2160,882,2359,1073,4781,1255,6835,1508,5009,1273,4305,1124,2378,941,2519,764,1429,721
0500000US06095,06095,"Solano County, California",8530,1230,291,378,428,376,175,200,491,444,562,380,582,446,480,398,408,364,407,348,1103,620,955,489,1046,599,697,432,757,534,84,97,64,108
0500000US06097,06097,"Sonoma County, California",14849,1944,617,441,852,661,790,635,1681,971,586,482,986,698,1358,873,870,636,520,435,780,638,1256,586,2301,1003,755,445,305,280,614,655,578,355
0500000US06099,06099,"Stanislaus County, California",18136,2173,1627,780,1986,950,2444,937,1048,533,1625,807,927,583,1033,565,1585,949,877,441,1260,518,1576,639,1373,623,286,216,11,19,312,298,166,177
0500000US06107,06107,"Tulare County, California",7848,1574,1341,1025,442,226,822,341,645,292,802,337,414,260,503,302,478,274,333,279,661,367,561,326,361,206,245,192,58,84,112,174,70,114
