CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
1003,"Baldwin County, Alabama",58362,2864,2620,4254,5584,4649,3732,2348,3107,3183,6123,5469,6207,3439,2163,1266,1354,2005,White
1015,"Calhoun County, Alabama",36737,3855,3551,2745,2052,2493,1651,2310,2420,2205,3192,2788,3305,2161,507,550,952,2005,White
1043,"Cullman County, Alabama",28633,3162,2845,1575,1718,1260,2526,1827,2140,1397,2228,2654,2866,1218,512,220,485,2005,White
1049,"DeKalb County, Alabama",24065,3026,2326,2310,2406,2132,1318,1232,1775,963,1606,2174,1129,654,26,618,370,2005,White
1051,"Elmore County, Alabama",20743,1180,866,630,1543,926,1070,951,1798,1084,2317,3297,1974,1298,638,402,769,2005,White
1055,"Etowah County, Alabama",35619,2695,2999,3543,2338,3138,2876,1537,2324,1357,3697,3053,3578,1616,473,256,139,2005,White
1069,"Houston County, Alabama",27295,1691,1934,2061,1841,1441,1597,1564,1330,1282,2815,2802,3262,1584,630,817,644,2005,White
1073,"Jefferson County, Alabama",158885,9572,9984,8151,8986,9093,8047,6977,7508,7807,15681,16566,20897,11459,5872,5745,6540,2005,White
1077,"Lauderdale County, Alabama",32215,3328,3140,2308,2877,1774,2840,1770,1876,1183,2344,3608,2187,1416,1012,366,186,2005,White
1081,"Lee County, Alabama",37850,6040,2178,2796,2746,1975,1800,2228,2150,1486,2567,3518,4165,2007,1029,648,517,2005,White
1083,"Limestone County, Alabama",22244,2153,1152,1295,2171,2039,1184,985,1265,1250,2154,2289,1744,1657,561,183,162,2005,White
1089,"Madison County, Alabama",89423,3705,3026,4476,6605,3494,5174,4565,3686,4020,7920,9652,12198,8676,4137,4971,3118,2005,White
1095,"Marshall County, Alabama",32150,3781,3329,1731,3487,1893,2480,2256,883,1633,1736,3377,2288,1648,828,469,331,2005,White
1097,"Mobile County, Alabama",95466,7864,5084,5690,6702,5962,5391,5884,6489,5792,7850,9664,9477,6487,3022,1925,2183,2005,White
1101,"Montgomery County, Alabama",41879,1931,1143,1521,2651,1542,1892,2549,1880,1970,4192,4070,5842,4448,2523,1389,2336,2005,White
1103,"Morgan County, Alabama",37569,3370,2958,1980,2895,2285,2861,1251,2459,2477,2681,3530,4412,1929,1229,698,554,2005,White
1115,"St. Clair County, Alabama",22989,904,1353,1070,1552,650,1113,1797,734,1408,3115,4410,2010,1621,695,420,137,2005,White
1117,"Shelby County, Alabama",55922,2355,1800,1873,2265,2169,2047,3088,3606,2624,4004,7196,7678,6633,3226,2801,2557,2005,White
1121,"Talladega County, Alabama",19652,1820,1538,2302,1754,902,1212,1478,1156,714,1372,1586,1789,1148,390,282,209,2005,White
1125,"Tuscaloosa County, Alabama",46889,6738,3781,2429,2584,1875,3737,2369,2757,1835,3833,4647,4844,2138,1120,1297,905,2005,White
1127,"Walker County, Alabama",25241,2594,2215,1908,2170,1714,1933,1508,1281,1264,2056,2030,2783,744,517,313,211,2005,White
2020,"Anchorage Municipality, Alaska",77926,3158,2749,1911,3781,2392,2662,2753,3923,3976,6278,9431,12160,9404,5504,4579,3265,2005,White
2090,"Fairbanks North Star Borough, Alaska",25174,1347,912,1169,1059,1086,1215,1319,1235,1174,1995,3102,4769,2505,1018,910,359,2005,White
2170,"Matanuska-Susitna Borough, Alaska",20228,1824,921,508,813,804,907,674,1058,908,2369,2216,3217,1984,983,684,358,2005,White
4001,"Apache County, Arizona",5927,720,350,1325,247,459,117,248,58,169,339,878,637,380,0,0,0,2005,White
4003,"Cochise County, Arizona",42102,5356,2623,2689,3178,2443,3469,2489,2863,1976,2707,4379,3531,1891,1168,1124,216,2005,White
4005,"Coconino County, Arizona",30922,1462,1709,2327,2452,1766,1916,2046,1608,1924,2314,2073,4041,3023,381,897,983,2005,White
4013,"Maricopa County, Arizona",1097768,62158,54966,60614,62164,60194,61654,60284,63674,54569,95628,120039,139102,79973,43203,41840,37706,2005,White
4015,"Mohave County, Arizona",68874,6219,6165,4840,5048,6366,5403,3518,4375,2696,5539,5411,7543,2578,703,1426,1044,2005,White
4017,"Navajo County, Arizona",18066,738,1867,1339,1265,1483,1213,719,819,509,2019,2826,1731,826,279,239,194,2005,White
4019,"Pima County, Arizona",285430,21592,18194,18731,19549,17866,19141,14533,16687,15922,24060,28936,29788,17075,8015,8088,7253,2005,White
4021,"Pinal County, Arizona",71263,5165,3415,4387,4944,4599,3856,4925,5661,3315,6771,8935,7590,3531,1341,1447,1381,2005,White
4025,"Yavapai County, Arizona",74721,6155,4764,5069,5359,4723,5291,4375,4813,3989,6422,9816,6873,3187,1188,1382,1315,2005,White
4027,"Yuma County, Arizona",51953,4917,3001,4684,4126,4286,3463,3953,2671,2421,4637,4694,4722,2523,613,822,420,2005,White
5007,"Benton County, Arkansas",62126,3688,2781,3558,4189,4101,3691,3472,3167,2730,5789,8522,6710,4255,2277,2004,1192,2005,White
5031,"Craighead County, Arkansas",29465,3329,2049,1972,2065,1724,3464,1038,1721,701,2853,2931,2617,1340,716,94,851,2005,White
5045,"Faulkner County, Arkansas",31682,2922,1544,1529,1866,2453,1288,2953,1400,1952,2575,3302,4597,1293,658,900,450,2005,White
5051,"Garland County, Arkansas",34847,3995,3577,2308,3153,2262,2493,2309,1613,1593,2995,2576,3502,859,494,433,685,2005,White
5069,"Jefferson County, Arkansas",15838,1689,875,1557,1062,838,1228,861,793,438,970,2153,1739,805,471,213,146,2005,White
5119,"Pulaski County, Arkansas",98446,4979,5540,5694,5736,5832,8072,4953,5660,4099,7570,9892,12242,7905,2770,4078,3424,2005,White
5125,"Saline County, Arkansas",34383,1593,1767,1912,2766,2434,1712,1358,1618,2074,4746,4101,4538,1971,1043,631,119,2005,White
5131,"Sebastian County, Arkansas",38191,2771,3069,2448,3777,3418,2821,2385,2033,2295,3090,3105,3677,1538,672,607,485,2005,White
5143,"Washington County, Arkansas",62435,5060,3568,4915,3662,4156,3778,5364,3571,3179,6351,6995,6708,2406,917,1075,730,2005,White
5145,"White County, Arkansas",25275,3159,1936,1380,1745,1857,1307,2543,2357,1369,1600,1994,2224,842,113,528,321,2005,White
6001,"Alameda County, California",275763,16377,10582,9563,12876,10391,9978,12280,11476,10609,21547,24786,36797,28124,19894,21970,18513,2005,White
6007,"Butte County, California",71438,6064,7529,4489,5719,3368,5869,4383,3084,2305,5938,6262,7008,3855,2934,1559,1072,2005,White
6013,"Contra Costa County, California",242329,8498,7455,8045,9485,8420,10425,9582,9385,8525,18733,27371,30913,27423,16712,18735,22622,2005,White
6017,"El Dorado County, California",59236,4006,2560,2095,2442,1674,2066,2506,2095,2491,5126,7862,7999,6117,2309,3897,3991,2005,White
6019,"Fresno County, California",179788,14087,14101,10313,12468,11092,10601,7460,8705,8100,13093,18994,22215,11565,5456,6107,5431,2005,White
6023,"Humboldt County, California",44943,4295,3477,4377,4049,2970,2477,2043,2817,1512,2821,3885,4372,2922,1168,651,1107,2005,White
6025,"Imperial County, California",31653,3673,2114,2443,2327,1723,2617,1967,1135,1375,1647,3894,3359,1455,881,801,242,2005,White
6029,"Kern County, California",160425,11501,11660,11060,12165,9270,10546,8091,8412,8601,10168,16073,17321,11142,6450,4738,3227,2005,White
6031,"Kings County, California",29339,2204,1525,1686,2648,2465,1983,1429,1657,1807,3197,2266,2992,1822,1109,249,300,2005,White
6033,"Lake County, California",23498,1290,2847,1790,1845,1417,1167,860,859,1536,2414,2745,2901,1172,52,449,154,2005,White
6037,"Los Angeles County, California",1778440,130882,96122,92653,101103,82941,89366,75650,85183,72113,146460,182463,201053,140999,77749,89831,113872,2005,White
6039,"Madera County, California",33390,1974,1362,2624,1795,1649,2126,1976,1996,1821,2717,3867,3894,2640,883,1337,729,2005,White
6041,"Marin County, California",89398,3678,2928,2446,3334,2371,1746,2825,4223,2832,5127,7923,12053,9180,5869,8159,14704,2005,White
6045,"Mendocino County, California",31368,2977,1921,3079,1705,2169,1753,887,1875,1799,2642,3292,3848,1234,871,491,825,2005,White
6047,"Merced County, California",52647,3708,3979,3646,3941,3283,3543,2887,2093,3012,4836,5424,5161,2564,1724,1916,930,2005,White
6053,"Monterey County, California",88612,4330,4520,3749,4736,2920,5433,3067,3482,3017,7355,9610,13273,10268,5039,4425,3388,2005,White
6055,"Napa County, California",41033,1861,1321,2116,1526,1723,1916,2462,1793,1840,2239,5822,4737,4757,2026,2017,2877,2005,White
6057,"Nevada County, California",37623,2019,1985,1795,2863,2691,1316,1626,1706,1994,3899,3544,5231,2675,1832,1364,1083,2005,White
6059,"Orange County, California",678131,26862,21691,22214,25076,25398,29981,24859,32545,26910,53851,69827,95519,72619,44332,49293,57154,2005,White
6061,"Placer County, California",103545,3949,4559,3986,3373,4209,4497,4401,5642,4886,9732,11668,14887,10513,5888,6458,4897,2005,White
6065,"Riverside County, California",434517,21690,25754,21507,26277,20735,22148,18347,23150,19339,35322,46848,58655,40351,19164,18098,17132,2005,White
6067,"Sacramento County, California",333376,17821,15781,14856,21119,15230,15598,17660,16806,13460,34930,34659,47165,28465,17547,13827,8452,2005,White
6071,"San Bernardino County, California",398916,26897,23234,22048,22635,23620,21705,20397,20497,17703,35088,42932,51209,32009,17904,13192,7846,2005,White
6073,"San Diego County, California",780430,41114,34669,36728,35931,37927,36745,38198,38648,31677,65187,83806,100924,72499,43372,41062,41943,2005,White
6075,"San Francisco County, California",193034,12047,10489,7727,7079,6898,6222,5104,8999,7799,14296,18367,24167,16766,13926,14130,19018,2005,White
6077,"San Joaquin County, California",143723,8357,7754,9124,10418,9381,6655,6738,5785,8437,9279,16250,18951,11646,6491,4517,3940,2005,White
