GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01003,01003,"Baldwin County, Alabama",61274,2451,2287,856,1952,769,2959,1019,3104,844,3474,883,3969,1457,3472,1240,2692,677,2925,967,6447,1255,8663,1432,8227,1522,5261,884,1908,803,2071,845,1863,649
0500000US01015,01015,"Calhoun County, Alabama",36624,1449,3135,698,3167,884,2027,669,2048,688,1792,685,2033,647,2430,683,1952,697,1997,659,3343,870,3804,979,5009,1018,1887,511,1202,468,477,285,321,225
0500000US01043,01043,"Cullman County, Alabama",29836,1359,2892,774,2188,845,2396,742,1677,607,2009,674,2390,917,1851,692,1352,423,897,444,3190,958,2616,668,2818,728,1439,604,1160,591,481,300,480,273
0500000US01049,01049,"DeKalb County, Alabama",23164,1865,2568,950,2051,829,2720,967,1594,647,1918,633,939,454,1232,635,1028,477,1198,498,2072,635,2690,914,1718,569,779,411,208,186,281,185,168,140
0500000US01051,01051,"Elmore County, Alabama",21333,1307,1146,430,766,396,766,482,1625,731,789,332,1260,552,860,512,769,354,1280,615,1670,499,3187,953,3266,668,1718,529,1096,380,746,362,389,228
0500000US01055,01055,"Etowah County, Alabama",34338,1450,2791,814,2602,685,1898,471,2182,699,2631,801,2787,815,1645,604,1478,487,2001,775,2531,777,3434,951,3669,773,2469,767,755,361,694,356,771,288
0500000US01069,01069,"Houston County, Alabama",27773,837,1903,391,1494,349,1442,395,1779,361,1495,424,1712,416,1429,309,1657,439,1081,212,2336,563,3432,551,3167,496,1988,400,1078,309,1006,260,774,209
0500000US01073,01073,"Jefferson County, Alabama",151848,2674,7396,1414,6654,1196,7596,1399,7651,1478,7646,1384,5969,1114,6683,1382,6578,1143,7313,1226,13552,1542,15436,1644,21052,1965,13153,1654,7143,1341,8654,1355,9372,1261
0500000US01077,01077,"Lauderdale County, Alabama",33246,1172,2932,816,3131,980,2032,679,1617,698,2541,801,2792,769,1376,600,1427,579,1590,665,2053,747,3421,1001,3569,878,2825,824,1119,555,465,277,356,325
