CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999"," $100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
1003,"Baldwin County, Alabama",61274,2287,1952,2959,3104,3474,3969,3472,2692,2925,6447,8663,8227,5261,1908,2071,1863,2008,White
1015,"Calhoun County, Alabama",36624,3135,3167,2027,2048,1792,2033,2430,1952,1997,3343,3804,5009,1887,1202,477,321,2008,White
1043,"Cullman County, Alabama",29836,2892,2188,2396,1677,2009,2390,1851,1352,897,3190,2616,2818,1439,1160,481,480,2008,White
1049,"DeKalb County, Alabama",23164,2568,2051,2720,1594,1918,939,1232,1028,1198,2072,2690,1718,779,208,281,168,2008,White
1051,"Elmore County, Alabama",21333,1146,766,766,1625,789,1260,860,769,1280,1670,3187,3266,1718,1096,746,389,2008,White
1055,"Etowah County, Alabama",34338,2791,2602,1898,2182,2631,2787,1645,1478,2001,2531,3434,3669,2469,755,694,771,2008,White
1069,"Houston County, Alabama",27773,1903,1494,1442,1779,1495,1712,1429,1657,1081,2336,3432,3167,1988,1078,1006,774,2008,White
1073,"Jefferson County, Alabama",151848,7396,6654,7596,7651,7646,5969,6683,6578,7313,13552,15436,21052,13153,7143,8654,9372,2008,White
1077,"Lauderdale County, Alabama",33246,2932,3131,2032,1617,2541,2792,1376,1427,1590,2053,3421,3569,2825,1119,465,356,2008,White
1081,"Lee County, Alabama",42468,4992,2535,2827,2602,2194,1287,1588,1308,2528,3666,5726,4456,2496,1183,1503,1577,2008,White
1083,"Limestone County, Alabama",22447,1242,1057,1381,1487,1179,1315,1514,1668,1101,2196,2000,1984,2076,811,714,722,2008,White
1089,"Madison County, Alabama",92460,4429,3684,3331,4949,3567,5292,3489,4471,4380,8274,9967,12493,9745,5272,5235,3882,2008,White
1095,"Marshall County, Alabama",31011,3640,3020,1794,1880,2763,1866,2164,942,1382,1762,2987,2945,1619,1146,300,801,2008,White
1097,"Mobile County, Alabama",101447,8204,5362,5229,5101,3980,5932,6145,6257,4778,9050,10027,13442,7552,4065,3162,3161,2008,White
1101,"Montgomery County, Alabama",40970,1434,2219,2135,1949,1343,2294,1543,2712,1074,3129,4114,6204,4114,2511,2077,2118,2008,White
1103,"Morgan County, Alabama",38382,2150,2290,2404,2143,1667,1974,1610,3012,1263,3685,3934,5474,3302,1043,1640,791,2008,White
1115,"St. Clair County, Alabama",24987,2135,1654,1457,1688,1012,1497,1323,1079,945,3740,2249,2814,1695,747,340,612,2008,White
1117,"Shelby County, Alabama",60886,1680,991,1159,2816,2044,2644,1973,2309,2082,5347,7115,8997,8481,4332,3838,5078,2008,White
1121,"Talladega County, Alabama",21961,2884,1194,2449,1249,1119,1543,1361,816,1154,1028,3302,1958,748,681,333,142,2008,White
1125,"Tuscaloosa County, Alabama",46527,4318,1742,2218,2661,2092,2706,1824,1909,2566,4350,6184,5483,4115,1601,1325,1433,2008,White
1127,"Walker County, Alabama",26231,1957,1556,2520,2320,1694,1927,1307,1519,873,2183,2491,2405,2062,826,338,253,2008,White
2020,"Anchorage Municipality, Alaska",79791,1996,1094,850,1215,2254,3590,2591,3071,4081,4593,9743,14471,11377,6013,6486,6366,2008,White
2090,"Fairbanks North Star Borough, Alaska",27462,501,831,528,1426,1454,1328,1401,519,811,2393,2572,4774,4266,1966,1492,1200,2008,White
2170,"Matanuska-Susitna Borough, Alaska",19780,794,462,392,627,838,573,586,706,1137,1839,2248,3562,2209,1792,1227,788,2008,White
4001,"Apache County, Arizona",6220,829,696,289,177,268,967,284,486,350,279,241,434,478,91,303,48,2008,White
4003,"Cochise County, Arizona",42123,3199,2645,2317,2164,3062,2502,2756,2212,2010,2669,4925,5009,2396,1534,1676,1047,2008,White
4005,"Coconino County, Arizona",34117,2920,2355,1712,2165,1623,1446,1707,1587,1405,2782,3831,3302,2870,2094,1506,812,2008,White
4013,"Maricopa County, Arizona",1157299,61066,47667,47716,56109,52274,62331,57613,59654,52812,99152,133399,157977,104679,58608,54070,52172,2008,White
4015,"Mohave County, Arizona",67954,5511,4089,5126,5447,4280,5265,4831,5229,3267,6874,6308,5875,2790,1348,609,1105,2008,White
4017,"Navajo County, Arizona",20027,1494,1517,1120,1301,695,987,883,1365,185,1644,2673,3328,1457,994,233,151,2008,White
4019,"Pima County, Arizona",317966,22308,17301,21185,20624,18219,17913,15529,13806,14755,24663,34891,40006,22027,12854,10516,11369,2008,White
4021,"Pinal County, Arizona",93426,5378,3653,6934,4472,3813,4211,6707,5502,4374,9289,11780,13763,7090,2484,1870,2106,2008,White
4025,"Yavapai County, Arizona",82546,6198,4681,4411,5290,5444,6918,5435,5645,5287,6375,7609,8502,4999,2656,1401,1695,2008,White
4027,"Yuma County, Arizona",54605,4899,4515,2686,4233,3815,3123,3792,3208,2491,5332,4864,5403,3171,1566,1054,453,2008,White
5007,"Benton County, Arkansas",66797,3962,3729,3269,3227,4083,3397,3709,3147,2972,5398,9645,7998,4809,2310,2621,2521,2008,White
5031,"Craighead County, Arkansas",31288,2741,2085,2263,2594,1751,1081,1766,1578,1202,2259,3093,4575,1823,902,1037,538,2008,White
5045,"Faulkner County, Arkansas",35908,3189,2154,2259,1637,2374,2015,2309,1794,1828,2984,3942,4604,1495,2210,645,469,2008,White
5051,"Garland County, Arkansas",34535,3010,1641,2572,2854,2774,2849,1647,2282,1996,3025,2971,2615,1924,863,723,789,2008,White
5069,"Jefferson County, Arkansas",14038,680,561,835,487,661,990,652,832,535,1531,2023,2085,947,651,422,146,2008,White
