,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more",Year,Race
0,0500000US01001,1001,"Autauga County, Alabama",2566,,617,,268,,271,,283,,148,,148,,156,,82,,67,,173,,168,,117,,35,,6,,0,,27,,2000,Black
1,0500000US01003,1003,"Baldwin County, Alabama",4650,,940,,599,,551,,349,,292,,285,,291,,212,,277,,288,,257,,144,,67,,43,,20,,35,,2000,Black
2,0500000US01005,1005,"Barbour County, Alabama",4446,,1553,,555,,425,,446,,304,,271,,167,,129,,133,,214,,127,,53,,31,,10,,0,,28,,2000,Black
3,0500000US01007,1007,"Bibb County, Alabama",1306,,508,,100,,141,,107,,53,,99,,63,,37,,21,,60,,58,,28,,31,,0,,0,,0,,2000,Black
4,0500000US01009,1009,"Blount County, Alabama",146,,46,,2,,15,,1,,0,,22,,6,,31,,0,,18,,0,,5,,0,,0,,0,,0,,2000,Black
5,0500000US01011,1011,"Bullock County, Alabama",2921,,1020,,390,,247,,232,,194,,188,,169,,91,,64,,115,,94,,65,,27,,19,,0,,6,,2000,Black
6,0500000US01013,1013,"Butler County, Alabama",3117,,1042,,389,,358,,297,,197,,169,,187,,107,,64,,128,,40,,67,,9,,10,,28,,25,,2000,Black
7,0500000US01015,1015,"Calhoun County, Alabama",7731,,2039,,945,,807,,676,,480,,444,,419,,343,,255,,427,,397,,274,,102,,41,,53,,29,,2000,Black
8,0500000US01017,1017,"Chambers County, Alabama",5002,,1310,,546,,504,,423,,329,,317,,275,,344,,182,,302,,288,,117,,39,,8,,0,,18,,2000,Black
9,0500000US01019,1019,"Cherokee County, Alabama",461,,85,,70,,37,,27,,51,,39,,26,,21,,7,,31,,35,,10,,22,,0,,0,,0,,2000,Black
