Id,Id2,Geography,Race,Year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US01073,1073,"Jefferson County, Alabama",Hispanic,2016,6330,285,71,504,381,750,400,565,239,264,580,901,711,298,122,131,128
0500000US01089,1089,"Madison County, Alabama",Hispanic,2016,5196,429,526,365,593,447,174,188,133,83,349,660,367,340,146,174,222
0500000US02020,2020,"Anchorage Municipality, Alaska",Hispanic,2016,7022,183,234,351,556,160,230,46,63,573,484,1056,1108,612,692,378,296
0500000US04003,4003,"Cochise County, Arizona",Hispanic,2016,14397,1573,1282,1173,1463,1226,866,635,496,919,890,720,2300,595,174,85,0
0500000US04005,4005,"Coconino County, Arizona",Hispanic,2016,5304,443,441,465,371,338,226,317,161,89,306,858,637,262,390,0,0
0500000US04013,4013,"Maricopa County, Arizona",Hispanic,2016,333921,26383,18012,15018,21133,19655,21094,20154,21885,17273,33767,35100,36904,21446,11413,8369,6315
0500000US04015,4015,"Mohave County, Arizona",Hispanic,2016,9199,733,85,284,473,1125,711,412,686,997,1044,541,1012,717,8,57,314
0500000US04019,4019,"Pima County, Arizona",Hispanic,2016,114563,9954,8804,9490,7710,6971,7051,6534,7556,6541,11166,9680,11035,5354,2851,2119,1747
0500000US04021,4021,"Pinal County, Arizona",Hispanic,2016,25166,2462,1599,1148,2201,1056,1536,1891,997,524,2077,2439,2666,2404,763,1138,265
0500000US04025,4025,"Yavapai County, Arizona",Hispanic,2016,8764,488,181,134,490,519,859,377,244,303,793,1673,1200,892,272,233,106
0500000US04027,4027,"Yuma County, Arizona",Hispanic,2016,37333,3021,3018,2237,1654,3522,2337,1883,2676,1536,3127,3501,5982,960,953,563,363
0500000US05007,5007,"Benton County, Arkansas",Hispanic,2016,11531,324,29,184,1154,687,992,509,834,842,1705,1442,896,716,548,290,379
0500000US05119,5119,"Pulaski County, Arkansas",Hispanic,2016,6785,385,566,605,528,596,412,255,692,702,515,371,163,841,123,31,0
0500000US05143,5143,"Washington County, Arkansas",Hispanic,2016,9814,844,313,1168,858,1204,374,573,709,752,1401,434,773,200,0,109,102
0500000US06001,6001,"Alameda County, California",Hispanic,2016,93751,3906,3192,2351,3311,3207,2928,4180,3502,3938,7364,10889,15869,10253,5935,7334,5592
0500000US06007,6007,"Butte County, California",Hispanic,2016,10125,877,787,883,651,489,427,599,762,349,1236,1073,798,381,239,249,325
0500000US06013,6013,"Contra Costa County, California",Hispanic,2016,71953,1519,2337,2438,2321,2610,4284,3595,3789,3068,6464,8433,10363,7386,4821,4010,4515
0500000US06017,6017,"El Dorado County, California",Hispanic,2016,6207,430,441,364,190,428,146,491,77,258,653,316,430,502,232,504,745
0500000US06019,6019,"Fresno County, California",Hispanic,2016,132615,12394,11423,9844,10615,7900,8350,8925,5479,4735,10512,9339,15568,8251,2578,4549,2153
0500000US06025,6025,"Imperial County, California",Hispanic,2016,34798,3155,3617,2604,1794,1286,2120,900,1586,1010,3231,4091,4223,2132,1292,1045,712
0500000US06029,6029,"Kern County, California",Hispanic,2016,112907,8406,6200,7281,7293,7374,9491,6237,6708,3845,10751,11580,11677,9679,2459,2317,1609
0500000US06031,6031,"Kings County, California",Hispanic,2016,19557,1189,830,713,1767,1144,1408,1440,1518,1093,1264,2620,2365,998,375,659,174
0500000US06037,6037,"Los Angeles County, California",Hispanic,2016,1236246,68226,64040,69970,83494,66838,70474,68765,67039,58316,102938,127261,150188,98521,54193,52434,33549
0500000US06039,6039,"Madera County, California",Hispanic,2016,19015,1562,1121,1152,1349,1597,1045,1182,1386,659,916,2276,1947,1677,488,402,256
0500000US06041,6041,"Marin County, California",Hispanic,2016,10878,313,402,644,360,374,794,223,691,871,1109,550,658,763,726,1067,1333
0500000US06045,6045,"Mendocino County, California",Hispanic,2016,5752,586,246,277,443,493,647,452,288,334,226,623,838,83,107,0,109
0500000US06047,6047,"Merced County, California",Hispanic,2016,38185,2406,2408,2458,2893,2412,2665,2927,2477,1846,3411,4249,4400,1419,994,840,380
0500000US06053,6053,"Monterey County, California",Hispanic,2016,54969,1732,1652,2463,2882,2750,3872,3088,3157,2603,6710,7198,6165,4445,1927,2663,1662
0500000US06055,6055,"Napa County, California",Hispanic,2016,11678,670,161,447,265,290,319,652,928,447,1304,1727,1503,865,844,597,659
0500000US06059,6059,"Orange County, California",Hispanic,2016,250055,8391,5452,5595,11058,10905,14139,10765,13094,13738,23228,29935,33978,26568,13772,16135,13302
0500000US06061,6061,"Placer County, California",Hispanic,2016,12705,386,913,94,121,130,518,769,495,672,620,1483,1481,1251,1315,841,1616
0500000US06065,6065,"Riverside County, California",Hispanic,2016,269717,18317,12380,11996,16406,14985,13616,14962,14631,12698,24454,31428,33291,20364,13737,9787,6665
0500000US06067,6067,"Sacramento County, California",Hispanic,2016,91136,4876,5242,4795,5063,5234,5082,5455,4783,4888,8871,9436,10299,7028,4084,3400,2600
0500000US06071,6071,"San Bernardino County, California",Hispanic,2016,270051,13459,12485,14923,14735,13117,13639,14697,15979,13347,24127,33199,35488,22090,10937,12550,5279
0500000US06073,6073,"San Diego County, California",Hispanic,2016,276381,10762,12259,15421,18356,13721,17044,15334,14490,12276,23617,29257,37097,23228,13640,12162,7717
0500000US06075,6075,"San Francisco County, California",Hispanic,2016,41249,2768,1982,1278,2181,1658,1851,853,1069,1091,2095,3738,4709,3939,3747,3564,4726
0500000US06077,6077,"San Joaquin County, California",Hispanic,2016,71876,2991,3741,3329,4562,4275,4796,3289,4558,2899,7973,7940,7964,6815,2928,2180,1636
0500000US06079,6079,"San Luis Obispo County, California",Hispanic,2016,15648,694,636,735,465,873,354,1202,690,294,1730,2430,2578,1101,514,805,547
0500000US06081,6081,"San Mateo County, California",Hispanic,2016,49048,1312,1532,1730,1821,1859,2188,1619,1629,2518,4955,4823,7376,3987,3274,4050,4375
0500000US06083,6083,"Santa Barbara County, California",Hispanic,2016,48319,1951,2393,2341,2031,1570,3029,2739,3088,3371,3632,5335,8136,3541,1972,1834,1356
0500000US06085,6085,"Santa Clara County, California",Hispanic,2016,119895,2947,4720,3838,4241,3547,5378,5312,6267,4022,7992,14835,15523,11054,10630,11226,8363
0500000US06087,6087,"Santa Cruz County, California",Hispanic,2016,21374,971,600,870,1982,845,1376,556,865,1054,2245,1549,2741,2146,1352,1151,1071
0500000US06089,6089,"Shasta County, California",Hispanic,2016,5234,388,282,194,615,445,725,469,123,154,191,681,246,379,56,154,132
0500000US06095,6095,"Solano County, California",Hispanic,2016,30152,1618,1638,288,1924,1219,1718,1562,1355,1444,2509,3821,4579,3184,1296,1225,772
0500000US06097,6097,"Sonoma County, California",Hispanic,2016,32125,790,1191,950,821,1706,1435,1231,1181,2099,3428,4018,5360,3431,1519,1885,1080
0500000US06099,6099,"Stanislaus County, California",Hispanic,2016,62389,2910,2197,3866,4019,3095,4832,3865,4769,3611,5044,8038,7018,4776,1960,1482,907
