,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more",Year,Race
0,0500000US01001,1001,"Autauga County, Alabama",107,,17,,9,,7,,21,,4,,0,,0,,0,,15,,6,,0,,22,,0,,0,,0,,6,,2000,Hispanic
1,0500000US01003,1003,"Baldwin County, Alabama",605,,65,,37,,26,,61,,38,,17,,61,,13,,51,,62,,104,,33,,13,,0,,9,,15,,2000,Hispanic
2,0500000US01005,1005,"Barbour County, Alabama",103,,30,,17,,3,,4,,2,,0,,11,,8,,2,,10,,1,,15,,0,,0,,0,,0,,2000,Hispanic
3,0500000US01007,1007,"Bibb County, Alabama",43,,0,,0,,0,,6,,0,,0,,5,,0,,15,,0,,9,,8,,0,,0,,0,,0,,2000,Hispanic
4,0500000US01009,1009,"Blount County, Alabama",606,,87,,23,,41,,62,,70,,113,,15,,26,,50,,23,,33,,39,,14,,0,,10,,0,,2000,Hispanic
5,0500000US01011,1011,"Bullock County, Alabama",78,,6,,0,,0,,17,,5,,13,,0,,0,,0,,17,,20,,0,,0,,0,,0,,0,,2000,Hispanic
6,0500000US01013,1013,"Butler County, Alabama",73,,36,,0,,0,,15,,0,,0,,10,,0,,0,,0,,7,,0,,0,,0,,5,,0,,2000,Hispanic
7,0500000US01015,1015,"Calhoun County, Alabama",597,,82,,56,,47,,57,,45,,78,,44,,18,,50,,34,,27,,55,,0,,0,,4,,0,,2000,Hispanic
8,0500000US01017,1017,"Chambers County, Alabama",108,,22,,26,,10,,8,,12,,0,,0,,12,,0,,13,,5,,0,,0,,0,,0,,0,,2000,Hispanic
9,0500000US01019,1019,"Cherokee County, Alabama",49,,3,,2,,1,,1,,0,,0,,0,,18,,8,,3,,10,,2,,1,,0,,0,,0,,2000,Hispanic
10,0500000US01021,1021,"Chilton County, Alabama",239,,56,,19,,27,,20,,16,,40,,11,,3,,10,,12,,12,,3,,10,,0,,0,,0,,2000,Hispanic
11,0500000US01023,1023,"Choctaw County, Alabama",54,,7,,0,,19,,0,,0,,2,,0,,10,,0,,1,,0,,2,,0,,0,,0,,13,,2000,Hispanic
12,0500000US01025,1025,"Clarke County, Alabama",91,,22,,13,,11,,29,,1,,7,,0,,8,,0,,0,,0,,0,,0,,0,,0,,0,,2000,Hispanic
13,0500000US01027,1027,"Clay County, Alabama",76,,18,,14,,3,,15,,5,,5,,5,,8,,0,,0,,0,,3,,0,,0,,0,,0,,2000,Hispanic
14,0500000US01029,1029,"Cleburne County, Alabama",56,,0,,5,,0,,17,,1,,12,,8,,0,,0,,13,,0,,0,,0,,0,,0,,0,,2000,Hispanic
15,0500000US01031,1031,"Coffee County, Alabama",289,,19,,8,,29,,22,,36,,36,,36,,7,,19,,7,,42,,14,,0,,5,,9,,0,,2000,Hispanic
16,0500000US01033,1033,"Colbert County, Alabama",140,,21,,30,,3,,12,,6,,6,,0,,5,,22,,15,,5,,7,,8,,0,,0,,0,,2000,Hispanic
17,0500000US01035,1035,"Conecuh County, Alabama",23,,2,,5,,6,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,Hispanic
18,0500000US01037,1037,"Coosa County, Alabama",8,,4,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,Hispanic
19,0500000US01039,1039,"Covington County, Alabama",86,,18,,18,,4,,18,,4,,2,,9,,0,,0,,7,,0,,0,,6,,0,,0,,0,,2000,Hispanic
20,0500000US01041,1041,"Crenshaw County, Alabama",16,,2,,0,,0,,3,,2,,0,,8,,0,,0,,0,,0,,1,,0,,0,,0,,0,,2000,Hispanic
21,0500000US01043,1043,"Cullman County, Alabama",446,,63,,50,,44,,79,,40,,43,,14,,0,,30,,41,,31,,5,,0,,6,,0,,0,,2000,Hispanic
22,0500000US01045,1045,"Dale County, Alabama",421,,27,,37,,63,,45,,59,,38,,32,,14,,26,,26,,12,,32,,0,,2,,0,,8,,2000,Hispanic
23,0500000US01047,1047,"Dallas County, Alabama",65,,16,,6,,0,,0,,8,,0,,5,,0,,0,,7,,23,,0,,0,,0,,0,,0,,2000,Hispanic
24,0500000US01049,1049,"DeKalb County, Alabama",804,,93,,46,,66,,126,,75,,66,,40,,27,,84,,64,,40,,77,,0,,0,,0,,0,,2000,Hispanic
25,0500000US01051,1051,"Elmore County, Alabama",221,,19,,19,,0,,47,,2,,23,,4,,34,,0,,27,,11,,4,,21,,0,,10,,0,,2000,Hispanic
26,0500000US01053,1053,"Escambia County, Alabama",111,,31,,0,,0,,6,,4,,5,,0,,1,,14,,6,,33,,6,,5,,0,,0,,0,,2000,Hispanic
27,0500000US01055,1055,"Etowah County, Alabama",343,,102,,22,,13,,22,,33,,19,,15,,13,,15,,28,,33,,11,,0,,3,,0,,14,,2000,Hispanic
28,0500000US01057,1057,"Fayette County, Alabama",21,,0,,7,,6,,0,,0,,0,,0,,0,,0,,6,,0,,2,,0,,0,,0,,0,,2000,Hispanic
29,0500000US01059,1059,"Franklin County, Alabama",606,,39,,50,,138,,32,,54,,60,,37,,21,,60,,41,,34,,16,,16,,0,,0,,8,,2000,Hispanic
30,0500000US01061,1061,"Geneva County, Alabama",67,,16,,8,,14,,5,,0,,3,,7,,2,,0,,0,,5,,7,,0,,0,,0,,0,,2000,Hispanic
31,0500000US01063,1063,"Greene County, Alabama",30,,19,,0,,0,,2,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,Hispanic
