,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more",Year,Race
0,0500000US01001,1001,"Autauga County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
1,0500000US01003,1003,"Baldwin County, Alabama",8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,8.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
2,0500000US01005,1005,"Barbour County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
3,0500000US01007,1007,"Bibb County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
4,0500000US01009,1009,"Blount County, Alabama",13,,0,,7,,0,,0,,0,,0,,0,,0,,0,,0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
5,0500000US01011,1011,"Bullock County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
6,0500000US01013,1013,"Butler County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
7,0500000US01015,1015,"Calhoun County, Alabama",3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,3.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
8,0500000US01017,1017,"Chambers County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
9,0500000US01019,1019,"Cherokee County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
10,0500000US01021,1021,"Chilton County, Alabama",13,,0,,0,,0,,0,,0,,0,,13,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
11,0500000US01023,1023,"Choctaw County, Alabama",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2000,NativeHawaiian
