,GEO.display-label,GEO.id,GEO.id2,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD02_VD01,HD02_VD02,HD02_VD03,HD02_VD04,HD02_VD05,HD02_VD06,HD02_VD07,HD02_VD08,HD02_VD09,HD02_VD10,HD02_VD11,HD02_VD12,HD02_VD13,HD02_VD14,HD02_VD15,HD02_VD16,HD02_VD17,Race,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,Year
0,Geography,Id,Id2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",2005
1,"Autauga County, Alabama",0500000US01001,01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,31,7,0,0,8,0,0,0,0,9,0,0,7,0,0,0,0,2005
2,"Baldwin County, Alabama",0500000US01003,01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,212,22,31,5,36,10,13,28,0,30,0,11,10,0,0,2,14,2005
3,"Barbour County, Alabama",0500000US01005,01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,57,10,10,2,0,2,0,11,8,0,0,1,13,0,0,0,0,2005
4,"Bibb County, Alabama",0500000US01007,01007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,15,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,2005
5,"Blount County, Alabama",0500000US01009,01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,307,42,17,15,27,25,94,5,14,17,3,18,16,14,0,0,0,2005
6,"Bullock County, Alabama",0500000US01011,01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2005
7,"Butler County, Alabama",0500000US01013,01013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
8,"Calhoun County, Alabama",0500000US01015,01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,143,21,17,18,9,0,14,9,5,18,23,0,5,0,0,4,0,2005
9,"Chambers County, Alabama",0500000US01017,01017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,26,5,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,2005
10,"Cherokee County, Alabama",0500000US01019,01019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,16,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,2005
11,"Chilton County, Alabama",0500000US01021,01021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,102,16,19,11,13,5,17,6,3,0,3,3,3,3,0,0,0,2005
12,"Choctaw County, Alabama",0500000US01023,01023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
13,"Clarke County, Alabama",0500000US01025,01025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,11,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2005
14,"Clay County, Alabama",0500000US01027,01027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,21,0,6,0,0,1,0,3,8,0,0,0,3,0,0,0,0,2005
15,"Cleburne County, Alabama",0500000US01029,01029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,34,0,5,0,17,0,12,0,0,0,0,0,0,0,0,0,0,2005
16,"Coffee County, Alabama",0500000US01031,01031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,84,2,0,5,6,20,22,9,7,9,0,4,0,0,0,0,0,2005
17,"Colbert County, Alabama",0500000US01033,01033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,38,0,11,0,7,0,2,0,5,6,2,5,0,0,0,0,0,2005
18,"Conecuh County, Alabama",0500000US01035,01035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,13,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,2005
19,"Coosa County, Alabama",0500000US01037,01037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
20,"Covington County, Alabama",0500000US01039,01039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,31,11,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,2005
