PlaceofDestination,City,State,Students,Year,Lat,Lng,County,id
Arizona State University,Tempe,AZ,4375,2008,33.4255104,-111.9400054,Maricopa  ,1
Arizona State University,Tempe,AZ,4934,2010,33.4255104,-111.9400054,Maricopa  ,2
Arizona State University,Tempe,AZ,6645,2013,33.4255104,-111.9400054,Maricopa  ,3
Arizona State University,Tempe,AZ,13164,2016,33.4255104,-111.9400054,Maricopa  ,4
Boston University,Boston,MA,4443,2000,42.3600825,-71.0588801,Suffolk  ,5
Boston University,Boston,MA,4542,2005,42.3600825,-71.0588801,Suffolk  ,6
Boston University,Boston,MA,5037,2008,42.3600825,-71.0588801,Suffolk  ,7
Boston University,Boston,MA,5464,2010,42.3600825,-71.0588801,Suffolk  ,8
Boston University,Boston,MA,6615,2013,42.3600825,-71.0588801,Suffolk  ,9
Boston University,Boston,MA,8992,2016,42.3600825,-71.0588801,Suffolk  ,10
Carnegie Mellon University,Pittsburgh,PA,4744,2013,40.4406248,-79.9958864,Allegheny  ,11
Carnegie Mellon University,Pittsburgh,PA,7653,2016,40.4406248,-79.9958864,Allegheny  ,12
Columbia University,New York,NY,4837,2000,40.7127753,-74.0059728,New York ,13
Columbia University,New York,NY,5575,2005,40.7127753,-74.0059728,New York ,14
Columbia University,New York,NY,6685,2008,40.7127753,-74.0059728,New York ,15
Columbia University,New York,NY,7297,2010,40.7127753,-74.0059728,New York ,16
Columbia University,New York,NY,8797,2013,40.7127753,-74.0059728,New York ,17
Columbia University,New York,NY,14096,2016,40.7127753,-74.0059728,New York ,18
Cornell University,Ithaca,NY,3024,2000,42.4439614,-76.5018807,Ithaca ,19
Cornell University,Ithaca,NY,3697,2005,42.4439614,-76.5018807,Ithaca ,20
Cornell University,Ithaca,NY,4018,2008,42.4439614,-76.5018807,Ithaca ,21
Cornell University,Ithaca,NY,4357,2010,42.4439614,-76.5018807,Ithaca ,22
CUNY Bernard M. Baruch College,New York,NY,3135,2000,40.7127753,-74.0059728,New York ,23
Florida International University,Miami,FL,3603,2000,25.7616798,-80.1917902,Miami-Dade  ,24
Georgia Institute of Technology,Atlanta,GA,3911,2008,33.7489954,-84.3879824,Fulton  ,25
Georgia Institute of Technology,Atlanta,GA,4943,2010,33.7489954,-84.3879824,Fulton  ,26
Harvard University,Cambridge,MA,3377,2000,52.205337,0.121817,Cambridge ,27
Harvard University,Cambridge,MA,3669,2005,52.205337,0.121817,Cambridge ,28
Harvard University,Cambridge,MA,4735,2008,52.205337,0.121817,Cambridge ,29
Harvard University,Cambridge,MA,5594,2010,52.205337,0.121817,Cambridge ,30
Houston Community College System,Houston,TX,3201,2000,29.7604267,-95.3698028,Harris  ,31
Indiana University - Bloomington,Bloomington,IN,3284,2000,39.165325,-86.5263857,Monroe  ,32
Indiana University - Bloomington,Bloomington,IN,3540,2005,39.165325,-86.5263857,Monroe  ,33
Indiana University - Bloomington,Bloomington,IN,4565,2008,39.165325,-86.5263857,Monroe  ,34
Indiana University - Bloomington,Bloomington,IN,5471,2010,39.165325,-86.5263857,Monroe  ,35
Indiana University - Bloomington,Bloomington,IN,6547,2013,39.165325,-86.5263857,Monroe  ,36
Indiana University - Bloomington,Bloomington,IN,7502,2016,39.165325,-86.5263857,Monroe  ,37
Michigan State University,East Lansing,MI,3293,2005,42.7369792,-84.4838654,Ingham  ,38
Michigan State University,East Lansing,MI,4757,2008,42.7369792,-84.4838654,Ingham  ,39
Michigan State University,East Lansing,MI,5748,2010,42.7369792,-84.4838654,Ingham  ,40
Michigan State University,East Lansing,MI,6759,2013,42.7369792,-84.4838654,Ingham  ,41
Michigan State University,East Lansing,MI,7779,2016,42.7369792,-84.4838654,Ingham  ,42
Montgomery College,Rockville,MD,3264,2000,39.0839973,-77.1527578,Montgomery ,43
New York University,New York,NY,5399,2000,40.7127753,-74.0059728,New York ,44
New York University,New York,NY,5502,2005,40.7127753,-74.0059728,New York ,45
New York University,New York,NY,6761,2008,40.7127753,-74.0059728,New York ,46
